,#source,ID,description
464523,bigg.metabolite:um4p,MNXM147329,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine"
467809,bigg.metabolite:hisp,MNXM1482,L-Histidinol phosphate
468876,bigg.metabolite:mso3,MNXM1485,Methanesulfonate
470244,bigg.metabolite:pran,MNXM1489,N-(5-Phospho-D-ribosyl)anthranilate
471311,bigg.metabolite:thrp,MNXM1492,L-Threonine O-3-phosphate
473315,bigg.metabolite:ppap,MNXM1499,Propanoyl phosphate
474827,bigg.metabolite:udpLa4o,MNXM1505,UDP-4-keto-pyranose
477306,bigg.metabolite:ohpb,MNXM1514,2-Oxo-3-hydroxy-4-phosphobutanoate
478056,bigg.metabolite:g3pi,MNXM1517,Sn-Glycero-3-phospho-1-inositol
478896,bigg.metabolite:dtdp,MNXM152,DTDP
480809,bigg.metabolite:3hppnl,MNXM1526,3-Hydroxypropanal
482074,bigg.metabolite:34hpp,MNXM153,3-(4-Hydroxyphenyl)pyruvate
482515,bigg.metabolite:dmbzid,MNXM1531,"5,6-Dimethylbenzimidazole"
482848,bigg.metabolite:5apru,MNXM1532,5-Amino-6-(5'-phosphoribosylamino)uracil
490127,bigg.metabolite:gdptp,MNXM1561,Guanosine 3'-diphosphate 5'-triphosphate
490452,bigg.metabolite:hg2,MNXM1562,Mercury charged 2
490742,bigg.metabolite:sl2a6o,MNXM1563,N-Succinyl-2-L-amino-6-oxoheptanedioate
491282,bigg.metabolite:idon__L,MNXM1565,L-Idonate
495760,bigg.metabolite:ura,MNXM158,Uracil
498665,bigg.metabolite:2obut,MNXM159,2-Oxobutanoate
502412,bigg.metabolite:3c4mop,MNXM1602,3-Carboxy-4-methyl-2-oxopentanoate
504131,bigg.metabolite:mal__D,MNXM1608,D-Malate
504850,bigg.metabolite:pydx5p,MNXM161,Pyridoxal 5'-phosphate
509002,bigg.metabolite:3amac,MNXM162288,3-Aminoacrylate
510158,bigg.metabolite:2dh3dgal,MNXM1627,2-Dehydro-3-deoxy-D-galactonate
510998,bigg.metabolite:isetac,MNXM1630,Isethionic acid
512241,bigg.metabolite:3hpppn,MNXM1634,3-(3-hydroxy-phenyl)propionate
512653,bigg.metabolite:2ohph,MNXM1635,2-Octaprenyl-6-hydroxyphenol
514203,bigg.metabolite:4hbz,MNXM164,4-Hydroxybenzoate
514590,bigg.metabolite:2p4c2me,MNXM1641,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
518106,bigg.metabolite:hxa,MNXM1653,Hexanoate (n-C6:0)
524207,bigg.metabolite:n8aspmd,MNXM1679,N8-Acetylspermidine
524425,bigg.metabolite:ade,MNXM168,Adenine
530290,bigg.metabolite:2ippm,MNXM1706,2-Isopropylmaleate
530543,bigg.metabolite:2omph,MNXM1707,2-Octaprenyl-6-methoxyphenol
533451,bigg.metabolite:sucsal,MNXM172,Succinic semialdehyde
536589,bigg.metabolite:galctn__D,MNXM1734,D-Galactonate
537995,bigg.metabolite:xan,MNXM174,Xanthine
538565,bigg.metabolite:frulys,MNXM1742,Fructoselysine
539055,bigg.metabolite:acetol,MNXM1744,Acetol cytosol
541544,bigg.metabolite:sucarg,MNXM1756,N2-Succinyl-L-arginine
541766,bigg.metabolite:sucglu,MNXM1757,N2-Succinyl-L-glutamate
543029,bigg.metabolite:sucgsa,MNXM1763,N2-Succinyl-L-glutamate 5-semialdehyde
544725,bigg.metabolite:pg120,MNXM1771,"Phosphatidylglycerol (didodecanoyl, n-C12:0)"
547909,bigg.metabolite:udpLa4n,MNXM1786,Uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose
549134,bigg.metabolite:2mcacn,MNXM1792,Cis-2-Methylaconitate
551336,bigg.metabolite:4hthr,MNXM1802,4-Hydroxy-L-threonine
564002,bigg.metabolite:xu5p__D,MNXM186,D-Xylulose 5-phosphate
565186,bigg.metabolite:36dahx,MNXM1865,"(3S)-3,6-Diaminohexanoate"
568625,bigg.metabolite:anth,MNXM188,Anthranilate
570103,bigg.metabolite:2oph,MNXM1886,2-Octaprenylphenol
575526,bigg.metabolite:q8h2,MNXM191,Ubiquinol-8
577710,bigg.metabolite:4abut,MNXM192,4-Aminobutanoate
578179,bigg.metabolite:dimp,MNXM1922,DIMP
582031,bigg.metabolite:acanth,MNXM1939,N-Acetylanthranilate
584321,bigg.metabolite:sulfac,MNXM1949,Sulfoacetate
590597,bigg.metabolite:23dhba,MNXM1978,"(2,3-Dihydroxybenzoyl)adenylate"
591915,bigg.metabolite:dhgly,MNXM1984,Dehydroglycine
593174,bigg.metabolite:val__L,MNXM199,L-Valine
595367,bigg.metabolite:akg,MNXM20,2-Oxoglutarate
597577,bigg.metabolite:altrn,MNXM2011,D-Altronate
601091,bigg.metabolite:pg141,MNXM2029,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)"
605396,bigg.metabolite:dopa,MNXM205,Dopamine
610171,bigg.metabolite:2pglyc,MNXM2074,2-Phosphoglycolate
618015,bigg.metabolite:cys__D,MNXM2112,D-Cysteine
620623,bigg.metabolite:2amsa,MNXM2124,2-Aminomalonate semialdehyde
620869,bigg.metabolite:athr__L,MNXM2125,L-Allo-threonine
626614,bigg.metabolite:pe181,MNXM2150,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)"
629002,bigg.metabolite:ncam,MNXM216,Nicotinamide
632179,bigg.metabolite:didp,MNXM2174,DIDP||2'-deoxyinosine-5'-diphosphate(3-)
633073,bigg.metabolite:2dmmq8,MNXM2178,2-Demethylmenaquinone 8
633494,bigg.metabolite:etha,MNXM218,Ethanolamine
633983,bigg.metabolite:3cmp,MNXM2182,3 CMP
634221,bigg.metabolite:3gmp,MNXM2183,Guanosine 3 phosphate
636606,bigg.metabolite:3ophb,MNXM2195,3-Octaprenyl-4-hydroxybenzoate
639973,bigg.metabolite:aacald,MNXM2212,Aminoacetaldehyde
641776,bigg.metabolite:glyclt,MNXM222,Glycolate
643968,bigg.metabolite:mql8,MNXM223,Menaquinol 8
647095,bigg.metabolite:metsox_R__L,MNXM2245,L-methionine-R-sulfoxide
649384,bigg.metabolite:mn2,MNXM2255,Manganese
654279,bigg.metabolite:psd5p,MNXM2276,Pseudouridine 5 phosphate
655660,bigg.metabolite:sel,MNXM2282,Selenate
657508,bigg.metabolite:tdecoa,MNXM2290,Tetradecenoyl-CoA (n-C14:1CoA)
659808,bigg.metabolite:pyr,MNXM23,Pyruvate
660854,bigg.metabolite:uracp,MNXM2304,Ureidoacrylate peracid
661328,bigg.metabolite:14dhncoa,MNXM2306,"1,4-dihydroxy-2-napthoyl-CoA"
664627,bigg.metabolite:q8,MNXM232,Ubiquinone-8
669267,bigg.metabolite:dump,MNXM234,DUMP
671431,bigg.metabolite:orot,MNXM235,Orotate
673585,bigg.metabolite:ocdca,MNXM236,Octadecanoate (n-C18:0)
685211,bigg.metabolite:ap5a,MNXM2412,"P1,P5-Bis(5'-adenosyl) pentaphosphate"
689355,bigg.metabolite:camp,MNXM243,CAMP
691687,bigg.metabolite:msa,MNXM244,Malonate semialdehyde
703113,bigg.metabolite:pheme,MNXM249,Protoheme
705467,bigg.metabolite:succ,MNXM25,Succinate
710029,bigg.metabolite:dhor__S,MNXM252,(S)-Dihydroorotate
711622,bigg.metabolite:glyc2p,MNXM2527,Glycerol 2-phosphate
719062,bigg.metabolite:thmpp,MNXM256,Thiamine diphosphate
721324,bigg.metabolite:dtmp,MNXM257,DTMP
723475,bigg.metabolite:e4p,MNXM258,D-Erythrose 4-phosphate
727169,bigg.metabolite:23camp,MNXM2598,"2',3'-Cyclic AMP"
727564,bigg.metabolite:ac,MNXM26,Acetate
740276,bigg.metabolite:dcmp,MNXM266,DCMP
744498,bigg.metabolite:hlipa,MNXM2680,Heptosyl-kdo2-lipidA
748657,bigg.metabolite:na1,MNXM27,Sodium
748700,bigg.metabolite:ribflv,MNXM270,Riboflavin
757730,bigg.metabolite:nac,MNXM274,Nicotinate
760014,bigg.metabolite:2pg,MNXM275,D-Glycerate 2-phosphate
771078,bigg.metabolite:actp,MNXM280,Acetyl phosphate
772315,bigg.metabolite:arbt6p,MNXM2806,Arbutin 6-phosphate
773204,bigg.metabolite:dhf,MNXM281,"7,8-Dihydrofolate"
775334,bigg.metabolite:taur,MNXM282,Taurine
783919,bigg.metabolite:datp,MNXM286,DATP
784172,bigg.metabolite:13ppd,MNXM2861,"1,3-Propanediol"
790839,bigg.metabolite:glyb,MNXM289,Glycine betaine
793175,bigg.metabolite:gly,MNXM29,Glycine
793671,bigg.metabolite:12dgr140,MNXM2902,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"
795453,bigg.metabolite:oxa,MNXM291,Oxalate
797548,bigg.metabolite:rephaccoa,MNXM2919,"Ring 1,2-epoxyphenylacetyl-CoA"
814546,bigg.metabolite:cpgn_un,MNXM2999,Coprogen unloaded (no Fe(III))
814783,bigg.metabolite:atp,MNXM3,ATP
814833,bigg.metabolite:sarcs,MNXM300,Sarcosine
824126,bigg.metabolite:btn,MNXM304,Biotin
827132,bigg.metabolite:mptamp,MNXM3054,Adenylated molybdopterin
828502,bigg.metabolite:anhgm,MNXM3060,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid
834902,bigg.metabolite:mththf,MNXM30887,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
837519,bigg.metabolite:mthgxl,MNXM310,Methylglyoxal
839944,bigg.metabolite:pydx,MNXM311,Pyridoxal
845089,bigg.metabolite:12dgr160,MNXM3132,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"
847001,bigg.metabolite:ttdca,MNXM314,Tetradecanoate (n-C14:0)
849011,bigg.metabolite:23ccmp,MNXM3148,"2',3'-Cyclic CMP"
849491,bigg.metabolite:23cump,MNXM3150,"2',3'-Cyclic UMP"
859133,bigg.metabolite:cyst__L,MNXM319,L-Cystathionine
860038,bigg.metabolite:cph4,MNXM3194,"6-carboxy-5,6,7,8-tetrahydropterin"
865607,bigg.metabolite:pe160,MNXM32178,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
873708,bigg.metabolite:1agpe160,MNXM32511,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
878325,bigg.metabolite:1agpe120,MNXM32692,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
878363,bigg.metabolite:1agpe140,MNXM32693,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
878418,bigg.metabolite:1agpg120,MNXM32695,1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
880784,bigg.metabolite:agm,MNXM328,Agmatine
887943,bigg.metabolite:glu__D,MNXM331,D-Glutamate
890404,bigg.metabolite:pppi,MNXM332,Inorganic triphosphate
892511,bigg.metabolite:oxam,MNXM3329,Oxamate
902413,bigg.metabolite:chor,MNXM337,Chorismate
911692,bigg.metabolite:glcn,MNXM341,D-Gluconate
911956,bigg.metabolite:crnDcoa,MNXM3411,D-carnitinyl-CoA
912890,bigg.metabolite:poaac,MNXM3415,Peroxyaminoacrylate
919238,bigg.metabolite:dgtp,MNXM344,DGTP
921043,bigg.metabolite:2agpe141,MNXM3447,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
921615,bigg.metabolite:2agpe181,MNXM3449,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
922389,bigg.metabolite:2agpg141,MNXM3452,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)
923160,bigg.metabolite:2agpg181,MNXM3455,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
927861,bigg.metabolite:2agpg140,MNXM34739,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
927908,bigg.metabolite:2agpg160,MNXM34740,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
929509,bigg.metabolite:2agpe120,MNXM34808,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
929540,bigg.metabolite:2agpe140,MNXM34809,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
929577,bigg.metabolite:2agpe160,MNXM34810,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
929618,bigg.metabolite:2agpe180,MNXM34811,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
937012,bigg.metabolite:pppg9,MNXM351,Protoporphyrinogen IX
942235,bigg.metabolite:hom__L,MNXM353,L-Homoserine
947045,bigg.metabolite:nmn,MNXM355,NMN
949484,bigg.metabolite:ppa,MNXM356,Propionate (n-C3:0)
959256,bigg.metabolite:dctp,MNXM360,DCTP
961816,bigg.metabolite:aspsa,MNXM361,L-Aspartate 4-semialdehyde
966748,bigg.metabolite:LalaDglu,MNXM3630,L-alanine-D-glutamate
974361,bigg.metabolite:pyam5p,MNXM366,Pyridoxamine 5'-phosphate
977016,bigg.metabolite:g3pc,MNXM367,Sn-Glycero-3-phosphocholine
982588,bigg.metabolite:pe141,MNXM3693,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)"
984402,bigg.metabolite:gln__L,MNXM37,L-Glutamine
991731,bigg.metabolite:pan4p,MNXM373,Pantetheine 4'-phosphate
999325,bigg.metabolite:hqn,MNXM376,Hydroquinone
1002896,bigg.metabolite:12dgr161,MNXM3774,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"
1003149,bigg.metabolite:12dgr181,MNXM3775,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
1023782,bigg.metabolite:thym,MNXM386,Thymine
1033486,bigg.metabolite:for,MNXM39,Formate
1038409,bigg.metabolite:hpyr,MNXM392,Hydroxypyruvate
1041363,bigg.metabolite:btnso,MNXM3932,D-biotin d-sulfoxide
1043292,bigg.metabolite:dttp,MNXM394,DTTP
1050481,bigg.metabolite:ahdt,MNXM397,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"
1062452,bigg.metabolite:ddca,MNXM402,Dodecanoate (n-C12:0)
1063889,bigg.metabolite:LalaLglu,MNXM4026,L-alanine-L-glutamate
1065633,bigg.metabolite:adp,MNXM40333,ADP
1067279,bigg.metabolite:4mop,MNXM404,4-Methyl-2-oxopentanoate
1069864,bigg.metabolite:5aop,MNXM405,5-Amino-4-oxopentanoate
1084330,bigg.metabolite:dcdp,MNXM411,DCDP
1089718,bigg.metabolite:xdp,MNXM4133,XDP
1091305,bigg.metabolite:uppg3,MNXM414,Uroporphyrinogen III
1101097,bigg.metabolite:acser,MNXM418,O-Acetyl-L-serine
1103524,bigg.metabolite:pydxn,MNXM419,Pyridoxine
1106077,bigg.metabolite:thymd,MNXM420,Thymidine
1108581,bigg.metabolite:4abz,MNXM421,4-Aminobenzoate
1110364,bigg.metabolite:12dgr180,MNXM4217,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
1111120,bigg.metabolite:4abutn,MNXM422,4-Aminobutanal
1135137,bigg.metabolite:damp,MNXM432,DAMP
1142757,bigg.metabolite:glyald,MNXM435,D-Glyceraldehyde
1145285,bigg.metabolite:dgdp,MNXM436,DGDP
1154813,bigg.metabolite:2ddglcn,MNXM440,2-Dehydro-3-deoxy-D-gluconate
1164664,bigg.metabolite:dms,MNXM444,Dimethyl sulfide
1174360,bigg.metabolite:tre6p,MNXM448,"Alpha,alpha'-Trehalose 6-phosphate"
1181326,bigg.metabolite:cdpdddecg,MNXM4507,"CDP-1,2-didodecanoylglycerol"
1184326,bigg.metabolite:dutp,MNXM452,DUTP
1189368,bigg.metabolite:pdx5p,MNXM454,Pyridoxine 5'-phosphate
1191880,bigg.metabolite:23dhb,MNXM455,"2,3-Dihydroxybenzoate"
1196685,bigg.metabolite:betald,MNXM457,Betaine aldehyde
1199154,bigg.metabolite:but,MNXM458,Butyrate (n-C4:0)
1204101,bigg.metabolite:oaa,MNXM46,Oxaloacetate
1204138,bigg.metabolite:dha,MNXM460,Dihydroxyacetone
1214559,bigg.metabolite:lyx__L,MNXM4641,L-Lyxose
1216795,bigg.metabolite:cbasp,MNXM465,N-Carbamoyl-L-aspartate
1236868,bigg.metabolite:pacald,MNXM473,Phenylacetaldehyde
1241593,bigg.metabolite:2h3oppan,MNXM475,2-Hydroxy-3-oxopropanoate
1245207,bigg.metabolite:colipa,MNXM47647,Core oligosaccharide lipid A
1247043,bigg.metabolite:5pg35pg,MNXM4772,5-Phosphoguanylyl(3->5)guanosine
1251608,bigg.metabolite:4hoxpacd,MNXM479,4-Hydroxyphenylacetaldehyde
1254098,bigg.metabolite:thdp,MNXM480,"2,3,4,5-Tetrahydrodipicolinate"
1262679,bigg.metabolite:so2,MNXM4835,Sulfur dioxide
1280826,bigg.metabolite:gthrd,MNXM490899,Reduced glutathione
1283811,bigg.metabolite:duri,MNXM492,Deoxyuridine
1288870,bigg.metabolite:12dgr120,MNXM4939,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"
1289167,bigg.metabolite:12dgr141,MNXM4940,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)"
1304910,bigg.metabolite:nadp,MNXM5,Nicotinamide adenine dinucleotide phosphate
1307766,bigg.metabolite:N1aspmd,MNXM501,N1-Acetylspermidine
1321018,bigg.metabolite:56dura,MNXM506,"5,6-dihydrouracil"
1325191,bigg.metabolite:s17bp,MNXM507505,"Sedoheptulose 1,7-bisphosphate"
1325985,bigg.metabolite:clpn120,MNXM5078,"Cardiolipin (tetradodecanoyl, n-C12:0)"
1326230,bigg.metabolite:clpn180,MNXM5079,"Cardiolipin (tetraoctadecanoyl, n-C18:0)"
1328879,bigg.metabolite:mqn8,MNXM509,Menaquinone 8
1333672,bigg.metabolite:methf,MNXM511,"5,10-Methenyltetrahydrofolate"
1380969,bigg.metabolite:pgp120,MNXM5266,"Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)"
1381705,bigg.metabolite:pgp181,MNXM5269,"Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)"
1382203,bigg.metabolite:pgp141,MNXM5271,"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)"
1382452,bigg.metabolite:pgp140,MNXM5272,"Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)"
1386971,bigg.metabolite:26dap__M,MNXM529,"Meso-2,6-Diaminoheptanedioate"
1416746,bigg.metabolite:3php,MNXM541,3-Phosphohydroxypyruvate
1423939,bigg.metabolite:arab__D,MNXM544,D Arabinose
1429669,bigg.metabolite:2hdecg3p,MNXM5465,2-hexadecanoyl-sn-glycerol 3-phosphate
1430823,bigg.metabolite:hmbil,MNXM547,Hydroxymethylbilane
1433244,bigg.metabolite:pydam,MNXM548,Pyridoxamine
1433486,bigg.metabolite:2odecg3p,MNXM5481,2-octadecanoyl-sn-glycerol 3-phosphate
1443003,bigg.metabolite:dhna,MNXM552,"1,4-Dihydroxy-2-naphthoate"
1447753,bigg.metabolite:ppbng,MNXM554,Porphobilinogen
1450117,bigg.metabolite:quln,MNXM555,Quinolinate
1457392,bigg.metabolite:2dmmql8,MNXM558,2-Demethylmenaquinol 8
1466344,bigg.metabolite:hphhlipa,MNXM56168,Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
1491145,bigg.metabolite:dudp,MNXM572,DUDP
1510664,bigg.metabolite:so4,MNXM58,Sulfate
1520242,bigg.metabolite:alltt,MNXM584,Allantoate
1540998,bigg.metabolite:LalaDgluMdapDala,MNXM59271,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"
1541684,bigg.metabolite:pant__R,MNXM593,(R)-Pantoate
1551232,bigg.metabolite:murein5px3p,MNXM5970,"Two disacharide linked murein units, pentapeptide corsslinked tripeptide (A2pm->A2pm) (middle of chain)"
1556158,bigg.metabolite:iasp,MNXM599,Iminoaspartate
1558639,bigg.metabolite:hco3,MNXM60,Bicarbonate
1563434,bigg.metabolite:skm,MNXM602,Shikimate
1565891,bigg.metabolite:tym,MNXM603,Tyramine
1573191,bigg.metabolite:h2mb4p,MNXM606,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate
1585711,bigg.metabolite:3dhsk,MNXM611,3-Dehydroshikimate
1600664,bigg.metabolite:na15dap,MNXM6170,"N-3-aminopropyl-1,5-diaminopentane"
1603079,bigg.metabolite:oxalcoa,MNXM618,Oxalyl-CoA
1613030,bigg.metabolite:dxyl5p,MNXM622,1-deoxy-D-xylulose 5-phosphate
1620156,bigg.metabolite:dad_2,MNXM625,Deoxyadenosine
1643591,bigg.metabolite:anhgm3p,MNXM63489,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide
1646272,bigg.metabolite:galctn__L,MNXM636,L-Galactonate
1658436,bigg.metabolite:psclys,MNXM6409,Psicoselysine
1665833,bigg.metabolite:26dap_LL,MNXM644,"LL-2,6-Diaminoheptanedioate"
1668186,bigg.metabolite:34dhpha,MNXM645,3-4-Dihydroxyphenylacetate
1673256,bigg.metabolite:dgsn,MNXM647,Deoxyguanosine
1678072,bigg.metabolite:2ddg6p,MNXM649,2-Dehydro-3-deoxy-D-gluconate 6-phosphate
1680716,bigg.metabolite:novbcn,MNXM65002,Novobiocin
1683711,bigg.metabolite:aragund,MNXM65126,O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
1687986,bigg.metabolite:mg2,MNXM653,Magnesium
1704337,bigg.metabolite:1agpe141,MNXM6599,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
1704560,bigg.metabolite:glyc3p,MNXM66,Glycerol 3-phosphate
1704591,bigg.metabolite:peamn,MNXM660,Phenethylamine
1704850,bigg.metabolite:1agpe161,MNXM6601,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
1705526,bigg.metabolite:1agpg141,MNXM6604,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)
1705753,bigg.metabolite:1agpg160,MNXM6605,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
1705999,bigg.metabolite:1agpg161,MNXM6606,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)
1709498,bigg.metabolite:thmmp,MNXM662,Thiamin monophosphate
1760486,bigg.metabolite:cgly,MNXM683,Cys Gly
1776763,bigg.metabolite:glx,MNXM69,Glyoxylate
1786797,bigg.metabolite:ser__D,MNXM694,D-Serine
1806617,bigg.metabolite:apg141,MNXM7019,Acyl phosphatidylglycerol (n-C14:1)
1807130,bigg.metabolite:apg161,MNXM7021,Acyl phosphatidylglycerol (n-C16:1)
1807635,bigg.metabolite:apg181,MNXM7023,Acyl phosphatidylglycerol (n-C18:1)
1811843,bigg.metabolite:dcyt,MNXM704,Deoxycytidine
1839014,bigg.metabolite:clpn141,MNXM7149,"Cardiolipin (tetratetradec-7-enoyl, n-C14:1)"
1858796,bigg.metabolite:dhpt,MNXM722728,Dihydropteroate
1858829,bigg.metabolite:argsuc,MNXM722743,N(omega)-(L-Arginino)succinate
1859015,bigg.metabolite:1agpe180,MNXM722840,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
1859091,bigg.metabolite:acglc__D,MNXM722855,6-Acetyl-D-glucose
1866327,bigg.metabolite:suc6p,MNXM725918,Sucrose 6-phosphate
1867380,bigg.metabolite:mobd,MNXM726092,Molybdate
1868382,bigg.metabolite:hmgth,MNXM726277,Hydroxymethylglutathione
1868713,bigg.metabolite:so3,MNXM726339,Sulfite
1870685,bigg.metabolite:fe2,MNXM726711,Fe2+ mitochondria
1870738,bigg.metabolite:fe3,MNXM726712,Iron (Fe3+)
1871020,bigg.metabolite:mmet,MNXM726752,S-Methyl-L-methionine
1871366,bigg.metabolite:dhcinnm,MNXM726800,"2,3-dihydroxicinnamic acid"
1871454,bigg.metabolite:sbzcoa,MNXM726805,O-Succinylbenzoyl-CoA
1871505,bigg.metabolite:chtbs6p,MNXM726813,Diacetylchitobiose-6-phosphate
1871802,bigg.metabolite:8aonn,MNXM726864,8-Amino-7-oxononanoate
1871937,bigg.metabolite:cpgn,MNXM726879,Coprogen
1871951,bigg.metabolite:hkntd,MNXM726882,2-hydroxy-6-ketononatrienedioate
1872001,bigg.metabolite:cellb,MNXM726888,Cellobiose
1872115,bigg.metabolite:2ahbut,MNXM726902,(S)-2-Aceto-2-hydroxybutanoate
1872379,bigg.metabolite:seramp,MNXM726941,L-seryl-AMP
1872985,bigg.metabolite:fe3dhbzs,MNXM727045,"Ferric 2,3-dihydroxybenzoylserine"
1873134,bigg.metabolite:6hmhptpp,MNXM727068,6-hydroxymethyl-dihydropterin pyrophosphate
1873953,bigg.metabolite:cynt,MNXM727224,Cyanate
1874187,bigg.metabolite:u23ga,MNXM727269,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
1874210,bigg.metabolite:coa,MNXM727276,Coenzyme A
1874677,bigg.metabolite:lipidAds,MNXM727331,Lipid A Disaccharide
1875599,bigg.metabolite:rbflvrd,MNXM727501,Reduced riboflavin
1875708,bigg.metabolite:2shchc,MNXM727527,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
1876151,bigg.metabolite:3pg,MNXM727604,3-Phospho-D-glycerate
1876444,bigg.metabolite:cyan,MNXM727657,Hydrogen cyanide
1876628,bigg.metabolite:pimACP,MNXM727687,Pimeloyl-[acyl-carrier protein]
1877237,bigg.metabolite:mincyc,MNXM727814,Minocycline
1877278,bigg.metabolite:xylu__L,MNXM727819,L-Xylulose
1877601,bigg.metabolite:ascb__L,MNXM727871,L-Ascorbate
1877752,bigg.metabolite:ag,MNXM727888,Silver
1878536,bigg.metabolite:ditp,MNXM728062,DITP(4-)
1878663,bigg.metabolite:gtspmd,MNXM728086,Glutathionylspermidine
1878938,bigg.metabolite:prbatp,MNXM728132,1-(5-Phosphoribosyl)-ATP
1879575,bigg.metabolite:acon_T,MNXM728255,Trans-Aconitate
1879686,bigg.metabolite:udpLa4fn,MNXM728268,Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose
1879878,bigg.metabolite:amp,MNXM728294,AMP
1880033,bigg.metabolite:5caiz,MNXM728322,5-phosphoribosyl-5-carboxyaminoimidazole
1880076,bigg.metabolite:ile__L,MNXM728337,L-Isoleucine
1880166,bigg.metabolite:tagur,MNXM728349,D-Tagaturonate
1880743,bigg.metabolite:crncoa,MNXM728470,L-Carnitinyl-CoA
1881723,bigg.metabolite:6hmhpt,MNXM728662,6-hydroxymethyl dihydropterin
1883409,bigg.metabolite:malcoame,MNXM728995,Malonyl-CoA methyl ester
1884199,bigg.metabolite:lipoate,MNXM729132,Lipoate
1884331,bigg.metabolite:23dhbzs,MNXM729151,"2,3-dihydroxybenzoylserine"
1884478,bigg.metabolite:sl26da,MNXM729177,"N-Succinyl-LL-2,6-diaminoheptanedioate"
1884693,bigg.metabolite:zn2,MNXM729215,Zinc
1884754,bigg.metabolite:acmum6p,MNXM729216,N-acetylmuramate 6-phosphate
1885125,bigg.metabolite:nh4,MNXM729302,Ammonium
1885576,bigg.metabolite:gthox,MNXM729383,Oxidized glutathione
1885755,bigg.metabolite:prbamp,MNXM729421,1-(5-Phosphoribosyl)-AMP
1886583,bigg.metabolite:rdmbzi,MNXM729592,"N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole"
1886608,bigg.metabolite:acac,MNXM729595,Acetoacetate
1886848,bigg.metabolite:cbi,MNXM729643,Cobinamide
1887589,bigg.metabolite:meoh,MNXM729800,Methanol
1888390,bigg.metabolite:5mtr,MNXM729972,5-Methylthio-D-ribose
1888603,bigg.metabolite:pep,MNXM73,Phosphoenolpyruvate
1888633,bigg.metabolite:acglu,MNXM730,N-Acetyl-L-glutamate
