,#source,ID,description
244402,bigg.metabolite:unagamuf,MNXM1104103,"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
244614,bigg.metabolite:malthp,MNXM1104130,Maltoheptaose
244778,bigg.metabolite:gdpddman,MNXM1104155,GDP-4-dehydro-6-deoxy-D-mannose
244853,bigg.metabolite:td2coa,MNXM1104173,Trans-Tetradec-2-enoyl-CoA
244956,bigg.metabolite:sucr,MNXM1104180,Sucrose
245030,bigg.metabolite:rml1p,MNXM1104186,L-Rhamnulose 1-phosphate
245050,bigg.metabolite:gdpmann,MNXM1104188,GDP-D-mannose
245137,bigg.metabolite:micit,MNXM1104204,Methylisocitrate
245164,bigg.metabolite:cytd,MNXM1104207,Cytidine
245267,bigg.metabolite:2ommbl,MNXM1104227,"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol"
245444,bigg.metabolite:accoa,MNXM1104266,Acetyl-CoA
245487,bigg.metabolite:b2coa,MNXM1104270,Crotonoyl-CoA
245549,bigg.metabolite:2omhmbl,MNXM1104278,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
245572,bigg.metabolite:tdcoa,MNXM1104283,Tetradecanoyl-CoA (n-C14:0CoA)
245662,bigg.metabolite:btcoa,MNXM1104300,Butanoyl-CoA
245734,bigg.metabolite:dtdp4d6dm,MNXM1104310,DTDP-4-dehydro-6-deoxy-L-mannose
245770,bigg.metabolite:malt6p,MNXM1104316,Maltose 6'-phosphate
245907,bigg.metabolite:hhlipa,MNXM1104340,Heptosyl-heptosyl-kdo2-lipidA
245944,bigg.metabolite:stcoa,MNXM1104352,Stearoyl-CoA (n-C18:0CoA)
246003,bigg.metabolite:3hadpcoa,MNXM1104364,(3S)-3-Hydroxyadipyl-CoA
246035,bigg.metabolite:moco,MNXM1104368,Molybdenum cofactor
246168,bigg.metabolite:xmp,MNXM1104385,Xanthosine 5'-phosphate
246214,bigg.metabolite:4ampm,MNXM1104391,4-Amino-2-methyl-5-phosphomethylpyrimidine
246236,bigg.metabolite:5mthf,MNXM1104393,5-Methyltetrahydrofolate
246265,bigg.metabolite:preq1,MNXM1104395,7-aminomethyl-7-deazaguanine
246310,bigg.metabolite:cdpdhdecg,MNXM1104403,"CDP-1,2-dihexadecanoylglycerol"
246405,bigg.metabolite:lcts,MNXM1104432,Lactose
246454,bigg.metabolite:ddcacoa,MNXM1104435,Dodecanoyl-CoA (n-C12:0CoA)
246556,bigg.metabolite:prpp,MNXM1104453,5-Phospho-alpha-D-ribose 1-diphosphate
246611,bigg.metabolite:sbt6p,MNXM1104463,D-Sorbitol 6-phosphate
246741,bigg.metabolite:6pgl,MNXM1104491,"6-phospho-D-glucono-1,5-lactone"
246870,bigg.metabolite:dtdp4d6dg,MNXM1104509,DTDP-4-dehydro-6-deoxy-D-glucose
246928,bigg.metabolite:allul6p,MNXM1104516,Allulose 6-phosphate
246942,bigg.metabolite:fprica,MNXM1104518,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
246996,bigg.metabolite:gar,MNXM1104522,N1-(5-Phospho-D-ribosyl)glycinamide
247023,bigg.metabolite:malttr,MNXM1104527,Maltotriose
247049,bigg.metabolite:uacgam,MNXM1104529,UDP-N-acetyl-D-glucosamine
247193,bigg.metabolite:dpcoa,MNXM1104543,Dephospho-CoA
247219,bigg.metabolite:adprib,MNXM1104545,ADPribose
247247,bigg.metabolite:pram,MNXM1104549,5-Phospho-beta-D-ribosylamine
247276,bigg.metabolite:adocbl,MNXM1104551,Adenosylcobalamin
247317,bigg.metabolite:paps,MNXM1104555,3'-Phosphoadenylyl sulfate
247354,bigg.metabolite:idp,MNXM1104559,IDP
247402,bigg.metabolite:phaccoa,MNXM1104563,Phenylacetyl-CoA
247431,bigg.metabolite:3ohodcoa,MNXM1104572,3-Oxooctadecanoyl-CoA
247535,bigg.metabolite:mnl,MNXM1104590,D-Mannitol
247673,bigg.metabolite:maltttr,MNXM1104617,Maltotetraose
247766,bigg.metabolite:dc2coa,MNXM1104631,Trans-Dec-2-enoyl-CoA
247789,bigg.metabolite:hdd2coa,MNXM1104633,Trans-Hexadec-2-enoyl-CoA
247837,bigg.metabolite:25aics,MNXM1104647,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
247953,bigg.metabolite:dd2coa,MNXM1104661,Trans-Dodec-2-enoyl-CoA
248052,bigg.metabolite:prpncoa,MNXM1104673,Propenoyl-CoA
248104,bigg.metabolite:alaala,MNXM1104679,D-Alanyl-D-alanine
248132,bigg.metabolite:3hdcoa,MNXM1104681,(S)-3-Hydroxydecanoyl-CoA
248159,bigg.metabolite:3odcoa,MNXM1104685,3-Oxodecanoyl-CoA
248233,bigg.metabolite:3oddcoa,MNXM1104695,3-Oxododecanoyl-CoA
248264,bigg.metabolite:3ohcoa,MNXM1104699,3-Oxohexanoyl-CoA
248306,bigg.metabolite:udpg,MNXM1104702,UDPglucose
248362,bigg.metabolite:3hddcoa,MNXM1104711,(S)-3-Hydroxydodecanoyl-CoA
248387,bigg.metabolite:3ohdcoa,MNXM1104713,3-Oxohexadecanoyl-CoA
248439,bigg.metabolite:hx2coa,MNXM1104717,Trans-Hex-2-enoyl-CoA
248490,bigg.metabolite:3hhcoa,MNXM1104721,(S)-3-Hydroxyhexanoyl-CoA
248520,bigg.metabolite:3hocoa,MNXM1104724,(S)-3-Hydroxyoctanoyl-CoA
248550,bigg.metabolite:3htdcoa,MNXM1104726,(S)-3-Hydroxytetradecanoyl-CoA
248638,bigg.metabolite:kdo2lipid4,MNXM1104740,KDO(2)-lipid IV(A)
248675,bigg.metabolite:udpgal,MNXM1104754,UDPgalactose
248714,bigg.metabolite:cbl1,MNXM1104756,Cob(I)alamin
248871,bigg.metabolite:succoa,MNXM1104774,Succinyl-CoA
248968,bigg.metabolite:od2coa,MNXM1104783,Trans-Octadec-2-enoyl-CoA
249014,bigg.metabolite:f1p,MNXM1104787,D-Fructose 1-phosphate
249181,bigg.metabolite:ump,MNXM1104823,UMP
249329,bigg.metabolite:sheme,MNXM1104857,Siroheme
249454,bigg.metabolite:adocbip,MNXM1104880,Adenosyl cobinamide phosphate
249514,bigg.metabolite:udpglcur,MNXM1104890,UDP-D-glucuronate
249576,bigg.metabolite:4ahmmp,MNXM1104899,4-Amino-5-hydroxymethyl-2-methylpyrimidine
249893,bigg.metabolite:gam1p,MNXM1104944,D-Glucosamine 1-phosphate
250431,bigg.metabolite:glc__D,MNXM1105029,D-Glucose
250590,bigg.metabolite:dxylnt,MNXM1105052,D-Xylonate
250742,bigg.metabolite:1pyr5c,MNXM1105060,1-Pyrroline-5-carboxylate
253183,bigg.metabolite:gam,MNXM1105684,D-Glucosamine
253402,bigg.metabolite:ala__D,MNXM1105731,D-Alanine
253439,bigg.metabolite:ala__L,MNXM1105732,L-Alanine
253506,bigg.metabolite:crn,MNXM1105737,L-Carnitine
253581,bigg.metabolite:uacmamu,MNXM1105744,UDP-N-acetyl-D-mannosaminouronate
253708,bigg.metabolite:adn,MNXM1105760,Adenosine
253751,bigg.metabolite:fadh2,MNXM1105762,Flavin adenine dinucleotide reduced
253792,bigg.metabolite:glcur,MNXM1105765,D-Glucuronate
254106,bigg.metabolite:acgam1p,MNXM1105798,N-Acetyl-D-glucosamine 1-phosphate
254154,bigg.metabolite:acgal1p,MNXM1105799,N-Acetyl-D-galactosamine 1-phosphate
254292,bigg.metabolite:fru,MNXM1105810,D-Fructose
254518,bigg.metabolite:man,MNXM1105842,D-Mannose
254696,bigg.metabolite:man6p,MNXM1105857,D-Mannose 6-phosphate
254722,bigg.metabolite:g6p,MNXM1105858,D-Glucose 6-phosphate
254886,bigg.metabolite:acmana,MNXM1105881,N-Acetyl-D-mannosamine
255163,bigg.metabolite:3hbcoa,MNXM1105912,(S)-3-Hydroxybutanoyl-CoA
255328,bigg.metabolite:fmn,MNXM1105927,FMN
255379,bigg.metabolite:acgal,MNXM1105933,N-Acetyl-D-galactosamine
255419,bigg.metabolite:acgam,MNXM1105935,N-Acetyl-D-glucosamine
255453,bigg.metabolite:fad,MNXM1105936,Flavin adenine dinucleotide oxidized
255501,bigg.metabolite:oxadpcoa,MNXM1105939,3-Oxoadipyl-CoA
255526,bigg.metabolite:inost,MNXM1105941,Myo-Inositol
255615,bigg.metabolite:dtdpglu,MNXM1105949,DTDPglucose
255698,bigg.metabolite:odecoa,MNXM1105956,Octadecenoyl-CoA (n-C18:1CoA)
255806,bigg.metabolite:urate,MNXM1105965,Urate
255892,bigg.metabolite:adpglc,MNXM1105977,ADPglucose
255966,bigg.metabolite:air,MNXM1105983,5-amino-1-(5-phospho-D-ribosyl)imidazole
256192,bigg.metabolite:acmanap,MNXM1105998,N-Acetyl-D-mannosamine 6-phosphate
256206,bigg.metabolite:acgam6p,MNXM1105999,N-Acetyl-D-glucosamine 6-phosphate
256240,bigg.metabolite:aact,MNXM1106,Aminoacetone
256274,bigg.metabolite:malt,MNXM1106000,Maltose
256340,bigg.metabolite:gdpfuc,MNXM1106003,GDP-L-fucose
256406,bigg.metabolite:oc2coa,MNXM1106007,Trans-Oct-2-enoyl-CoA
256579,bigg.metabolite:tre,MNXM1106022,Trehalose
256814,bigg.metabolite:metsox_S__L,MNXM1106045,L-Methionine Sulfoxide
256860,bigg.metabolite:acnam,MNXM1106047,N-Acetylneuraminate
256976,bigg.metabolite:man1p,MNXM1106057,D-Mannose 1-phosphate
257072,bigg.metabolite:g1p,MNXM1106065,D-Glucose 1-phosphate
257127,bigg.metabolite:gal1p,MNXM1106067,Alpha-D-Galactose 1-phosphate
257318,bigg.metabolite:g3pe,MNXM1106082,Sn-Glycero-3-phosphoethanolamine
257426,bigg.metabolite:malcoa,MNXM1106093,Malonyl CoA
257461,bigg.metabolite:fdp,MNXM1106095,"D-Fructose 1,6-bisphosphate"
257583,bigg.metabolite:minohp,MNXM1106105,Myo-Inositol hexakisphosphate
257652,bigg.metabolite:dtdprmn,MNXM1106112,DTDP-L-rhamnose
257872,bigg.metabolite:hdcoa,MNXM1106135,Hexadecenoyl-CoA (n-C16:1CoA)
258078,bigg.metabolite:ppcoa,MNXM1106156,Propanoyl-CoA
258128,bigg.metabolite:pmtcoa,MNXM1106160,Palmitoyl-CoA (n-C16:0CoA)
258184,bigg.metabolite:lys__L,MNXM1106164,L-Lysine
258262,bigg.metabolite:3hhdcoa,MNXM1106166,(S)-3-Hydroxyhexadecanoyl-CoA
260823,bigg.metabolite:g3pg,MNXM1106891,Glycerophosphoglycerol
260914,bigg.metabolite:fuc__L,MNXM1106903,L-Fucose
261798,bigg.metabolite:2dglc,MNXM1107111,2 Deoxy D glucose
261936,bigg.metabolite:udcpdp,MNXM1107136,Undecaprenyl diphosphate
262227,bigg.metabolite:mal__L,MNXM1107192,L-Malate
263265,bigg.metabolite:uamr,MNXM1107410,UDP-N-acetylmuramate
263347,bigg.metabolite:2fe2s,MNXM1107419,[2Fe-2S] iron-sulfur cluster
264365,bigg.metabolite:fmnh2,MNXM1107623,Reduced FMN
264686,bigg.metabolite:LalaDgluMdap,MNXM1107671,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate"
264710,bigg.metabolite:appl,MNXM1107675,1-Aminopropan-2-ol
264918,bigg.metabolite:galct__D,MNXM1107694,D-Galactarate
264959,bigg.metabolite:glcr,MNXM1107695,D-Glucarate
265033,bigg.metabolite:23ddhb,MNXM1107702,"2,3-Dihydro-2,3-dihydroxybenzoate"
265056,bigg.metabolite:dtdp4addg,MNXM1107704,"DTDP-4-amino-4,6-dideoxy-D-galactose"
265095,bigg.metabolite:ocdcea,MNXM1107708,Octadecenoate (n-C18:1)
265385,bigg.metabolite:cpmp,MNXM1107741,Cyclic pyranopterin monophosphate
265425,bigg.metabolite:hemeO,MNXM1107744,Heme O
265501,bigg.metabolite:cit,MNXM1107753,Citrate
265541,bigg.metabolite:dmlz,MNXM1107754,"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
