,Source,BiGG,MNXM,Stuff,Unnamed: 4
3304,bigg.metabolite:,HC01180,MNXM1103932,"D-tagatofuranose1,6-bisphosphate(4-)",
3305,bigg.metabolite:,tagdp__D,MNXM1103932,"D-Tagatose1,6-biphosphate",
3307,bigg.metabolite:,thf,MNXM1103936,"5,6,7,8-Tetrahydrofolate",
3340,bigg.metabolite:,maltpt,MNXM1104039,Maltopentaose,
3379,bigg.metabolite:,gdpddman,MNXM1104155,GDP-4-dehydro-6-deoxy-D-mannose,
3381,bigg.metabolite:,HC01412,MNXM1104173,(2E)-TetradecenoylCoenzymeA,
3382,bigg.metabolite:,td2coa,MNXM1104173,Trans-Tetradec-2-enoyl-CoA,
3383,bigg.metabolite:,tetdece1coa,MNXM1104173,Tetradecenoyl-CoA||(2E)-Tetradecenoyl-CoA,
3386,bigg.metabolite:,sucr,MNXM1104180,Sucrose,
3390,bigg.metabolite:,gdpmann,MNXM1104188,GDP-D-mannose,
3393,bigg.metabolite:,micit,MNXM1104204,Methylisocitrate,
3394,bigg.metabolite:,cytd,MNXM1104207,Cytidine,
3399,bigg.metabolite:,2ommbl,MNXM1104227,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol",
3409,bigg.metabolite:,accoa,MNXM1104266,Acetyl-CoA,
3410,bigg.metabolite:, b2coa,MNXM1104270,Crotonoyl-CoA,
3411,bigg.metabolite:,2omhmbl,MNXM1104278,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol",
3413,bigg.metabolite:,tdcoa,MNXM1104283,Tetradecanoyl-CoA(n-C14:0CoA),
3415,bigg.metabolite:, btcoa,MNXM1104300,Butanoyl-CoA,
3417,bigg.metabolite:,dtdp4d6dm,MNXM1104310,DTDP-4-dehydro-6-deoxy-L-mannose,
3419,bigg.metabolite:,malt6p,MNXM1104316,Maltose6'-phosphate,
3423,bigg.metabolite:,stcoa,MNXM1104352,Stearoyl-CoA(n-C18:0CoA),
3424,bigg.metabolite:,3hadicoa,MNXM1104364,3-Hydroxy-AdipoylCoenzymeA,
3425,bigg.metabolite:,3hadpcoa,MNXM1104364,(3S)-3-Hydroxyadipyl-CoA,
3431,bigg.metabolite:,xmp,MNXM1104385,Xanthosine5'-phosphate,
3434,bigg.metabolite:,5mthf,MNXM1104393,5-Methyltetrahydrofolate,
3435,bigg.metabolite:,preq1,MNXM1104395,7-aminomethyl-7-deazaguanine,
3442,bigg.metabolite:,lcts,MNXM1104432,Lactose,
3443,bigg.metabolite:,ddcacoa,MNXM1104435,Dodecanoyl-CoA(n-C12:0CoA),
3448,bigg.metabolite:,prpp,MNXM1104453,5-Phospho-alpha-D-ribose1-diphosphate,
3450,bigg.metabolite:,sbt6p,MNXM1104463,D-Sorbitol6-phosphate,
3461,bigg.metabolite:,6pgl,MNXM1104491,"6-phospho-D-glucono-1,5-lactone",
3469,bigg.metabolite:,dtdp4d6dg,MNXM1104509,DTDP-4-dehydro-6-deoxy-D-glucose,
3471,bigg.metabolite:,allul6p,MNXM1104516,Allulose6-phosphate,
3472,bigg.metabolite:,fprica,MNXM1104518,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,
3475,bigg.metabolite:,malttr,MNXM1104527,Maltotriose,
3476,bigg.metabolite:,uacgam,MNXM1104529,UDP-N-acetyl-D-glucosamine,
3480,bigg.metabolite:,dpcoa,MNXM1104543,Dephospho-CoA,
3482,bigg.metabolite:,pram,MNXM1104549,5-Phospho-beta-D-ribosylamine,
3484,bigg.metabolite:,paps,MNXM1104555,3'-Phosphoadenylylsulfate,
3485,bigg.metabolite:,idp,MNXM1104559,IDP,
3487,bigg.metabolite:,phaccoa,MNXM1104563,Phenylacetyl-CoA,
3488,bigg.metabolite:,3ohodcoa,MNXM1104572,3-Oxooctadecanoyl-CoA,
3491,bigg.metabolite:,mnl,MNXM1104590,D-Mannitol,
3496,bigg.metabolite:,M02451,MNXM1104617,Maltotetraose,
3497,bigg.metabolite:,maltttr,MNXM1104617,Maltotetraose,
3501,bigg.metabolite:,dc2coa,MNXM1104631,Trans-Dec-2-enoyl-CoA,
3502,bigg.metabolite:,hdd2coa,MNXM1104633,Trans-Hexadec-2-enoyl-CoA,
3504,bigg.metabolite:,25aics,MNXM1104647,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,
3508,bigg.metabolite:,dd2coa,MNXM1104661,Trans-Dodec-2-enoyl-CoA,
3512,bigg.metabolite:,prpncoa,MNXM1104673,Propenoyl-CoA,
3513,bigg.metabolite:,alaala,MNXM1104679,D-Alanyl-D-alanine,
3514,bigg.metabolite:,3hdcoa,MNXM1104681,(S)-3-Hydroxydecanoyl-CoA,
3515,bigg.metabolite:,3odcoa,MNXM1104685,3-Oxodecanoyl-CoA,
3517,bigg.metabolite:,3oddcoa,MNXM1104695,3-Oxododecanoyl-CoA,
3518,bigg.metabolite:,3ohcoa,MNXM1104699,3-Oxohexanoyl-CoA,
3519,bigg.metabolite:,HC01408,MNXM1104699,3-Oxo-HexanoylCoenzymeA,
3521,bigg.metabolite:,3hddcoa,MNXM1104711,(S)-3-Hydroxydodecanoyl-CoA,
3522,bigg.metabolite:,3ohdcoa,MNXM1104713,3-Oxohexadecanoyl-CoA,
3524,bigg.metabolite:,hx2coa,MNXM1104717,Trans-Hex-2-enoyl-CoA,
3526,bigg.metabolite:,3hhcoa,MNXM1104721,(S)-3-Hydroxyhexanoyl-CoA,
3527,bigg.metabolite:,HC01407,MNXM1104721,3S-Hydroxy-HexanoylCoenzymeA,
3528,bigg.metabolite:,3hocoa,MNXM1104724,(S)-3-Hydroxyoctanoyl-CoA,
3529,bigg.metabolite:,HC01405,MNXM1104724,3S-Hydroxy-OctanoylCoenzymeA,
3530,bigg.metabolite:,3htdcoa,MNXM1104726,(S)-3-Hydroxytetradecanoyl-CoA,
3533,bigg.metabolite:,kdo2lipid4,MNXM1104740,KDO(2)-lipidIV(A),
3536,bigg.metabolite:,udpgal,MNXM1104754,UDPgalactose,
3537,bigg.metabolite:,cbl1,MNXM1104756,Cob(I)alamin,
