,Source,BiGG,MNXM,Stuff,Unnamed: 4
5746,bigg.metabolite:,altrn,MNXM2011,D-Altronate,
5753,bigg.metabolite:,dopa,MNXM205,Dopamine,
5757,bigg.metabolite:,2pglyc,MNXM2074,2-Phosphoglycolate,
5763,bigg.metabolite:,cys__D,MNXM2112,D-Cysteine,
5764,bigg.metabolite:,2amsa,MNXM2124,2-Aminomalonatesemialdehyde,
5765,bigg.metabolite:,athr__L,MNXM2125,L-Allo-threonine,
5773,bigg.metabolite:,ncam,MNXM216,Nicotinamide,
5778,bigg.metabolite:,didp,MNXM2174,DIDP||2'-deoxyinosine-5'-diphosphate(3-),
5779,bigg.metabolite:,2dmmq8,MNXM2178,2-Demethylmenaquinone8,
5780,bigg.metabolite:,etha,MNXM218,Ethanolamine,
5781,bigg.metabolite:,etham,MNXM218,Ethanolamine,
5782,bigg.metabolite:,3cmp,MNXM2182,3CMP,
5783,bigg.metabolite:,3gmp,MNXM2183,Guanosine3phosphate,
5785,bigg.metabolite:,3ophb,MNXM2195,3-Octaprenyl-4-hydroxybenzoate,
5787,bigg.metabolite:,aacald,MNXM2212,Aminoacetaldehyde,
5788,bigg.metabolite:,amacald,MNXM2212,Aminoacetaldehyde,
5794,bigg.metabolite:,glyclt,MNXM222,Glycolate,
5795,bigg.metabolite:,mql8,MNXM223,Menaquinol8,
5798,bigg.metabolite:,metsox_R__L,MNXM2245,L-methionine-R-sulfoxide,
5800,bigg.metabolite:,mn2,MNXM2255,Manganese,
5807,bigg.metabolite:,sel,MNXM2282,Selenate,
5811,bigg.metabolite:,pyr,MNXM23,Pyruvate,
5812,bigg.metabolite:,uracp,MNXM2304,Ureidoacrylateperacid,
5814,bigg.metabolite:,q8,MNXM232,Ubiquinone-8,
5817,bigg.metabolite:,dump,MNXM234,DUMP,
5818,bigg.metabolite:,orot,MNXM235,Orotate,
5819,bigg.metabolite:,ocdca,MNXM236,Octadecanoate(n-C18:0),
5824,bigg.metabolite:,ap5a,MNXM2412,"P1,P5-Bis(5'-adenosyl)pentaphosphate",
5827,bigg.metabolite:,camp,MNXM243,CAMP,
5828,bigg.metabolite:,msa,MNXM244,Malonatesemialdehyde,
5834,bigg.metabolite:,pheme,MNXM249,Protoheme,
5839,bigg.metabolite:,succ,MNXM25,Succinate,
5841,bigg.metabolite:,dhor__S,MNXM252,(S)-Dihydroorotate,
5842,bigg.metabolite:,glyc2p,MNXM2527,Glycerol2-phosphate,
5847,bigg.metabolite:,thmpp,MNXM256,Thiaminediphosphate,
5849,bigg.metabolite:,dtmp,MNXM257,DTMP,
5850,bigg.metabolite:,e4p,MNXM258,D-Erythrose4-phosphate,
5853,bigg.metabolite:,23camp,MNXM2598,"2',3'-CyclicAMP",
5854,bigg.metabolite:,ac,MNXM26,Acetate,
5863,bigg.metabolite:,dcmp,MNXM266,DCMP,
5868,bigg.metabolite:,hlipa,MNXM2680,Heptosyl-kdo2-lipidA,
5870,bigg.metabolite:,na1,MNXM27,Sodium,
5871,bigg.metabolite:,ribflv,MNXM270,Riboflavin,
5875,bigg.metabolite:,nac,MNXM274,Nicotinate,
5876,bigg.metabolite:,nicnt,MNXM274,Nicotinate,
5878,bigg.metabolite:,2pg,MNXM275,D-Glycerate2-phosphate,
5887,bigg.metabolite:,actp,MNXM280,Acetylphosphate,
5889,bigg.metabolite:,arbt6p,MNXM2806,Arbutin6-phosphate,
5890,bigg.metabolite:,dhf,MNXM281,"7,8-Dihydrofolate",
5891,bigg.metabolite:,taur,MNXM282,Taurine,
5893,bigg.metabolite:,datp,MNXM286,DATP,
5894,bigg.metabolite:,13ppd,MNXM2861,"1,3-Propanediol",
5896,bigg.metabolite:,glyb,MNXM289,Glycinebetaine,
5897,bigg.metabolite:,gly,MNXM29,Glycine,
5899,bigg.metabolite:,oxa,MNXM291,Oxalate,
5915,bigg.metabolite:,atp,MNXM3,ATP,
5916,bigg.metabolite:,sarcs,MNXM300,Sarcosine,
5919,bigg.metabolite:, btn,MNXM304,Biotin,
5921,bigg.metabolite:,mptamp,MNXM3054,Adenylatedmolybdopterin,
5927,bigg.metabolite:,mththf,MNXM30887,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",
5928,bigg.metabolite:,mthgxl,MNXM310,Methylglyoxal,
5930,bigg.metabolite:,pydx,MNXM311,Pyridoxal,
5943,bigg.metabolite:,23ccmp,MNXM3148,"2',3'-CyclicCMP",
5945,bigg.metabolite:,23cump,MNXM3150,"2',3'-CyclicUMP",
5953,bigg.metabolite:,cyst__L,MNXM319,L-Cystathionine,
5954,bigg.metabolite:,cph4,MNXM3194,"6-carboxy-5,6,7,8-tetrahydropterin",
5960,bigg.metabolite:,pe160,MNXM32178,"Phosphatidylethanolamine(dihexadecanoyl,n-C16:0)",
5967,bigg.metabolite:,1agpe160,MNXM32511,1-Acyl-sn-glycero-3-phosphoethanolamine(n-C16:0),
5972,bigg.metabolite:,1agpe140,MNXM32693,1-Acyl-sn-glycero-3-phosphoethanolamine(n-C14:0),
5975,bigg.metabolite:,agm,MNXM328,Agmatine,
5980,bigg.metabolite:,glu__D,MNXM331,D-Glutamate,
5981,bigg.metabolite:,pppi,MNXM332,Inorganictriphosphate,
5986,bigg.metabolite:,oxam,MNXM3329,Oxamate,
6004,bigg.metabolite:,chor,MNXM337,Chorismate,
6009,bigg.metabolite:,glcn,MNXM341,D-Gluconate,
6010,bigg.metabolite:,glcn__D,MNXM341,DGluconate,
6011,bigg.metabolite:,crnDcoa,MNXM3411,D-carnitinyl-CoA,
6012,bigg.metabolite:,poaac,MNXM3415,Peroxyaminoacrylate,
6016,bigg.metabolite:,dgtp,MNXM344,DGTP,
6034,bigg.metabolite:,2agpe160,MNXM34810,2-Acyl-sn-glycero-3-phosphoethanolamine(n-C16:0),
6035,bigg.metabolite:,2agpe180,MNXM34811,2-Acyl-sn-glycero-3-phosphoethanolamine(n-C18:0),
6043,bigg.metabolite:,pppg9,MNXM351,ProtoporphyrinogenIX,
6052,bigg.metabolite:,hom__L,MNXM353,L-Homoserine,
6056,bigg.metabolite:,nmn,MNXM355,NMN,
6064,bigg.metabolite:,dctp,MNXM360,DCTP,
6065,bigg.metabolite:,aspsa,MNXM361,L-Aspartate4-semialdehyde,
6068,bigg.metabolite:,LalaDglu,MNXM3630,L-alanine-D-glutamate,
6081,bigg.metabolite:,pyam5p,MNXM366,Pyridoxamine5'-phosphate,
6085,bigg.metabolite:,g3pc,MNXM367,Sn-Glycero-3-phosphocholine,
6095,bigg.metabolite:,gln__L,MNXM37,L-Glutamine,
6097,bigg.metabolite:,pan4p,MNXM373,Pantetheine4'-phosphate,
6100,bigg.metabolite:,hqn,MNXM376,Hydroquinone,
6120,bigg.metabolite:,thym,MNXM386,Thymine,
6123,bigg.metabolite:,for,MNXM39,Formate,
6126,bigg.metabolite:,hpyr,MNXM392,Hydroxypyruvate,
6129,bigg.metabolite:, btnso,MNXM3932,D-biotind-sulfoxide,
6130,bigg.metabolite:,dttp,MNXM394,DTTP,
6132,bigg.metabolite:,ahdt,MNXM397,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate",
6138,bigg.metabolite:,LalaLglu,MNXM4026,L-alanine-L-glutamate,
6139,bigg.metabolite:,adp,MNXM40333,ADP,
6141,bigg.metabolite:,4mop,MNXM404,4-Methyl-2-oxopentanoate,
6147,bigg.metabolite:,5aop,MNXM405,5-Amino-4-oxopentanoate,
6158,bigg.metabolite:,dcdp,MNXM411,DCDP,
6162,bigg.metabolite:,xdp,MNXM4133,XDP,
6166,bigg.metabolite:,uppg3,MNXM414,UroporphyrinogenIII,
6171,bigg.metabolite:,acser,MNXM418,O-Acetyl-L-serine,
6173,bigg.metabolite:,pydxn,MNXM419,Pyridoxine,
6174,bigg.metabolite:,thymd,MNXM420,Thymidine,
6176,bigg.metabolite:,4abz,MNXM421,4-Aminobenzoate,
6179,bigg.metabolite:,4abutn,MNXM422,4-Aminobutanal,
6187,bigg.metabolite:,damp,MNXM432,DAMP,
6189,bigg.metabolite:,glyald,MNXM435,D-Glyceraldehyde,
6190,bigg.metabolite:,dgdp,MNXM436,DGDP,
6193,bigg.metabolite:,2ddglcn,MNXM440,2-Dehydro-3-deoxy-D-gluconate,
6201,bigg.metabolite:,dms,MNXM444,Dimethylsulfide,
6205,bigg.metabolite:,tre6p,MNXM448,"Alpha,alpha'-Trehalose6-phosphate",
6211,bigg.metabolite:,dutp,MNXM452,DUTP,
6213,bigg.metabolite:,pdx5p,MNXM454,Pyridoxine5'-phosphate,
6214,bigg.metabolite:,23dhb,MNXM455,"2,3-Dihydroxybenzoate",
6215,bigg.metabolite:, betald,MNXM457,Betainealdehyde,
6229,bigg.metabolite:,oaa,MNXM46,Oxaloacetate,
6230,bigg.metabolite:,dha,MNXM460,Dihydroxyacetone,
6236,bigg.metabolite:,cbasp,MNXM465,N-Carbamoyl-L-aspartate,
6243,bigg.metabolite:,pacald,MNXM473,Phenylacetaldehyde,
6245,bigg.metabolite:,2h3opp,MNXM475,2Hydroxy3oxopropanoate,
6246,bigg.metabolite:,2h3oppan,MNXM475,2-Hydroxy-3-oxopropanoate,
6247,bigg.metabolite:,hop,MNXM475,2-Hydroxy-3-oxopropanoate,
6251,bigg.metabolite:,colipa,MNXM47647,CoreoligosaccharidelipidA,
6253,bigg.metabolite:,5pg35pg,MNXM4772,5-Phosphoguanylyl(3->5)guanosine,
6257,bigg.metabolite:,4hoxpacd,MNXM479,4-Hydroxyphenylacetaldehyde,
6259,bigg.metabolite:,thdp,MNXM480,"2,3,4,5-Tetrahydrodipicolinate",
6267,bigg.metabolite:,so2,MNXM4835,Sulfurdioxide,
6276,bigg.metabolite:,gthrd,MNXM490899,Reducedglutathione,
6279,bigg.metabolite:,duri,MNXM492,Deoxyuridine,
6293,bigg.metabolite:,nadp,MNXM5,Nicotinamideadeninedinucleotidephosphate,
6294,bigg.metabolite:,N1aspmd,MNXM501,N1-Acetylspermidine,
6300,bigg.metabolite:,56dura,MNXM506,"5,6-dihydrouracil",
6303,bigg.metabolite:,HC00361,MNXM507505,"Sedoheptulose1,7-bisphosphate(4-)",
6304,bigg.metabolite:,s17bp,MNXM507505,"Sedoheptulose1,7-bisphosphate",
6309,bigg.metabolite:,mqn8,MNXM509,Menaquinone8,
6310,bigg.metabolite:,methf,MNXM511,"5,10-Methenyltetrahydrofolate",
6344,bigg.metabolite:,26dap__M,MNXM529,"Meso-2,6-Diaminoheptanedioate",
6359,bigg.metabolite:,3php,MNXM541,3-Phosphohydroxypyruvate,
6364,bigg.metabolite:,arab__D,MNXM544,DArabinose,
6371,bigg.metabolite:,hmbil,MNXM547,Hydroxymethylbilane,
6373,bigg.metabolite:,pydam,MNXM548,Pyridoxamine,
6380,bigg.metabolite:,dhna,MNXM552,"1,4-Dihydroxy-2-naphthoate",
6384,bigg.metabolite:,ppbng,MNXM554,Porphobilinogen,
6386,bigg.metabolite:,quln,MNXM555,Quinolinate,
6389,bigg.metabolite:,2dmmql8,MNXM558,2-Demethylmenaquinol8,
6412,bigg.metabolite:,dudp,MNXM572,DUDP,
6423,bigg.metabolite:,so4,MNXM58,Sulfate,
6433,bigg.metabolite:,alltt,MNXM584,Allantoate,
6445,bigg.metabolite:,LalaDgluMdapDala,MNXM59271,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",
6446,bigg.metabolite:,pant__R,MNXM593,(R)-Pantoate,
6460,bigg.metabolite:,iasp,MNXM599,Iminoaspartate,
6463,bigg.metabolite:,h2co3,MNXM60,Carbonicacid,
6464,bigg.metabolite:,hco3,MNXM60,Bicarbonate,
6472,bigg.metabolite:,skm,MNXM602,Shikimate,
6476,bigg.metabolite:,tym,MNXM603,Tyramine,
6480,bigg.metabolite:,h2mb4p,MNXM606,1-hydroxy-2-methyl-2-(E)-butenyl4-diphosphate,
6494,bigg.metabolite:,3dhsk,MNXM611,3-Dehydroshikimate,
6503,bigg.metabolite:,na15dap,MNXM6170,"N-3-aminopropyl-1,5-diaminopentane",
6504,bigg.metabolite:,oxalcoa,MNXM618,Oxalyl-CoA,
6516,bigg.metabolite:,dxyl5p,MNXM622,1-deoxy-D-xylulose5-phosphate,
6519,bigg.metabolite:,dad_2,MNXM625,Deoxyadenosine,
6542,bigg.metabolite:,galctn__L,MNXM636,L-Galactonate,
6555,bigg.metabolite:,psclys,MNXM6409,Psicoselysine,
6557,bigg.metabolite:,26dap_LL,MNXM644,"LL-2,6-Diaminoheptanedioate",
6560,bigg.metabolite:,34dhpacet,MNXM645,3-4-Dihydroxyphenylacetate,
6561,bigg.metabolite:,34dhpha,MNXM645,3-4-Dihydroxyphenylacetate,
6566,bigg.metabolite:,dgsn,MNXM647,Deoxyguanosine,
6570,bigg.metabolite:,2ddg6p,MNXM649,2-Dehydro-3-deoxy-D-gluconate6-phosphate,
6574,bigg.metabolite:,novbcn,MNXM65002,Novobiocin,
6575,bigg.metabolite:,aragund,MNXM65126,O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyldiphosphate,
6579,bigg.metabolite:,mg2,MNXM653,Magnesium,
6593,bigg.metabolite:,glyc3p,MNXM66,Glycerol3-phosphate,
6594,bigg.metabolite:,peamn,MNXM660,Phenethylamine,
6598,bigg.metabolite:,1agpg160,MNXM6605,1-Acyl-sn-glycero-3-phosphoglycerol(n-C16:0),
6601,bigg.metabolite:,thmmp,MNXM662,Thiaminmonophosphate,
6629,bigg.metabolite:,cgly,MNXM683,CysGly,
6641,bigg.metabolite:,glx,MNXM69,Glyoxylate,
6643,bigg.metabolite:,ser__D,MNXM694,D-Serine,
6661,bigg.metabolite:,dcyt,MNXM704,Deoxycytidine,
6705,bigg.metabolite:,dhpt,MNXM722728,Dihydropteroate,
6709,bigg.metabolite:,1agpe180,MNXM722840,1-Acyl-sn-glycero-3-phosphoethanolamine(n-C18:0),
6710,bigg.metabolite:,peste_hs,MNXM722840,1-Stearoylglycerophosphoethanolamine,
6728,bigg.metabolite:,suc6p,MNXM725918,Sucrose6-phosphate,
6738,bigg.metabolite:,mobd,MNXM726092,Molybdate,
6755,bigg.metabolite:,HC02121,MNXM726277,S-(hydroxymethyl)glutathione(1-),
6756,bigg.metabolite:,hmgth,MNXM726277,Hydroxymethylglutathione,
6757,bigg.metabolite:,so3,MNXM726339,Sulfite,
6781,bigg.metabolite:,fe2,MNXM726711,Fe2+mitochondria,
6782,bigg.metabolite:,fe3,MNXM726712,Iron(Fe3+),
6794,bigg.metabolite:,chtbs6p,MNXM726813,Diacetylchitobiose-6-phosphate,
6805,bigg.metabolite:,2ahbut,MNXM726902,(S)-2-Aceto-2-hydroxybutanoate,
6810,bigg.metabolite:,seramp,MNXM726941,L-seryl-AMP,
6821,bigg.metabolite:,2ahhmd,MNXM727068,2Amino4hydroxy6hydroxymethyl78dihydropteridinediphosphate,
6822,bigg.metabolite:,6hmhptpp,MNXM727068,6-hydroxymethyl-dihydropterinpyrophosphate,
6833,bigg.metabolite:,cynt,MNXM727224,Cyanate,
6835,bigg.metabolite:,coa,MNXM727276,CoenzymeA,
6836,bigg.metabolite:,lipidA_HP,MNXM727331,LipidAHP,
6837,bigg.metabolite:,lipidAds,MNXM727331,LipidADisaccharide,
6871,bigg.metabolite:,3pg,MNXM727604,3-Phospho-D-glycerate,
6875,bigg.metabolite:,cyan,MNXM727657,Hydrogencyanide,
6887,bigg.metabolite:,mincyc,MNXM727814,Minocycline,
6888,bigg.metabolite:,xylu__L,MNXM727819,L-Xylulose,
6891,bigg.metabolite:,ascb__L,MNXM727871,L-Ascorbate,
6892,bigg.metabolite:,ag,MNXM727888,Silver,
6901,bigg.metabolite:,ditp,MNXM728062,DITP(4-),
6902,bigg.metabolite:,gtspmd,MNXM728086,Glutathionylspermidine,
6917,bigg.metabolite:,acon_T,MNXM728255,Trans-Aconitate,
6927,bigg.metabolite:,amp,MNXM728294,AMP,
6929,bigg.metabolite:,5caiz,MNXM728322,5-phosphoribosyl-5-carboxyaminoimidazole,
6931,bigg.metabolite:,ile__L,MNXM728337,L-Isoleucine,
6937,bigg.metabolite:,crncoa,MNXM728470,L-Carnitinyl-CoA,
6963,bigg.metabolite:,2ahhmp,MNXM728662,2Amino4hydroxy6hydroxymethyl78dihydropteridine,
6964,bigg.metabolite:,6hmhpt,MNXM728662,6-hydroxymethyldihydropterin,
6982,bigg.metabolite:,4ohbut,MNXM728793,4-Hydroxy-Butyrate,
6994,bigg.metabolite:,malcoame,MNXM728995,Malonyl-CoAmethylester,
7005,bigg.metabolite:,lipoate,MNXM729132,Lipoate,
7006,bigg.metabolite:,lipt,MNXM729132,Lipoate,
7008,bigg.metabolite:,sl26da,MNXM729177,"N-Succinyl-LL-2,6-diaminoheptanedioate",
7011,bigg.metabolite:,HC02172,MNXM729215,Zinc,
7012,bigg.metabolite:,zn2,MNXM729215,Zinc,
7019,bigg.metabolite:,nh3,MNXM729302,Ammonia,
7020,bigg.metabolite:,nh4,MNXM729302,Ammonium,
7036,bigg.metabolite:,gthox,MNXM729383,Oxidizedglutathione,
7048,bigg.metabolite:,rdmbzi,MNXM729592,"N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole",
7049,bigg.metabolite:,acac,MNXM729595,Acetoacetate,
7055,bigg.metabolite:,cbi,MNXM729643,Cobinamide,
7063,bigg.metabolite:,meoh,MNXM729800,Methanol,
7081,bigg.metabolite:,pep,MNXM73,Phosphoenolpyruvate,
7082,bigg.metabolite:,acglu,MNXM730,N-Acetyl-L-glutamate,
7094,bigg.metabolite:,phpyr,MNXM730221,Phenylpyruvate,
7109,bigg.metabolite:,HC01361,MNXM730301,Dihydroneopterin,
7125,bigg.metabolite:,2me4p,MNXM730435,2-C-methyl-D-erythritol4-phosphate,
7139,bigg.metabolite:,lipa,MNXM730505,KDO(2)-lipid(A),
7143,bigg.metabolite:,2doxg6p,MNXM730537,2DeoxyDglucose6phosphate,
7174,bigg.metabolite:,3ig3p,MNXM730763,C'-(3-Indolyl)-glycerol3-phosphate,
7195,bigg.metabolite:,4ppcys,MNXM730898,N-((R)-4-Phosphopantothenoyl)-L-cysteine,
7198,bigg.metabolite:,3c3hmp,MNXM730929,3-Carboxy-3-hydroxy-4-methylpentanoate,
7199,bigg.metabolite:,2sephchc,MNXM730931,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,
7206,bigg.metabolite:,4c2me,MNXM730948,4-(cytidine5'-diphospho)-2-C-methyl-D-erythritol,
7226,bigg.metabolite:,HC01501,MNXM731077,Hydroxidodioxidosulfidosulfate(1-),
7227,bigg.metabolite:,tsul,MNXM731077,Thiosulfate,
7235,bigg.metabolite:,cu2,MNXM731166,Copper,
7238,bigg.metabolite:,35cgmp,MNXM731192,"3',5'-CyclicGMP",
7246,bigg.metabolite:,galt1p,MNXM731248,Galactitol1-phosphate,
7249,bigg.metabolite:,xylu__D,MNXM731281,D-Xylulose,
7258,bigg.metabolite:,ppt,MNXM731416,Phosphonate,
7262,bigg.metabolite:,uaccg,MNXM731472,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine,
7279,bigg.metabolite:,pa160,MNXM731668,"1,2-dihexadecanoyl-sn-glycerol3-phosphate",
7285,bigg.metabolite:,fc1p,MNXM731750,L-Fuculose1-phosphate,
7286,bigg.metabolite:,rml,MNXM731755,L-Rhamnulose,
7287,bigg.metabolite:,lipidA,MNXM731760,"2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine1,4'-bisphosphate",
7292,bigg.metabolite:,lac__D,MNXM731834,D-Lactate,
7293,bigg.metabolite:,lac__L,MNXM731835,L-Lactate,
7300,bigg.metabolite:,lipidX,MNXM731934,"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl1-phosphate",
7302,bigg.metabolite:,ni2,MNXM731950,Nickel,
7313,bigg.metabolite:,glyc__R,MNXM732052,(R)-Glycerate,
7323,bigg.metabolite:,uama,MNXM732162,UDP-N-acetylmuramoyl-L-alanine,
7324,bigg.metabolite:,ugmda,MNXM732166,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",
7335,bigg.metabolite:,no3,MNXM732398,Nitrate,
7340,bigg.metabolite:,citr__L,MNXM732471,L-Citrulline,
7343,bigg.metabolite:,hxan,MNXM732487,Hypoxanthine,
7357,bigg.metabolite:,h2o2,MNXM732620,Hydrogenperoxide,
7364,bigg.metabolite:,preq0,MNXM732649,7-cyano-7-carbaguanine,
7376,bigg.metabolite:,ctbtcoa,MNXM732837,Crotonobetainyl-CoA,
7379,bigg.metabolite:,3mob,MNXM732866,3-Methyl-2-oxobutanoate,
7380,bigg.metabolite:,abt__L,MNXM732880,LArabinitol,
7381,bigg.metabolite:,lald__L,MNXM732880,L-Lactaldehyde,
7405,bigg.metabolite:,gua,MNXM733114,Guanine,
7408,bigg.metabolite:,cd2,MNXM733186,Cadmium,
7414,bigg.metabolite:,s7p,MNXM733314,Sedoheptulose7-phosphate,
7416,bigg.metabolite:,2tpr3dpcoa,MNXM733374,2'-(5''-triphosphoribosyl)-3'-dephospho-CoA,
7439,bigg.metabolite:,urdglyc,MNXM733673,(-)-Ureidoglycolate,
7457,bigg.metabolite:,23cgmp,MNXM733912,"2',3'-CyclicGMP",
7465,bigg.metabolite:,23dhmb,MNXM734,"(R)-2,3-Dihydroxy-3-methylbutanoate",
7471,bigg.metabolite:,6pgc,MNXM734080,6-Phospho-D-gluconate,
7476,bigg.metabolite:,1odecg3p,MNXM734212,1-octadecanoyl-sn-glycerol3-phosphate,
7489,bigg.metabolite:,eths,MNXM7343,Ethanesulfonate,
7490,bigg.metabolite:,ethso3,MNXM7343,Ethanesulfonate,
7508,bigg.metabolite:,1agpg140,MNXM734523,1-Acyl-sn-glycero-3-phosphoglycerol(n-C14:0),
7509,bigg.metabolite:,1tdecg3p,MNXM734523,1-tetradecanoyl-sn-glycerol3-phosphate,
7513,bigg.metabolite:,xyl__D,MNXM734574,D-Xylose,
7514,bigg.metabolite:,gcald,MNXM734590,Glycolaldehyde,
7527,bigg.metabolite:,cu,MNXM734750,Cu+,
7533,bigg.metabolite:,arab__L,MNXM734859,L-Arabinose,
7534,bigg.metabolite:,pnto__R,MNXM734864,(R)-Pantothenate,
7538,bigg.metabolite:,doxrbcn,MNXM735003,Doxorubicin,
7543,bigg.metabolite:,dadp,MNXM735047,DADP,
7548,bigg.metabolite:,indole,MNXM735090,Indole,
7568,bigg.metabolite:,all6p,MNXM735357,D-Allose6-phosphate,
7570,bigg.metabolite:,o2,MNXM735438,O2,
7580,bigg.metabolite:,cholate,MNXM735592,Cholatec,
7583,bigg.metabolite:,cpppg3,MNXM735625,CoproporphyrinogenIII,
7587,bigg.metabolite:,glucys,MNXM735669,Gamma-L-Glutamyl-L-cysteine,
7588,bigg.metabolite:,rbl__D,MNXM735687,D-Ribulose,
7594,bigg.metabolite:,4ppan,MNXM735771,D-4'-Phosphopantothenate,
7599,bigg.metabolite:,cl,MNXM735978,Chloride,
7602,bigg.metabolite:,3dhguln,MNXM736,3-Dehydro-L-gulonate,
7604,bigg.metabolite:,tmao,MNXM736072,TrimethylamineN-oxide,
7607,bigg.metabolite:,cinnm,MNXM736095,Trans-Cinnamate,
7626,bigg.metabolite:,cm,MNXM736341,Chloramphenicol,
7627,bigg.metabolite:,fald,MNXM736417,Formaldehyde,
7642,bigg.metabolite:,dgmp,MNXM736654,DGMP,
7643,bigg.metabolite:,sbt__D,MNXM736685,D-Sorbitol,
7651,bigg.metabolite:,quin,MNXM736788,Quinate,
7655,bigg.metabolite:,3dhq,MNXM736874,3-Dehydroquinate,
7659,bigg.metabolite:,cpe160,MNXM736944,"Cyclopropanephosphatidylethanolamine(dihexadec-9,10-cyclo-anoyl,n-C16:0cyclo)",
7660,bigg.metabolite:,cpe180,MNXM736947,"Cyclopropanephosphatidylethanolamine(dioctadec-11,12-cyclo-anoyl,n-C18:0cyclo)",
7661,bigg.metabolite:,cpg160,MNXM736952,"Cyclopropanephosphatidylglycerol(dihexadec-9,10-cyclo-anoyl,n-C16:0cyclo)",
7662,bigg.metabolite:,cpg180,MNXM736955,"Cyclopropanephosphatidylglycerol(dioctadec-11,12-cyclo-anoyl,n-C18:0cyclo)",
7669,bigg.metabolite:,4r5au,MNXM737103,4-(1-D-Ribitylamino)-5-aminouracil,
7677,bigg.metabolite:,pac,MNXM737265,Phenylaceticacid,
7681,bigg.metabolite:,cdg,MNXM737298,7-deaza-7-carboxyguanine,
7682,bigg.metabolite:,pphn,MNXM737312,Prephenate,
7683,bigg.metabolite:,fum,MNXM737340,Fumarate,
7685,bigg.metabolite:,5aizc,MNXM737371,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,
7700,bigg.metabolite:,ser__L,MNXM737787,L-Serine,
7710,bigg.metabolite:,gfgaragund,MNXM737969,Galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyldiphosphate,
7713,bigg.metabolite:,tartr__L,MNXM737997,L-tartrate,
7717,bigg.metabolite:,cys__L,MNXM738068,L-Cysteine,
7722,bigg.metabolite:,garagund,MNXM738102,Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyldiphosphate,
7727,bigg.metabolite:,forcoa,MNXM738242,Formyl-CoA(4-),
7735,bigg.metabolite:, bbtcoa,MNXM738399,Gamma-butyrobetainyl-CoA,
7738,bigg.metabolite:,n2o,MNXM738430,Nitrousoxide,
7756,bigg.metabolite:,nadph,MNXM738702,Nicotinamideadeninedinucleotidephosphate-reduced,
7760,bigg.metabolite:,met__L,MNXM738804,L-Methionine,
7763,bigg.metabolite:,alltn,MNXM738834,Allantoin,
7770,bigg.metabolite:,4tmeabutn,MNXM738927,4-Trimethylammoniobutanoate,
7790,bigg.metabolite:,1agpg180,MNXM739301,1-Acyl-sn-glycero-3-phosphoglycerol(n-C18:0),
7803,bigg.metabolite:,arg__L,MNXM739527,L-Arginine,
7813,bigg.metabolite:,kdo8p,MNXM739664,3-Deoxy-D-manno-octulosonate8-phosphate,
7832,bigg.metabolite:,progly,MNXM739962,L-Prolinylglycine,
7841,bigg.metabolite:,tcynt,MNXM740078,Thiocyanate,
7859,bigg.metabolite:,rfamp,MNXM740424,Rifampin,
7873,bigg.metabolite:,scl,MNXM740871,Sirohydrochlorin,
7876,bigg.metabolite:,r15bp,MNXM740983,"D-Ribose1,5-bisphosphate",
7877,bigg.metabolite:,tungs,MNXM741004,Tungstate,
7887,bigg.metabolite:,3c2hmp,MNXM741109,3-Carboxy-2-hydroxy-4-methylpentanoate,
7890,bigg.metabolite:,glu__L,MNXM741173,L-Glutamate,
7891,bigg.metabolite:,orn,MNXM741175,Ornithine,
7892,bigg.metabolite:,orn__L,MNXM741175,LOrnithine,
7938,bigg.metabolite:,seln,MNXM741486,Selenide,
7940,bigg.metabolite:,trp__L,MNXM741553,L-Tryptophan,
7943,bigg.metabolite:,Sfglutth,MNXM741595,S-Formylglutathione,
7949,bigg.metabolite:,23doguln,MNXM741619,"2,3-Dioxo-L-gulonate",
7951,bigg.metabolite:,phe__L,MNXM741664,L-Phenylalanine,
7962,bigg.metabolite:,cbm,MNXM742,Carbamate,
8538,bigg.metabolite:,dmso,MNXM745,Dimethylsulfoxide,
8550,bigg.metabolite:,acald,MNXM75,Acetaldehyde,
8551,bigg.metabolite:,octa,MNXM750,Octanoate(n-C8:0),
8570,bigg.metabolite:,phthr,MNXM759,O-Phospho-4-hydroxy-L-threonine,
8571,bigg.metabolite:,tyr__L,MNXM76,L-Tyrosine,
8572,bigg.metabolite:,csn,MNXM761,Cytosine,
