BiGG,BiGG_target
M_ala__D_c,M_pyr_c
M_pydx5p_c,M_pyam5p_c
M_pydx5p_c,M_pyr_c
M_adp_c,M_atp_c
M_adp_c,M_pyr_c
M_h_c,M_atp_c
M_h_c,M_pyr_c
M_pep_c,M_atp_c
M_pep_c,M_pyr_c
M_dscl_c,M_h_c
M_dscl_c,M_nadh_c
M_dscl_c,M_scl_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_nad_c,M_scl_c
M_ru5p__D_c,M_ara5p_c
M_5aprbu_c,M_4r5au_c
M_5aprbu_c,M_pi_c
M_h2o_c,M_4r5au_c
M_h2o_c,M_pi_c
M_cpppg3_c,M_co2_c
M_cpppg3_c,M_h2o_c
M_cpppg3_c,M_pppg9_c
M_h_c,M_co2_c
M_h_c,M_h2o_c
M_h_c,M_pppg9_c
M_o2_c,M_co2_c
M_o2_c,M_h2o_c
M_o2_c,M_pppg9_c
M_gthox_c,M_gthrd_c
M_gthox_c,M_nadp_c
M_h_c,M_gthrd_c
M_h_c,M_nadp_c
M_nadph_c,M_gthrd_c
M_nadph_c,M_nadp_c
M_akg_c,M_3mop_c
M_akg_c,M_glu__L_c
M_ile__L_c,M_3mop_c
M_ile__L_c,M_glu__L_c
M_dhor__S_c,M_mql8_c
M_dhor__S_c,M_orot_c
M_mqn8_c,M_mql8_c
M_mqn8_c,M_orot_c
M_glyclt_c,M_glx_c
M_glyclt_c,M_q8h2_c
M_q8_c,M_glx_c
M_q8_c,M_q8h2_c
M_akg_c,M_3mob_c
M_akg_c,M_glu__L_c
M_val__L_c,M_3mob_c
M_val__L_c,M_glu__L_c
M_glyclt_c,M_glx_c
M_glyclt_c,M_mql8_c
M_mqn8_c,M_glx_c
M_mqn8_c,M_mql8_c
M_2ippm_c,M_3c3hmp_c
M_h2o_c,M_3c3hmp_c
M_2dmmq8_c,M_2dmmql8_c
M_2dmmq8_c,M_glx_c
M_glyclt_c,M_2dmmql8_c
M_glyclt_c,M_glx_c
M_orot5p_c,M_orot_c
M_orot5p_c,M_prpp_c
M_ppi_c,M_orot_c
M_ppi_c,M_prpp_c
M_4r5au_c,M_dmlz_c
M_4r5au_c,M_h2o_c
M_4r5au_c,M_pi_c
M_db4p_c,M_dmlz_c
M_db4p_c,M_h2o_c
M_db4p_c,M_pi_c
M_2obut_c,M_2ahbut_c
M_2obut_c,M_co2_c
M_h_c,M_2ahbut_c
M_h_c,M_co2_c
M_pyr_c,M_2ahbut_c
M_pyr_c,M_co2_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_s17bp_c
M_s7p_c,M_adp_c
M_s7p_c,M_h_c
M_s7p_c,M_s17bp_c
M_23dhmp_c,M_3mop_c
M_23dhmp_c,M_h2o_c
M_h_c,M_alac__S_c
M_h_c,M_co2_c
M_pyr_c,M_alac__S_c
M_pyr_c,M_co2_c
M_indole_c,M_h2o_c
M_indole_c,M_trp__L_c
M_ser__L_c,M_h2o_c
M_ser__L_c,M_trp__L_c
M_pep_c,M_3psme_c
M_pep_c,M_pi_c
M_skm5p_c,M_3psme_c
M_skm5p_c,M_pi_c
M_glyc3p_c,M_dhap_c
M_glyc3p_c,M_q8h2_c
M_q8_c,M_dhap_c
M_q8_c,M_q8h2_c
M_g1p_c,M_glc__D_c
M_g1p_c,M_pi_c
M_h2o_c,M_glc__D_c
M_h2o_c,M_pi_c
M_coa_c,M_accoa_c
M_coa_c,M_for_c
M_pyr_c,M_accoa_c
M_pyr_c,M_for_c
M_chor_c,M_anth_c
M_chor_c,M_glu__L_c
M_chor_c,M_h_c
M_chor_c,M_pyr_c
M_gln__L_c,M_anth_c
M_gln__L_c,M_glu__L_c
M_gln__L_c,M_h_c
M_gln__L_c,M_pyr_c
M_fum_c,M_mqn8_c
M_fum_c,M_succ_c
M_mql8_c,M_mqn8_c
M_mql8_c,M_succ_c
M_2dmmql8_c,M_2dmmq8_c
M_2dmmql8_c,M_succ_c
M_fum_c,M_2dmmq8_c
M_fum_c,M_succ_c
M_anth_c,M_ppi_c
M_anth_c,M_pran_c
M_prpp_c,M_ppi_c
