,#ID,name,reference,formula,charge,mass,InChI,InChIKey,SMILES
210757,MNXM186,D-xylulose 5-phosphate,chebi:57737,C5H9O8P,-2.0,228.0046,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h4-6,8-9H,1-2H2,(H2,10,11,12)/p-2/t4-,5-/m1/s1",InChIKey=FNZLKVNUWIIPSJ-RFZPGFLSSA-L,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]
215902,MNXM191,ubiquinol-8,chebi:61682,C49H76O4,0.0,728.57436,"InChI=1S/C49H76O4/c1-36(2)20-13-21-37(3)22-14-23-38(4)24-15-25-39(5)26-16-27-40(6)28-17-29-41(7)30-18-31-42(8)32-19-33-43(9)34-35-45-44(10)46(50)48(52-11)49(53-12)47(45)51/h20,22,24,26,28,30,32,34,50-51H,13-19,21,23,25,27,29,31,33,35H2,1-12H3/b37-22+,38-24+,39-26+,40-28+,41-30+,42-32+,43-34+",InChIKey=LOJUQFSPYHMHEO-SGHXUWJISA-N,COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC
225055,MNXM20,2-oxoglutarate,chebi:16810,C5H4O5,-2.0,144.00697,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",InChIKey=KPGXRSRHYNQIFN-UHFFFAOYSA-L,O=C([O-])CCC(=O)C(=O)[O-]
254724,MNXM23,pyruvate,chebi:15361,C3H3O3,-1.0,87.00877,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",InChIKey=LCTONWCANYUPML-UHFFFAOYSA-M,CC(=O)C(=O)[O-]
256886,MNXM232,ubiquinone-8,chebi:61683,C49H74O4,0.0,726.55871,"InChI=1S/C49H74O4/c1-36(2)20-13-21-37(3)22-14-23-38(4)24-15-25-39(5)26-16-27-40(6)28-17-29-41(7)30-18-31-42(8)32-19-33-43(9)34-35-45-44(10)46(50)48(52-11)49(53-12)47(45)51/h20,22,24,26,28,30,32,34H,13-19,21,23,25,27,29,31,33,35H2,1-12H3/b37-22+,38-24+,39-26+,40-28+,41-30+,42-32+,43-34+",InChIKey=ICFIZJQGJAJRSU-SGHXUWJISA-N,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O
276162,MNXM25,succinate,chebi:30031,C4H4O4,-2.0,116.01206,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,O=C([O-])CCC(=O)[O-]
284738,MNXM258,D-erythrose 4-phosphate,chebi:16897,C4H7O7P,-2.0,197.99404,"InChI=1S/C4H9O7P/c5-1-3(6)4(7)2-11-12(8,9)10/h1,3-4,6-7H,2H2,(H2,8,9,10)/p-2/t3-,4+/m0/s1",InChIKey=NGHMDNPXVRFFGS-IUYQGCFVSA-L,O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-]
286667,MNXM26,acetate,chebi:30089,C2H3O2,-1.0,59.01385,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-]
302018,MNXM275,(2R)-2-phosphoglycerate,chebi:58289,C3H4O7P,-3.0,182.97111,"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1",InChIKey=GXIURPTVHJPJLF-UWTATZPHSA-K,O=C([O-])[C@@H](CO)OP(=O)([O-])[O-]
307202,MNXM280,acetyl phosphate,chebi:22191,C2H3O5P,-2.0,137.97291,"InChI=1S/C2H5O5P/c1-2(3)7-8(4,5)6/h1H3,(H2,4,5,6)/p-2",InChIKey=LIPOUNRJVLNBCD-UHFFFAOYSA-L,CC(=O)OP(=O)([O-])[O-]
