,#ID,name,reference,formula,charge,mass,InChI,InChIKey,SMILES
140135,MNXM1132237,alpha-D-psicopyranose,metacycM:CPD-22820,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5-,6+/m1/s1",InChIKey=LKDRXBCSQODPBY-KAZBKCHUSA-N,OC[C@]1(O)OC[C@@H](O)[C@@H](O)[C@H]1O
140150,MNXM1132250,N-acetyl-D-serine,metacycM:CPD-22836,C5H8NO4,-1.0,146.04588,"InChI=1S/C5H9NO4/c1-3(8)6-4(2-7)5(9)10/h4,7H,2H2,1H3,(H,6,8)(H,9,10)/p-1/t4-/m1/s1",InChIKey=JJIHLJJYMXLCOY-SCSAIBSYSA-M,CC(=O)N[C@H](CO)C(=O)[O-]
140952,MNXM1132973,D-psicofuranose,metacycM:D-psicofuranose,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5-,6?/m1/s1",InChIKey=RFSUNEUAIZKAJO-JDJSBBGDSA-N,OC[C@H]1OC(O)(CO)[C@H](O)[C@@H]1O
150092,MNXM1184,D-arabinose 5-phosphate,chebi:57693,C5H9O8P,-2.0,228.0046,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h1,3-5,7-9H,2H2,(H2,10,11,12)/p-2/t3-,4-,5+/m1/s1",InChIKey=PPQRONHOSHZGFQ-WDCZJNDASA-L,O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
154893,MNXM1238,L-xylulose 5-phosphate,chebi:57829,C5H9O8P,-2.0,228.0046,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h4-6,8-9H,1-2H2,(H2,10,11,12)/p-2/t4-,5-/m0/s1",InChIKey=FNZLKVNUWIIPSJ-WHFBIAKZSA-L,O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]
154962,MNXM1239,maleate,chebi:30780,C4H2O4,-2.0,113.99641,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1-",InChIKey=VZCYOOQTPOCHFL-UPHRSURJSA-L,O=C([O-])/C=C\C(=O)[O-]
155867,MNXM124945,Dihydroxyacetone (dimer),chebi:173855,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-5(9)3-12-6(10,2-8)4-11-5/h7-10H,1-4H2",InChIKey=KEQUNHIAUQQPAC-UHFFFAOYSA-N,OCC1(O)COC(O)(CO)CO1
156349,MNXM125641,Fenugreekine,chebi:172790,C21H27N7O14P2,0.0,663.10912,"InChI=1S/C21H27N7O14P2/c22-18-12-20(25-6-24-18)28(7-26-12)21-16(32)14(30)11(41-21)5-39-44(36,37)42-43(34,35)38-4-10-13(29)15(31)17(40-10)8-2-1-3-9(27-8)19(23)33/h1-3,6-7,10-11,13-17,21,29-32H,4-5H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,17+,21-/m1/s1",InChIKey=LFERELMXERXKKQ-KMXXXSRASA-N,NC(=O)c1cccc([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)n1
157194,MNXM12665,2-hydroxy-3-phosphonooxybut-3-enoic acid,chebi:8146,C4H7O7P,0.0,197.99294,"InChI=1S/C4H7O7P/c1-2(3(5)4(6)7)11-12(8,9)10/h3,5H,1H2,(H,6,7)(H2,8,9,10)",InChIKey=FPQJGWWGSNGINK-UHFFFAOYSA-N,C=C(OP(=O)(O)O)C(O)C(=O)O
157726,MNXM12738,Molybdopterin precursor Z,hmdb:HMDB0011683,C10H12N5O7P,0.0,345.04743,"InChI=1S/C10H12N5O7P/c11-10-14-8-5(9(18)15-10)13-3(1-12-8)6(17)7-4(16)2-21-23(19,20)22-7/h3-4,7,16H,1-2H2,(H,19,20)(H3,11,12,14,15,18)",InChIKey=YQGTWNYNWXGPDP-UHFFFAOYSA-N,NC1=NC(=O)C2=NC(C(=O)C3OP(=O)(O)OCC3O)CNC2=N1
159658,MNXM13,CO2,chebi:16526,CO2,0.0,43.98983,InChI=1S/CO2/c2-1-3,InChIKey=CURLTUGMZLYLDI-UHFFFAOYSA-N,O=C=O
173885,MNXM1444,"(2S,3S)-3-methyl-L-aspartate",chebi:58724,C5H8NO4,-1.0,146.04588,"InChI=1S/C5H9NO4/c1-2(4(7)8)3(6)5(9)10/h2-3H,6H2,1H3,(H,7,8)(H,9,10)/p-1/t2-,3-/m0/s1",InChIKey=LXRUAYBIUSUULX-HRFVKAFMSA-M,C[C@H](C(=O)[O-])[C@H]([NH3+])C(=O)[O-]
174188,MNXM14469,"3,4,4-trihydroxy-5-phosphooxypentan-2-one",metacycM:CPD0-2468,C5H9O8P,-2.0,228.0046,"InChI=1S/C5H11O8P/c1-3(6)4(7)5(8,9)2-13-14(10,11)12/h4,7-9H,2H2,1H3,(H2,10,11,12)/p-2",InChIKey=RKCAPQYKXONRSI-UHFFFAOYSA-L,CC(=O)C(O)C(O)(O)COP(=O)([O-])[O-]
174423,MNXM145,D-ribulose 5-phosphate,chebi:58121,C5H9O8P,-2.0,228.0046,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h4-6,8-9H,1-2H2,(H2,10,11,12)/p-2/t4-,5+/m1/s1",InChIKey=FNZLKVNUWIIPSJ-UHNVWZDZSA-L,O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
174921,MNXM145737,3-dehydro-D-glucose 6-phosphate,chebi:75052,C6H9O9P,-2.0,255.99952,"InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-3,5-7,9-10H,1H2,(H2,11,12,13)/p-2/t2-,3-,5-,6?/m1/s1",InChIKey=XTCSSQUVVLDALS-KCLVSGOISA-L,O=C1[C@@H](O)C(O)O[C@H](COP(=O)([O-])[O-])[C@H]1O
175442,MNXM146525,alpha-NADH,chebi:77176,C21H27N7O14P2,-2.0,663.11022,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20+,21-/m1/s1",InChIKey=BOPGDPNILDQYTO-OPDHFMQKSA-L,NC(=O)C1=CN([C@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
176741,MNXM148101,beta-D-galactofuranose,chebi:59497,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2-11H,1H2/t2-,3-,4-,5+,6-/m1/s1",InChIKey=AVVWPBAENSWJCB-DGPNFKTASA-N,OC[C@@H](O)[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O
