,BiGG,MNXM,Unnamed: 4
4117,spmd,MNXM124,
4124,HC00250,MNXM124865,
4125,h2s,MNXM124865,
4128,12ppd__S,MNXM1255,
4140,skm5p,MNXM1265,
4148,met__D,MNXM1275,
4151,ca2,MNXM128,
4152,glu5p,MNXM1280,
4154,histd,MNXM1281,
4171,co2,MNXM13,
4181,dmpp,MNXM132,
4193,phom,MNXM1334,
4200,selnp,MNXM1339,
4209,3psme,MNXM1365,
4214,ggbutal,MNXM1378,
4215,cbp,MNXM138,
4218,acg5p,MNXM1384,
4219,prfp,MNXM1397,
4221,34dhpac,MNXM1401,
4222,pppn,MNXM1403,
4224,gg4abut,MNXM1406,
4225,4per,MNXM1407,
4226,prlp,MNXM1408,
4228,thr__L,MNXM142,
4229,eig3p,MNXM1422,
4231,ala_B,MNXM144,
4237,ru5p__D,MNXM145,
4238,glu1sa,MNXM1453,
4239,2cpr5p,MNXM1455,
4254,imacp,MNXM1456,
4273,4adcho,MNXM1458,
4827,hisp,MNXM1482,
4959,mso3,MNXM1485,
5017,pran,MNXM1489,
5070,thrp,MNXM1492,
5079,ppap,MNXM1499,
5083,udpLa4o,MNXM1505,
5094,ohpb,MNXM1514,
5098,g3pi,MNXM1517,
5100,dtdp,MNXM152,
5104,3hppnl,MNXM1526,
5107,34hpp,MNXM153,
5109,dmbzid,MNXM1531,
5111,5apru,MNXM1532,
5117,gdptp,MNXM1561,
5118,hg2,MNXM1562,
5119,sl2a6o,MNXM1563,
5120,idon__L,MNXM1565,
5129,ura,MNXM158,
5139,2obut,MNXM159,
5142,3c4mop,MNXM1602,
5144,mal__D,MNXM1608,
5145,pydx5p,MNXM161,
5154,3amac,MNXM162288,
5178,2dh3dgal,MNXM1627,
5233,isetac,MNXM1630,
5234,istnt,MNXM1630,
5293,3hpppn,MNXM1634,
5379,4hbz,MNXM164,
5390,2p4c2me,MNXM1641,
5547,caproic,MNXM1653,
5548,hxa,MNXM1653,
5626,n8aspmd,MNXM1679,
5627,ade,MNXM168,
5654,2ippm,MNXM1706,
5661,sucsal,MNXM172,
5663,galctn__D,MNXM1734,
5666,xan,MNXM174,
5668,frulys,MNXM1742,
5669,acetol,MNXM1744,
5675,sucarg,MNXM1756,
5676,sucglu,MNXM1757,
5677,sucgsa,MNXM1763,
5684,udpLa4n,MNXM1786,
5685,2mcacn,MNXM1792,
5687,4hthr,MNXM1802,
5702,xu5p__D,MNXM186,
5703,36dahx,MNXM1865,
5708,anth,MNXM188,
5710,2oph,MNXM1886,
5717,q8h2,MNXM191,
5726,4abut,MNXM192,
5727,dimp,MNXM1922,
5731,acanth,MNXM1939,
5734,sula,MNXM1949,
5735,sulfac,MNXM1949,
5739,23dhba,MNXM1978,
5741,dhgly,MNXM1984,
5742,val__L,MNXM199,
5745,akg,MNXM20,
5746,altrn,MNXM2011,
5753,dopa,MNXM205,
5757,2pglyc,MNXM2074,
5763,cys__D,MNXM2112,
5764,2amsa,MNXM2124,
5765,athr__L,MNXM2125,
5773,ncam,MNXM216,
5778,didp,MNXM2174,
5779,2dmmq8,MNXM2178,
5780,etha,MNXM218,
5781,etham,MNXM218,
5782,3cmp,MNXM2182,
5783,3gmp,MNXM2183,
5785,3ophb,MNXM2195,
5787,aacald,MNXM2212,
5788,amacald,MNXM2212,
5794,glyclt,MNXM222,
5795,mql8,MNXM223,
5798,metsox_R__L,MNXM2245,
5800,mn2,MNXM2255,
5807,sel,MNXM2282,
5811,pyr,MNXM23,
5812,uracp,MNXM2304,
5814,q8,MNXM232,
5817,dump,MNXM234,
5818,orot,MNXM235,
5819,ocdca,MNXM236,
5824,ap5a,MNXM2412,
5827,camp,MNXM243,
5828,msa,MNXM244,
5834,pheme,MNXM249,
5839,succ,MNXM25,
5841,dhor__S,MNXM252,
5842,glyc2p,MNXM2527,
5847,thmpp,MNXM256,
5849,dtmp,MNXM257,
5850,e4p,MNXM258,
5853,23camp,MNXM2598,
5854,ac,MNXM26,
5863,dcmp,MNXM266,
5868,hlipa,MNXM2680,
5870,na1,MNXM27,
5871,ribflv,MNXM270,
5875,nac,MNXM274,
5876,nicnt,MNXM274,
5878,2pg,MNXM275,
5887,actp,MNXM280,
5889,arbt6p,MNXM2806,
5890,dhf,MNXM281,
5891,taur,MNXM282,
5893,datp,MNXM286,
5894,13ppd,MNXM2861,
5896,glyb,MNXM289,
5897,gly,MNXM29,
5899,oxa,MNXM291,
5915,atp,MNXM3,
5916,sarcs,MNXM300,
5919, btn,MNXM304,
5921,mptamp,MNXM3054,
5927,mththf,MNXM30887,
5928,mthgxl,MNXM310,
5930,pydx,MNXM311,
5943,23ccmp,MNXM3148,
5945,23cump,MNXM3150,
5953,cyst__L,MNXM319,
5954,cph4,MNXM3194,
5960,pe160,MNXM32178,
5967,1agpe160,MNXM32511,
5972,1agpe140,MNXM32693,
5975,agm,MNXM328,
5980,glu__D,MNXM331,
5981,pppi,MNXM332,
5986,oxam,MNXM3329,
6004,chor,MNXM337,
6009,glcn,MNXM341,
6010,glcn__D,MNXM341,
6011,crnDcoa,MNXM3411,
6012,poaac,MNXM3415,
6016,dgtp,MNXM344,
6034,2agpe160,MNXM34810,
6035,2agpe180,MNXM34811,
6043,pppg9,MNXM351,
6052,hom__L,MNXM353,
6056,nmn,MNXM355,
6064,dctp,MNXM360,
6065,aspsa,MNXM361,
6068,LalaDglu,MNXM3630,
6081,pyam5p,MNXM366,
6085,g3pc,MNXM367,
6095,gln__L,MNXM37,
6097,pan4p,MNXM373,
6100,hqn,MNXM376,
6120,thym,MNXM386,
6123,for,MNXM39,
6126,hpyr,MNXM392,
6129, btnso,MNXM3932,
6130,dttp,MNXM394,
6132,ahdt,MNXM397,
6138,LalaLglu,MNXM4026,
6139,adp,MNXM40333,
6141,4mop,MNXM404,
6147,5aop,MNXM405,
6158,dcdp,MNXM411,
6162,xdp,MNXM4133,
6166,uppg3,MNXM414,
6171,acser,MNXM418,
6173,pydxn,MNXM419,
6174,thymd,MNXM420,
6176,4abz,MNXM421,
6179,4abutn,MNXM422,
6187,damp,MNXM432,
6189,glyald,MNXM435,
6190,dgdp,MNXM436,
6193,2ddglcn,MNXM440,
6201,dms,MNXM444,
6205,tre6p,MNXM448,
6211,dutp,MNXM452,
6213,pdx5p,MNXM454,
6214,23dhb,MNXM455,
6215, betald,MNXM457,
6229,oaa,MNXM46,
6230,dha,MNXM460,
6236,cbasp,MNXM465,
6243,pacald,MNXM473,
6245,2h3opp,MNXM475,
6246,2h3oppan,MNXM475,
6247,hop,MNXM475,
6251,colipa,MNXM47647,
6253,5pg35pg,MNXM4772,
6257,4hoxpacd,MNXM479,
6259,thdp,MNXM480,
6267,so2,MNXM4835,
6276,gthrd,MNXM490899,
6279,duri,MNXM492,
6293,nadp,MNXM5,
6294,N1aspmd,MNXM501,
6300,56dura,MNXM506,
6303,HC00361,MNXM507505,
6304,s17bp,MNXM507505,
6309,mqn8,MNXM509,
6310,methf,MNXM511,
6344,26dap__M,MNXM529,
6359,3php,MNXM541,
6364,arab__D,MNXM544,
6371,hmbil,MNXM547,
6373,pydam,MNXM548,
6380,dhna,MNXM552,
6384,ppbng,MNXM554,
6386,quln,MNXM555,
6389,2dmmql8,MNXM558,
6412,dudp,MNXM572,
6423,so4,MNXM58,
6433,alltt,MNXM584,
6445,LalaDgluMdapDala,MNXM59271,
6446,pant__R,MNXM593,
6460,iasp,MNXM599,
6463,h2co3,MNXM60,
6464,hco3,MNXM60,
6472,skm,MNXM602,
6476,tym,MNXM603,
6480,h2mb4p,MNXM606,
6494,3dhsk,MNXM611,
6503,na15dap,MNXM6170,
6504,oxalcoa,MNXM618,
6516,dxyl5p,MNXM622,
6519,dad_2,MNXM625,
6542,galctn__L,MNXM636,
6555,psclys,MNXM6409,
6557,26dap_LL,MNXM644,
6560,34dhpacet,MNXM645,
6561,34dhpha,MNXM645,
6566,dgsn,MNXM647,
6570,2ddg6p,MNXM649,
6574,novbcn,MNXM65002,
6575,aragund,MNXM65126,
6579,mg2,MNXM653,
6593,glyc3p,MNXM66,
6594,peamn,MNXM660,
6598,1agpg160,MNXM6605,
6601,thmmp,MNXM662,
6629,cgly,MNXM683,
6641,glx,MNXM69,
6643,ser__D,MNXM694,
6661,dcyt,MNXM704,
6705,dhpt,MNXM722728,
6709,1agpe180,MNXM722840,
6710,peste_hs,MNXM722840,
6728,suc6p,MNXM725918,
6738,mobd,MNXM726092,
6755,HC02121,MNXM726277,
6756,hmgth,MNXM726277,
6757,so3,MNXM726339,
6781,fe2,MNXM726711,
6782,fe3,MNXM726712,
6794,chtbs6p,MNXM726813,
6805,2ahbut,MNXM726902,
6810,seramp,MNXM726941,
6821,2ahhmd,MNXM727068,
6822,6hmhptpp,MNXM727068,
6833,cynt,MNXM727224,
6835,coa,MNXM727276,
6836,lipidA_HP,MNXM727331,
6837,lipidAds,MNXM727331,
6871,3pg,MNXM727604,
6875,cyan,MNXM727657,
6887,mincyc,MNXM727814,
6888,xylu__L,MNXM727819,
6891,ascb__L,MNXM727871,
6892,ag,MNXM727888,
6901,ditp,MNXM728062,
6902,gtspmd,MNXM728086,
6917,acon_T,MNXM728255,
6927,amp,MNXM728294,
6929,5caiz,MNXM728322,
6931,ile__L,MNXM728337,
6937,crncoa,MNXM728470,
6963,2ahhmp,MNXM728662,
6964,6hmhpt,MNXM728662,
6982,4ohbut,MNXM728793,
6994,malcoame,MNXM728995,
7005,lipoate,MNXM729132,
7006,lipt,MNXM729132,
7008,sl26da,MNXM729177,
7011,HC02172,MNXM729215,
7012,zn2,MNXM729215,
7019,nh3,MNXM729302,
7020,nh4,MNXM729302,
7036,gthox,MNXM729383,
7048,rdmbzi,MNXM729592,
7049,acac,MNXM729595,
7055,cbi,MNXM729643,
7063,meoh,MNXM729800,
7081,pep,MNXM73,
7082,acglu,MNXM730,
7094,phpyr,MNXM730221,
7109,HC01361,MNXM730301,
7125,2me4p,MNXM730435,
7139,lipa,MNXM730505,
7143,2doxg6p,MNXM730537,
7174,3ig3p,MNXM730763,
7195,4ppcys,MNXM730898,
7198,3c3hmp,MNXM730929,
7199,2sephchc,MNXM730931,
7206,4c2me,MNXM730948,
7226,HC01501,MNXM731077,
7227,tsul,MNXM731077,
7235,cu2,MNXM731166,
7238,35cgmp,MNXM731192,
7246,galt1p,MNXM731248,
7249,xylu__D,MNXM731281,
7258,ppt,MNXM731416,
7262,uaccg,MNXM731472,
7279,pa160,MNXM731668,
7285,fc1p,MNXM731750,
7286,rml,MNXM731755,
7287,lipidA,MNXM731760,
7292,lac__D,MNXM731834,
7293,lac__L,MNXM731835,
7300,lipidX,MNXM731934,
7302,ni2,MNXM731950,
7313,glyc__R,MNXM732052,
7323,uama,MNXM732162,
7324,ugmda,MNXM732166,
7335,no3,MNXM732398,
7340,citr__L,MNXM732471,
7343,hxan,MNXM732487,
7357,h2o2,MNXM732620,
7364,preq0,MNXM732649,
7376,ctbtcoa,MNXM732837,
7379,3mob,MNXM732866,
7380,abt__L,MNXM732880,
7381,lald__L,MNXM732880,
7405,gua,MNXM733114,
7408,cd2,MNXM733186,
7414,s7p,MNXM733314,
7416,2tpr3dpcoa,MNXM733374,
7439,urdglyc,MNXM733673,
7457,23cgmp,MNXM733912,
7465,23dhmb,MNXM734,
7471,6pgc,MNXM734080,
7476,1odecg3p,MNXM734212,
7489,eths,MNXM7343,
7490,ethso3,MNXM7343,
7508,1agpg140,MNXM734523,
7509,1tdecg3p,MNXM734523,
7513,xyl__D,MNXM734574,
7514,gcald,MNXM734590,
7527,cu,MNXM734750,
7533,arab__L,MNXM734859,
7534,pnto__R,MNXM734864,
7538,doxrbcn,MNXM735003,
7543,dadp,MNXM735047,
7548,indole,MNXM735090,
7568,all6p,MNXM735357,
7570,o2,MNXM735438,
7580,cholate,MNXM735592,
7583,cpppg3,MNXM735625,
7587,glucys,MNXM735669,
7588,rbl__D,MNXM735687,
7594,4ppan,MNXM735771,
7599,cl,MNXM735978,
7602,3dhguln,MNXM736,
7604,tmao,MNXM736072,
7607,cinnm,MNXM736095,
7626,cm,MNXM736341,
7627,fald,MNXM736417,
7642,dgmp,MNXM736654,
7643,sbt__D,MNXM736685,
7651,quin,MNXM736788,
7655,3dhq,MNXM736874,
7659,cpe160,MNXM736944,
7660,cpe180,MNXM736947,
7661,cpg160,MNXM736952,
7662,cpg180,MNXM736955,
7669,4r5au,MNXM737103,
7677,pac,MNXM737265,
7681,cdg,MNXM737298,
7682,pphn,MNXM737312,
7683,fum,MNXM737340,
7685,5aizc,MNXM737371,
7700,ser__L,MNXM737787,
7710,gfgaragund,MNXM737969,
7713,tartr__L,MNXM737997,
7717,cys__L,MNXM738068,
7722,garagund,MNXM738102,
7727,forcoa,MNXM738242,
7735, bbtcoa,MNXM738399,
7738,n2o,MNXM738430,
7756,nadph,MNXM738702,
7760,met__L,MNXM738804,
7763,alltn,MNXM738834,
7770,4tmeabutn,MNXM738927,
7790,1agpg180,MNXM739301,
7803,arg__L,MNXM739527,
7813,kdo8p,MNXM739664,
7832,progly,MNXM739962,
7841,tcynt,MNXM740078,
7859,rfamp,MNXM740424,
7873,scl,MNXM740871,
7876,r15bp,MNXM740983,
7877,tungs,MNXM741004,
7887,3c2hmp,MNXM741109,
7890,glu__L,MNXM741173,
7891,orn,MNXM741175,
7892,orn__L,MNXM741175,
7938,seln,MNXM741486,
7940,trp__L,MNXM741553,
7943,Sfglutth,MNXM741595,
7949,23doguln,MNXM741619,
7951,phe__L,MNXM741664,
7962,cbm,MNXM742,
8538,dmso,MNXM745,
8550,acald,MNXM75,
8551,octa,MNXM750,
8570,phthr,MNXM759,
8571,tyr__L,MNXM76,
8572,csn,MNXM761,
8599,dhap,MNXM77,
8640,tartr__D,MNXM7948,
8644,ichor,MNXM799,
8645,nad,MNXM8,
8651,23dhdp,MNXM807,
8652,ragund,MNXM80754,
8655,octdp,MNXM811,
8664,acorn,MNXM817,
8667,suchms,MNXM820,
8669,ppal,MNXM821,
8673,dhpppn,MNXM826,
8677,4crsol,MNXM828,
8678,pcresol,MNXM828,
8683,ipdp,MNXM83,
8724,5d4dglcr,MNXM854,
8725,5dh4dglc,MNXM854,
8765,3hpp,MNXM872,
8804,enter,MNXM883,
8828,glyc,MNXM89612,
8829,icit,MNXM89661,
8835,pi,MNXM9,
8836,chol,MNXM90,
8837,ru5p__L,MNXM901,
8838,mnl1p,MNXM90126,
8840,2dh3dgal6p,MNXM90136,
8843,12ppd__R,MNXM90191,
8851,2ombzl,MNXM90444,
8890,lald__D,MNXM909,
8894,cobalt2,MNXM90960,
8998,cysi__L,MNXM927,
9005,din,MNXM935,
9006,25dkglcn,MNXM936,
9013,mdhdhf,MNXM9407,
9015,15dap,MNXM943,
9039,k,MNXM95,
9045,2dhp,MNXM959,
9048,4mpetz,MNXM960,
9051,4mhetz,MNXM962,
9052,5dglcn,MNXM963,
9059,aso4,MNXM970,
9071,ttrcyc,MNXM97613,
9086,h2o,WATER,
