BiGG,MNXM,Unnamed: 0,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,SMR_VSA1,SlogP_VSA2,SlogP_VSA3,TPSA,FractionCSP3,HeavyAtomCount,NOCount,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR
M_h_c,MNXM1,-1.7302531414824707,-4.250763139822197,1.3644654006932935,-4.250763139822197,-0.5968705275958008,0.34423246288552306,-0.8495096725736737,-0.8612603748626306,-0.8495513078382134,-0.8242249171225887,1.4004725812412657,4.338927945409312,0.6835839163239334,2.664314734373407,-21.91805980128547,-21.917089872838243,-21.91608504908488,-2.474779877093455,-3.394818542806912,-1.8585343094991984,5.7020450658025155,-3.0767542538581885,4.059669752415357,-2.8829636472480353,3.411943805808435,-2.258843294477047,-0.7070805021964461,-0.8433628507927805,-0.7548885632774767,-0.8221991001217562,-0.8189946200127353,-0.7557097789519236,-0.8056426042763092,-0.7416391577866341,-0.8013705471940766,-0.7004242809536279,-0.7649018780158251,-0.657367232816798,-0.7300791438281229,0.8253207534423754,-0.032811255969790606,-0.7506431412671811,-0.6895269378415181,-0.08611247439014538,-0.8193487786448825,-0.8092654721838745,-0.8177879283108204,-0.6878236236996541,-0.8282376158135172,-0.9302224591822443,-2.120903206862034,-0.8301101121178088,-0.8885022439888184,-0.8912264456356184,-0.9181427790927346,-0.6688265680464843,0.12900156273124266,-0.7927134292887625
M_nadh_c,MNXM10,-1.7266559416041287,0.6739222953805202,-1.0647439821823497,0.6739222953805202,-0.532246876427172,-1.1074768292392325,0.30171411148430616,0.33483273981168205,0.30181017906307794,0.24190994684112718,0.27147205219201104,-0.659610347183077,0.3492321755106389,0.6141290872226632,0.042064614820449174,0.04683767997126996,0.05608727318518683,0.8714331419134126,0.12609390500085996,0.6051021930222957,-0.40375649259409346,0.7583936706324731,-0.29604453980203643,0.6867392132744012,-0.03311210279714312,-1.2833116092904189,0.550892289866976,0.25555021410084305,0.16854990822350827,0.20167252983286144,0.28745842075247663,0.1514424178731768,0.24944207895329776,0.18470682642616532,0.32648861905071164,0.24533743177604,0.4512315699873546,0.2722591089524461,0.49520320043126226,-0.569120450441779,-0.032811255969790606,0.0842607155714708,-0.09450980127169172,-0.06777386121611437,0.2438758665056248,0.4333913065570692,0.3036077112030309,0.35265718590705175,0.3276185568866824,0.5469049481202832,-0.32815651484661057,0.2876420701198866,0.6407046394312561,0.7410502130694037,0.6793391073271381,-0.12534084885989272,-0.5570457120393875,0.18976294596968651
M_grdp_c,MNXM100,-1.7230587417257868,0.08558480842756563,-1.0594645196127979,0.08558480842756563,-0.044068846768763555,1.0956835037404211,-0.3104493120854655,-0.308439505684813,-0.31040956710548,-0.3308071288418607,-0.17586440235437276,-0.4731300199822372,0.18495282982302144,-0.19820248832639115,0.04403360293271546,0.04691637805738813,0.04932360408077117,0.8714194592262787,0.13403949195318712,-0.016180336478625188,-0.48688386926215993,0.626146947796294,0.07183099891998489,0.6759856362246937,-0.33751832112839475,1.2798104341710133,-0.35849382717713013,-0.324238102540706,-0.3190023163511283,-0.27617797573335084,-0.3630853554169937,-0.362594317291953,-0.23777349252712096,-0.3494335851725849,-0.19773253312060798,-0.43014470721723613,-0.24520666198241067,-0.4363834278008882,-0.26766864841741744,0.6994337003139447,-0.032811255969790606,-0.2693947606878022,-0.30251906122261274,-0.051851980702613466,-0.34179650687398244,-0.35735544104210365,-0.286196830369698,-0.6262817184245267,-0.17857917433599602,-0.3754854324412515,-0.06739335964436731,-0.3474443970606222,-0.3787666161821269,-0.3199296150888607,-0.29304117136321917,-0.27356422681987225,0.3009432836528745,-0.33706173903237086
M_btal_c,MNXM1017,-1.7194615418474448,-0.5103826445395455,1.6705790600033141,-0.5103826445395455,0.451282703110212,0.8852067447788149,-0.7259466571201739,-0.7408584482418914,-0.7259987559553994,-0.6920594381188223,-0.5050186760435597,0.8340282183311936,-0.9665847254979453,-0.7959235258746896,0.06690536884480067,0.07046284542394818,0.05728271237573469,-0.8028314107014431,0.2367405132480042,-0.7468475158724072,0.7412320481203908,-0.5438415205420092,1.0185148226828198,-0.47815819932338055,0.26143363824508353,-0.2165141969184143,-0.6870066345057358,-0.7017171988053899,-0.6505780640384096,-0.6773630719224676,-0.6897703130029231,-0.6233242785848149,-0.6807701541528579,-0.6511881854843476,-0.7170940256759272,-0.644242128574176,-0.7123603412448339,-0.6338505642337166,-0.7085640672741579,0.6655410321639827,-0.032811255969790606,-0.6307162502690116,-0.5146547529830997,-0.07606548872553377,-0.692253348930598,-0.7181090629854994,-0.7604382880279354,-0.6292691803878756,-0.6548503313499487,-0.8524645264636638,0.44598410216004947,-0.7030928186817071,-0.8156828685878625,-0.8096126127003673,-0.8486870449005662,-0.5700109827398313,0.2963423233427851,-0.6503401981922877
M_dtbt_c,MNXM1020,-1.7158643419691029,-0.21846167005581726,0.9396425515506333,-0.21846167005581726,-0.5732549236766824,1.7464176653345425,-0.48064194634700547,-0.49254956726795224,-0.48069089798985726,-0.4453505439784583,-0.152843277076145,0.17045777402298642,-0.38201411665732066,-0.15639774208200508,0.05812630718157605,0.06607673875762815,0.0704325434717614,-0.7766803663880005,0.10132352635352003,0.2017450113397969,-0.10226216232701382,0.05979084917769472,-0.17070381628705825,-0.34000465931577306,-0.25004125151219975,-0.5239809561017471,-0.5024911283401621,-0.45639719329888623,-0.4114559459745777,-0.4429992043212987,-0.4393729636698526,-0.3748846656968796,-0.4464298141382051,-0.37092436080981606,-0.45596183826278064,-0.3385105404739022,-0.426440226085644,-0.3120963581230511,-0.4141955706661202,0.21525272674305806,-0.032811255969790606,-0.4472876800499201,-0.4236668996881383,-0.07465711982538117,-0.44271664169341335,-0.42284703771960536,-0.5865271946081285,-0.4160060983620801,-0.6548503313499487,-0.544165939094388,0.6171099227615219,-0.4490582318095036,-0.5244053669840388,-0.564771113894614,-0.5708641081318927,-0.37237981212652527,0.09997717144176234,-0.40968570769414514
M_dca_c,MNXM1043,-1.712267142090761,-0.26439398917899004,0.9697421174741249,-0.26439398917899004,-0.2566203503077922,1.3036228424208023,-0.553628570068867,-0.5752947540386938,-0.5537012773807991,-0.5070277675135493,-0.6740228113978174,0.17045777402277953,-0.3820141166571384,-1.1028231629405856,0.040568183855126796,0.04085662542628812,0.044132881279708,-0.776690782019581,0.1234625133939223,-0.3484651099975677,0.12791078867493133,-0.03537194751429761,0.03618993637314346,-0.394616481142428,-0.2500375076514026,0.17437383621887625,-0.6178184858847247,-0.5259924911512155,-0.4517841244699843,-0.4825248992340996,-0.510143966021201,-0.4003391366361455,-0.4704397105692197,-0.4345634660209015,-0.515256750005617,-0.4261716196653751,-0.50842084841239,-0.41263572086190287,-0.5061776504565138,0.5687048374498054,-0.032811255969790606,-0.4560903704429828,-0.28138807676265165,-0.06018741873786416,-0.504792127886138,-0.6210209222712612,-0.6734827413180321,-0.6322206293427641,-0.6548503313499487,-0.7474207110863662,0.9593615639644663,-0.5252686078711647,-0.7428634931869066,-0.7279987797651162,-0.7792313107083978,-0.27356422681987225,0.4672679988626055,-0.45932636422624684
M_mana_c,MNXM1045,-1.708669942212419,-0.28174142858734547,0.3665748862000515,-0.28174142858734547,0.6802993605852402,0.09603882999758104,-0.5121153314841085,-0.5152263319245011,-0.5121196397823172,-0.480594671712796,-0.5001011484863289,0.17842456237886153,-0.38903243756001477,-0.7869936412927997,0.04563302712237176,0.044652294656757366,0.04160406760739516,-0.7701597498499136,0.1038283920113702,0.3172198647809974,-0.31900755068625386,-0.08986388536621162,-0.5019708812570045,-0.35883217687863,-0.2874717835357196,1.3425283540341224,-0.5693419951358814,-0.4792625585588015,-0.5128226454006332,-0.5423488249913275,-0.5025038982500462,-0.5086697057519962,-0.5726223782424316,-0.5054165407646558,-0.5812731843930019,-0.49365140058801216,-0.5715279249568957,-0.5253081840548608,-0.6092601369301415,0.47186864273562806,-0.032811255969790606,-0.4355461492869795,-0.4466191711766202,-0.07722315669862664,-0.5112842052642742,-0.13558021870007086,-0.23870500776851486,-0.10541749682748391,-0.6548503313499487,-0.2866582685272315,0.7311938031625034,-0.4998651491839443,-0.3787666161821269,-0.3199296150888607,-0.43195263974755593,-0.4217876047798518,-0.8180869464326966,-0.5417465574747954
M_acg5sa_c,MNXM1062,-1.705072742334077,-0.11324477631766024,0.8570970159584691,-0.11324477631766024,-0.47588761220842696,0.29616797375876275,-0.5520644592669127,-0.5565472248432779,-0.5520971377247824,-0.5246498313807182,-0.05402736416607505,-0.6685052146773592,0.3570680852490692,0.02304501382965745,0.06525929478294606,0.06826979209078815,0.0660492664397525,-0.7763301220387777,0.15135243547794927,0.03810066163436791,-0.015388956255443027,-0.1428814588110996,-0.0043185905628127476,-0.31364689261864387,-0.01974217354162401,1.2590889700372252,-0.5489540843269277,-0.514778800744347,-0.5076495807144105,-0.537278698241737,-0.5206067590370138,-0.5086454100031237,-0.5725994613090749,-0.5289736514983541,-0.6032222171023359,-0.5372570060216699,-0.6123078777404742,-0.5199577565556186,-0.6043651044200753,0.15230920017884284,-0.032811255969790606,-0.4781754081856865,-0.4376897141152804,-0.07398664605834362,-0.5276611489386743,-0.523932781557023,-0.5048843148532591,-0.4148847347856147,-0.4814630468863801,-0.5212075336519951,-0.16517954284520864,-0.5252686078711647,-0.5244053669840388,-0.564771113894614,-0.5708641081318927,-0.4217876047798518,-0.0464292197588736,-0.5151444131670008
M_no2_c,MNXM107,-1.701475542455735,-1.069105951189239,1.7966258608956758,-1.069105951189239,0.8828752098715116,0.06305566494174648,-0.7713093461786311,-0.7747701942935269,-0.7713227629460755,-0.7449256297203289,-1.0053810129719651,0.45560258073560356,-0.6332116717888087,-0.8263557933035659,0.07348966509221914,0.05730452542498815,0.044132881279708,-0.7526677623561137,1.4161317217474996,-1.9281397279580728,1.0497566855698055,-1.1767265111305962,1.926793417872378,-1.1786788441274645,4.637007961697016,-0.398678155671794,-0.6987816529016221,-0.7503223023627442,-0.7434261075689171,-0.7683635479855089,-0.7432967735546518,-0.7295947856154648,-0.7810096709577943,-0.7345821888417045,-0.7947953078129821,-0.7004242809536279,-0.7649018780158251,-0.657367232816798,-0.7300791438281229,0.5348121692998433,-0.032811255969790606,-0.689010477799171,-0.6228182024731841,-0.0822798368069148,-0.7584488543393316,-0.6169664244398776,-0.8420811677828048,-0.6878236236996541,-0.8282376158135172,-0.6911179548824027,-2.120903206862034,-0.7538997360561478,-0.6700441177859506,-0.6463849468298651,-0.7097755765162295,-0.6688265680464843,0.15547625518221525,-0.7350042394435147
M_hdca_c,MNXM108,-1.6978783425773931,-0.19831011965220102,0.9735494548939541,-0.19831011965220102,-0.2507744412215017,0.8408244345872978,-0.407363355275446,-0.43980945129131793,-0.4074664973054394,-0.34842919270902956,-0.6740228113978174,0.17045777402277953,-0.3820141166571384,-1.1028231629405856,0.02959435677609601,0.024408725427588103,0.02221649611966349,-0.776689952024363,0.10657485841210027,-0.29349986862365895,0.09030482089852337,0.04322909987994342,0.036182513053742024,-0.394607723200032,-0.2500420320343559,0.22673770125196555,-0.5632216885073963,-0.38017718047915244,-0.2673730349086617,-0.30178337466045035,-0.34956458436601473,-0.18578257254401148,-0.2680595120281519,-0.23371860883342313,-0.3281221565597678,-0.2188707983711392,-0.3145531651110402,-0.20098570361416912,-0.31254196147082924,0.5687048374498054,-0.032811255969790606,-0.30200871177295746,0.002848575481906463,-0.04376182909544736,-0.33823950742723763,-0.6210209222712612,-0.6734827413180321,-0.6322206293427641,-0.6548503313499487,-0.7474207110863662,1.0877059294155704,-0.37284785574784257,-0.7428634931869066,-0.7279987797651162,-0.7792313107083978,0.022882529100086813,0.9159766531040726,-0.2607350627240037
M_oxur_c,MNXM1088,-1.6942811426990512,-0.3189492545498643,0.5876969883369376,-0.3189492545498643,1.3317314169032626,-0.04951372194160278,-0.6234800205832557,-0.6205373623507353,-0.6234838432146993,-0.6039491187829781,-0.029776554790127578,-0.6451078859076231,0.33645627102273185,0.0670827800087618,0.058857895653511426,0.05730452542498815,0.04778561213971542,-0.7727243073517149,0.3483808104958044,-0.28662561550777643,0.16245496207492752,-0.6196682213266533,-0.08697026066858513,-0.025354474784597823,-0.03316537598236241,1.286501330907393,-0.5674939072264509,-0.5876864560803785,-0.6176166150119045,-0.645057517178559,-0.6029307124243004,-0.6267844931265897,-0.6840339969950577,-0.642631694894579,-0.709121626430748,-0.6464706897780683,-0.7144444912013875,-0.6286313145844292,-0.7037890475743244,0.05547300546466538,-0.032811255969790606,-0.5603522928096999,-0.5631362026555077,-0.0778065328944437,-0.6155031073371647,-0.5180010500411603,-0.4995716478982251,-0.42606059635508753,-0.6548503313499487,-0.39817052353313975,-2.120903206862034,-0.6014789839328257,-0.4515859915830829,-0.6463849468298651,-0.5014083739397243,-0.6688265680464843,-0.214139974262019,-0.6184080187726994
