BiGG,MNXM,Unnamed: 0,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,SMR_VSA1,SlogP_VSA2,SlogP_VSA3,TPSA,FractionCSP3,HeavyAtomCount,NOCount,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR
pyr,MNXM23,-0.2589983912406193,-0.4799101755164699,0.6602039099931152,-0.4799101755164699,0.7869657639245555,0.43105646410771836,-0.6999702525014949,-0.7032825491214768,-0.6999993299020318,-0.6744373742516535,-0.3855235823897975,0.19319344161162677,-0.4020430422351399,-0.5789288304690253,0.05702892447367297,0.04633925875918814,0.03317468869968574,-0.7755644740176036,0.2742348260717296,-0.4351280646579258,0.39759751638591795,-0.8297105781043573,-0.09789458601851579,-0.028947021388755437,-0.2342760169336874,0.7749987318707066,-0.6488378045918848,-0.6662009566198442,-0.6581875565259823,-0.6848211444099048,-0.6775384008622582,-0.6582744626796831,-0.7137368696019781,-0.6617636697503059,-0.7269475961198831,-0.6606975000244615,-0.7277494010710949,-0.657367232816798,-0.7300791438281229,0.40892511617141275,-0.032811255969790606,-0.6186465203398595,-0.6159082502123183,-0.08211976577409379,-0.6809542983552417,-0.6210209222712612,-0.5918398615631625,-0.5783507532675242,-0.4814630468863801,-0.6696627783677856,-0.9800644028522193,-0.6776893599944868,-0.6700441177859506,-0.6463849468298651,-0.7097755765162295,-0.6194187753931578,-0.2136166150267464,-0.6882203670298392
accoa,MNXM1104266,-1.3669359537699353,0.7526764216063472,-1.1508252062417546,0.7526764216063472,-0.5917351203058232,-1.2646801132794954,0.5486976345182395,0.5887478313813627,0.5487169943009513,0.44456368131356905,0.2766972106716485,-0.6679198050228472,0.35655237017903463,0.6236176079482132,0.04508681853472771,0.05085436856275285,0.05895867124091458,0.9705298892639921,0.03988271844438628,0.6240116096014131,-0.48502948702350945,0.798892739710131,-0.38460664990003973,0.9786386123174436,-0.35661286143286186,-0.9041936265584838,0.6993442176348194,0.475143008085625,0.37047927863285934,0.4724711236061278,0.4397921582939665,0.2726054531264556,0.5311003240209983,0.3207022661550538,0.6666631263076923,0.22298858124786244,0.5996933255019979,0.1831801995853176,0.6377420941403451,-0.35608082207058894,-0.032811255969790606,0.3527948534621009,0.14861700660522992,-0.05086179518685229,0.44490391410117147,0.5129416923952992,0.5390542013984635,0.3638349849495336,0.658386987461627,0.809560038955278,0.11117271402673426,0.465466280930429,0.8591627656341239,0.9858917118751569,1.02661777828798,0.26992149236671936,-0.5240855826179853,0.39593171500812857
akg,MNXM20,-0.3453311883208257,-0.2362593099077879,0.5606669521455756,-0.2362593099077879,0.23891178708481092,0.5833070188887776,-0.6008612404861052,-0.5979639986273744,-0.6008825138109842,-0.5775160229822247,-0.378065146098507,0.1704966911194176,-0.38204840056937583,-0.565384834127882,0.040568183855126796,0.04085662542628812,0.03755796573169464,-0.775329031257984,0.1704088923253703,-0.1772470208678359,0.14413259179312596,-0.35420720249586335,-0.16673029613875767,-0.02138518889995144,-0.2504562171702377,0.8059973158725834,-0.5689285174219683,-0.5633839043017013,-0.5829603179314159,-0.6110908398745789,-0.576167482148436,-0.5785055453743337,-0.6384949426538458,-0.5917958943622142,-0.6617560279367903,-0.5920947979949914,-0.6635921689500084,-0.5939805549339677,-0.6720875442810791,0.15230920017884284,-0.032811255969790606,-0.529535961075695,-0.5179750615718205,-0.07627853365185536,-0.5863789375504351,-0.43277637235864796,-0.4232414350983897,-0.5227477589106342,-0.3080757624228115,-0.4868610302719074,-0.7518966420502561,-0.5760755252456053,-0.5244053669840388,-0.4831572809593629,-0.5708641081318927,-0.4711953974331783,-0.4992212262755444,-0.6268048851162693
oaa,MNXM46,0.17985999391709673,-0.32524628440236697,0.4998243614291199,-0.32524628440236697,1.064418089699677,0.0677793435709933,-0.6252387762850088,-0.6205448824186036,-0.6252549771568776,-0.6039491187829781,-0.36678883153904734,0.17178997749946628,-0.3831877177482453,-0.5449078390621404,0.04422612621480373,0.04268416987058813,0.03317468869968574,-0.7748686328553189,0.1994815385504276,-0.18137611390582117,0.16077619903127588,-0.5172908750140597,-0.22342301349497248,-0.005843582685961046,-0.25984832250723167,0.9626943173604839,-0.5790638708798895,-0.5876864560803785,-0.6136954995249697,-0.6412144273035205,-0.6029307124243004,-0.6142649727230227,-0.6722249757440237,-0.6223984097578277,-0.6902695251563521,-0.6268234235453384,-0.6960703720639728,-0.6168069792859124,-0.6929711258840744,0.15230920017884284,-0.032811255969790606,-0.5552162375206992,-0.5558133472526544,-0.07731070248798687,-0.6141377076269185,-0.43277637235864796,-0.4232414350983897,-0.5227477589106342,-0.3080757624228115,-0.4868610302719074,-1.2652741038546729,-0.6014789839328257,-0.5244053669840388,-0.4831572809593629,-0.5708641081318927,-0.5206031900865048,-0.5740060019824557,-0.6599034353666431
succ,MNXM25,-0.219429192578858,-0.47193762017689694,0.7739261347982234,-0.47193762017689694,0.09847295551962605,0.6519314442271734,-0.6495398444447057,-0.6506232738744256,-0.6495641680568977,-0.6215711826501469,-0.6732133981965461,0.1704930189301583,-0.3820451655640656,-1.1013533254292975,0.040568183855126796,0.03263267542693812,0.023586270192166272,-0.7758780479142271,0.21101222029330374,-0.44039896079373336,0.1502487448326822,-0.4419336559010457,-0.0757351754450285,-0.3462934887771789,-0.27408313504951554,0.446879822533706,-0.6322097773900257,-0.61759585306249,-0.622438338623848,-0.6497832941303059,-0.6249131520739875,-0.6109839841317473,-0.6691301875452894,-0.623856662285932,-0.6916282330556212,-0.6267290752423571,-0.6959821375514021,-0.616635168006142,-0.6928139381079216,0.3120889214572354,-0.032811255969790606,-0.5724220227388519,-0.546118048007969,-0.07258873891788888,-0.6322869276931988,-0.43277637235864796,-0.5048843148532591,-0.5766176349858744,-0.4814630468863801,-0.5646189629904881,-0.4096450008473117,-0.6268824426200461,-0.5972247423849947,-0.564771113894614,-0.640319842324061,-0.5206031900865048,-0.4166148180414813,-0.6626992843156675
thmpp,MNXM256,-0.20863759294383222,0.20782018668491567,-1.0905774936076458,0.20782018668491567,-0.33980750300978374,0.6082025233398237,-0.1173528819806408,-0.09765764339014495,-0.11742826985743861,-0.18983061790450986,-0.17650527679826625,-0.4731300222284831,0.18495283180184582,-0.19936627129432527,0.051964081206427995,0.05856974850181122,0.06562779749436702,0.9668705735220163,0.18654028568851833,0.11801813058612584,-0.4892972534324462,0.6275230629402372,-0.25261559213945295,0.6759904082156194,-1.2424899590688796,-0.5622081636838708,0.05119989572531974,-0.17195864546423897,-0.19718091375328722,-0.12199695393790154,-0.17844637877631692,-0.23972154767929157,-0.06253247638664365,-0.24098551069631366,-0.013824299537906629,-0.24203685493712446,0.08289089706887674,-0.24235896152684494,0.09859355136792064,0.22977815595018455,-0.032811255969790606,-0.20944633196922083,-0.2988495161857846,-0.06917999106825298,-0.16794472049137044,-0.2625972677192015,-0.20842682816554975,-0.533432009385714,0.29030161219523526,-0.11852439057510432,-0.6948547018497654,-0.16962018625007974,-0.08748911457830323,-0.0750881162831074,0.0542374995976227,-0.27356422681987225,-0.12719332680210446,-0.20218425065666512
pep,MNXM73,0.6870651767633096,-0.41520911440040215,-0.9242977452245305,-0.41520911440040215,1.200289804791197,-0.14076371799196327,-0.5644782853317569,-0.5548157292166255,-0.5644453717151415,-0.5687049910486403,-0.46197745020358383,-0.4482058831911453,0.16299597815223135,-0.7177636834455615,0.05702892447367297,0.054014945425248144,0.044132881279708,0.8641452213314111,0.3196548732187835,-0.24820296090931518,-0.39625931104109763,0.2748791410279671,-0.07265594298163347,0.5925496870471694,-0.34508371467437293,1.1998388643881956,-0.544543453283902,-0.555975909026968,-0.5982449538572385,-0.5879676703947317,-0.5873756788136282,-0.6165181697858487,-0.5758185676533554,-0.6233721353340665,-0.5961679273525067,-0.6382799767943158,-0.6494005652796269,-0.6230002130245013,-0.6357534030263611,0.41860873564283047,-0.032811255969790606,-0.5154118090309425,-0.5547226441053978,-0.07494219984369517,-0.5876224972967444,-0.26214715580139225,-0.3520627992565268,-0.6322206293427641,-0.32616760327066313,-0.41753029002722103,-2.120903206862034,-0.5760755252456053,-0.4515859915830829,-0.4015434480241118,-0.43195263974755593,-0.5206031900865048,-0.44941583091882686,-0.6369595518759953
succoa,MNXM1104774,-1.161895560704445,0.7635054972593825,-1.1588250362045396,0.7635054972593825,-0.5731511506589515,-1.307679737983233,0.6478066465336293,0.6940663818754653,0.6478338103919986,0.5414850325829977,0.2766972106716485,-0.6679198050228266,0.3565523701790165,0.6236176079482132,0.042363901013513644,0.04833294360751541,0.056684992780460755,0.9705299895888772,0.03988267026503395,0.6243246974184469,-0.4850305710755537,0.7990322003086616,-0.3846069463404242,0.9790217771368555,-0.3567630783874175,-0.9520180004587879,0.8096883595445492,0.5779600604037681,0.4457065172274258,0.5462014281414536,0.5411630770077888,0.35237437043180486,0.6063422509691307,0.39194221973025817,0.7224917533537888,0.29084129044707785,0.6786034116324576,0.23234815122999025,0.7167935331415429,-0.6126967380631593,-0.032811255969790606,0.441242868304117,0.23740867528303394,-0.04646091888221476,0.539479274905978,0.7011862423079124,0.707652627863236,0.41943797930642335,0.8317742719251956,0.9923617870511559,0.0695072968368106,0.5670801156793105,1.0048015164360358,1.1491193777456592,1.1655292466723166,0.4181448703266989,-0.8096901938667834,0.45734719692169856
fum,MNXM737340,1.215853558879574,-0.5064608101577233,0.6958971628172376,-0.5064608101577233,-0.028264526624565287,0.4317823345868547,-0.6530434526410834,-0.6506232738744256,-0.6530692753532885,-0.6303822145837313,-0.6244391075081969,0.18311132733710198,-0.39316123061978975,-1.012782639990009,0.040568183855126796,0.03263267542693812,0.023586270192166272,-0.7761004677973886,0.2824259714787171,-0.67782236446294,0.3295803530318248,-0.7083484002944974,0.006105198152414427,-0.26441442460376086,-0.23924122292001246,0.860819894864865,-0.6108917468932843,-0.61759585306249,-0.6337183604402967,-0.6608388567061726,-0.6249131520739875,-0.6321838303755233,-0.6891269147953266,-0.6496673804726245,-0.7156770353105053,-0.6512941438127806,-0.7189553843728764,-0.6302125229430273,-0.7052356733479888,0.18620186832880492,-0.032811255969790606,-0.579098894614553,-0.5566829852940093,-0.07330051446906026,-0.6352944227607737,-0.43277637235864796,-0.5048843148532591,-0.5766176349858744,-0.4814630468863801,-0.5646189629904881,-2.120903206862034,-0.6268824426200461,-0.5972247423849947,-0.564771113894614,-0.640319842324061,-0.5700109827398313,-0.4595571142689823,-0.6633731556008171
mal__D,MNXM1608,-0.48202478369781926,-0.43971597619479214,0.5161504232589871,-0.43971597619479214,0.7766897518588111,0.7799925965543844,-0.6217351680886312,-0.6205448824186036,-0.6217498698604866,-0.5951380868493936,-0.5503981856932691,0.17077468988525935,-0.3822933028389073,-0.8783295274351322,0.0551999532938345,0.053649436536388144,0.044132881279708,-0.7723402819534715,0.18739918335501612,-0.14057462029060716,-0.03589544836965556,-0.3784142715625288,-0.2840791244431283,-0.3231277524948845,-0.2964400742562023,0.8300416028464778,-0.6028505742816072,-0.5876864560803785,-0.6086397139051697,-0.6362592459041051,-0.6029307124243004,-0.60371989099922,-0.6622783411960425,-0.6080500644758848,-0.6769006403436797,-0.6130688544335139,-0.6832071020013188,-0.6092363940243983,-0.686044901581327,0.2927216825143999,-0.032811255969790606,-0.5477689573516479,-0.5450402709399293,-0.07658642590428963,-0.6113783271076393,-0.3356882316444099,-0.4179287681433557,-0.47219392193012594,-0.4814630468863801,-0.47246647447866114,-0.4096450008473117,-0.6014789839328257,-0.5244053669840388,-0.4831572809593629,-0.5708641081318927,-0.5206031900865048,-0.613919332672481,-0.652736025676298
