(0.1125,0)
(-3.466129999999994,242)
(1.0094,112)
(0.9854,30)
(-0.038899999999999046,86)
(1.8769999999999998,72)
(-4.827799999999997,78)
(-0.8026,68)
(0.25060000000000004,18)
(4.217600000000003,108)
(-1.6774299999999998,50)
(-2.455129999999997,180)
(-4.447399999999999,66)
(3.369900000000002,140)
(-0.1733999999999956,336)
(2.3222000000000005,164)
(-2.996,8)
(-0.6226000000000003,52)
(-2.0123999999999946,142)
(-0.09149999999999991,26)
(-1.7745999999999968,328)
(-0.9535999999999965,324)
(-2.8776,26)
(-1.2392999999999994,26)
(-4.3101999999999965,116)
(-3.5021299999999975,116)
(-2.707599999999999,56)
(-5.226999999999992,222)
(-2.3496,66)
(-5.226999999999992,222)
(1.1992799999999992,618)
(-3.5910299999999977,132)
(-1.9721099999999971,102)
(5.229600000000017,646)
(-4.616599999999996,166)
(-3.0035999999999983,126)
(15.42249999999997,444)
(-3.5148999999999924,228)
(-3.512399999999992,222)
(-0.6093000000000002,108)
(-5.90246,304)
(-1.9221999999999957,148)
(-4.101599999999997,142)
(-2.245929999999997,174)
(-4.327999999999996,180)
(-1.4370999999999965,142)
(-3.126999999999998,126)
(-5.6453999999999915,206)
(-3.5865999999999976,118)
(-3.982329999999997,142)
(-0.9543999999999999,66)
(-2.455129999999997,180)
(-3.0104999999999977,150)
(-2.4396,94)
(-3.729299999999998,84)
(-4.106029999999997,156)
(-5.015299999999998,240)
(-3.4673299999999974,118)
(-0.9523999999999999,96)
(5.577600000000011,390)
(-2.0921999999999956,132)
(-1.8566000000000003,102)
(2.735900000000001,140)
(-3.752529999999998,124)
(-2.4440299999999993,108)
(-4.033599999999996,174)
(1.6566999999999996,138)
(-0.6485000000000001,52)
(-4.273999999999997,150)
(-4.621029999999996,180)
(-5.223099999999996,134)
(-1.733799999999996,312)
(-2.1053999999999973,170)
(-3.116499999999988,1258)
(-4.219660000000001,258)
(7.778940000000009,470)
(-4.497329999999996,166)
(-4.119129999999998,130)
(-2.151,108)
(0.5660000000000027,364)
(-3.334999999999998,304)
(-4.974399999999999,292)
(-1.9236999999999995,52)
(-5.610799999999997,100)
(-14.100400000000034,392)
(-5.513799999999996,120)
(-2.0060299999999973,170)
(-5.397199999999993,136)
(-11.92460000000002,328)
(-2.4652999999999996,84)
(-3.769999999999998,96)
(12.395599999999982,602)
(-16.276200000000042,456)
(-4.414029999999995,212)
(1.1630000000000043,358)
(-5.395599999999993,136)
(-3.4965999999999977,90)
(-5.649829999999993,220)
(-5.006599999999999,80)
(-2.3203299999999993,94)
(15.009019999999962,284)
(-3.2941999999999974,288)
(-2.737999999999997,298)
(14.714619999999963,290)
(1.387000000000004,360)
(-2.513999999999997,300)
(-3.0719799999999946,198)
(-6.544199999999992,160)
(6.921999999999974,1048)
(2.9474000000000053,384)
(-5.032999999999997,328)
(-2.8128299999999986,148)
(-3.2979999999999983,132)
(-1.4571099999999986,78)
(-1.981729999999997,176)
(-1.1820299999999997,68)
(8.091570000000006,372)
(-5.397199999999993,136)
(0.6068000000000062,348)
(-5.391299999999999,132)
(-4.732399999999997,98)
(-4.160199999999997,94)
(-3.0719799999999946,198)
(-4.524199999999998,96)
(-3.9013999999999975,134)
(-3.7400999999999973,106)
(-7.572999999999987,200)
(-5.226999999999992,222)
(-2.4970999999999948,248)
(-3.2826999999999957,202)
(-3.1308999999999982,84)
(4.988650000000013,594)
(-4.157499999999996,174)
(-3.518599999999997,150)
(-2.071399999999997,316)
(2.1264000000000056,388)
(-3.585399999999998,74)
(-9.748800000000001,264)
(-0.3973999999999952,334)
(1.9432000000000036,370)
(-7.072799999999999,168)
(0.3828000000000065,346)
(-3.128099999999997,292)
(-0.2368000000000004,64)
(-1.2025999999999966,342)
(-0.9943999999999973,340)
(-0.214199999999998,352)
(-2.5547999999999975,316)
(-5.6453999999999915,206)
(-0.42239999999999744,354)
(1.346200000000005,376)
(-1.9577999999999975,310)
(-2.7629999999999972,318)
(-1.982799999999998,330)
(0.3578000000000035,366)
(1.5639999999999938,732)
(-5.6453999999999915,206)
(6.126860000000011,500)
(-4.783999999999996,310)
(2.723400000000006,382)
(-4.366799999999997,96)
(-3.5865999999999976,118)
(-7.056500000000016,336)
(5.500540000000009,494)
(-6.887799999999998,210)
(-0.31011000000000016,54)
(-3.769999999999998,96)
(-3.2213999999999987,72)
(-4.188699999999999,66)
(-1.0305,44)
(-3.254999999999999,72)
(-0.5817999999999999,36)
(-0.5817999999999999,36)
(-1.8064999999999984,66)
(-6.469399999999997,226)
(-1.98,102)
(-2.189659999999997,288)
(-4.463799999999998,76)
(-3.9499999999999966,112)
(-3.9499999999999966,112)
(-3.219799999999999,72)
(-3.2213999999999987,72)
(-4.368399999999997,96)
(-4.368399999999997,96)
(-2.2372999999999985,88)
(-3.5431999999999975,306)
(-1.19426,168)
(-2.2372999999999985,88)
(-2.2372999999999985,88)
(-2.0116599999999965,286)
(-4.824799999999996,326)
(-3.834599999999999,72)
(-4.307779999999993,206)
(2.723400000000006,382)
(-0.5303000000000005,62)
(-5.185799999999993,214)
(-2.438199999999998,108)
(-2.120299999999999,112)
(-3.9499999999999966,112)
(-1.1827,30)
(-5.397199999999993,136)
(-4.622229999999994,214)
(-1.1775999999999962,322)
(-5.397199999999993,136)
(-0.8330999999999991,60)
(-4.229199999999996,122)
(-4.368399999999997,96)
(-4.368399999999997,96)
(-4.368399999999997,96)
(-1.5680999999999996,80)
(-5.174099999999996,304)
(-5.513799999999996,120)
(-10.716600000000007,216)
(-3.280179999999994,200)
(1.9432000000000036,370)
(-2.904099999999997,294)
(2.167200000000004,372)
(-1.189499999999999,60)
(1.1380000000000057,378)
(-2.805599999999998,92)
(-2.1938,66)
(-2.1921999999999997,66)
(16.547899999999963,364)
(-3.7628,52)
(-6.064299999999996,250)
(1.2913999999999999,26)
(-1.3722600000000007,170)
(-0.4845999999999951,154)
(-0.6741,32)
(-6.070199999999998,82)
(-6.070199999999998,82)
(-0.7110000000000001,60)
(-2.6817799999999945,200)
(4.773800000000004,118)
(-2.0214299999999974,124)
(8.680140000000007,312)
