BiGG,MNXM,Name,description,InChI,InChIKey,SMILES,reference,formula,mass,MolLogP,charge,mass_rank,MolLogP_rank,charge_rank,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2DHGHI,BCUT2DHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolMR,fr_AlOO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_ArOO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,frOO,frOO2,fr_O,fr_O_noCOO,fr_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkylarbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arononortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_teracetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,target,PC1,PC2,PC3,PC4,PC5
asp__L,MNXM1108206,L-aspartate,L-Aspartate,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],chebi:29991,C4H6NO4,132.03023,-2.4617,-1.0,154.0,382.0,529.0,9.818657407407407,-1.4537962962962958,9.818657407407407,0.6435185185185186,0.4428176810249004,132.095,126.04699999999998,132.03023125191,52,0,0.3203615787171026,-0.5500914762837285,0.5500914762837285,0.3203615787171026,1.6666666666666667,2.111111111111111,2.2222222222222223,16.374459508080378,10.21912055423767,2.095154663101293,-2.0429507015014874,1.834751148531772,-2.3700287288524096,5.788936753430623,-0.3056077066299356,3.632432151939845,132.52932501298082,7.439157588755425,4.533765786457346,4.533765786457346,4.036581260209188,2.219789382431057,2.219789382431057,1.520863353443058,1.520863353443058,0.7037772767252216,0.7037772767252216,0.2668685913237015,0.2668685913237015,-1.1,60.47184355343589,7.899999999999999,3.032306526953668,3.479710144927536,51.08547977251164,20.74125945091542,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,0.0,12.39012691087786,0.0,19.802129157825057,11.9386105759037,0.0,0.0,5.733667477162185,12.462662452073973,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,23.086978799892364,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,103.45,24.401273027977663,14.69560176298435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,19.47837962962963,17.67449074074074,4.797037037037037,-2.7878703703703693,-1.3518518518518523,-0.6435185185185186,0.0,0.0,0.5,9,3,5,0,0,0,0,0,0,4,2,5,3,0,0,0,0,25.235199999999995,2,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mbasp,-3.546660559684252,-0.2497780542800537,-0.0664796636426813,-0.2901549427940009,0.6446648567841529
Mbasp,MNXM465,N-carbamoyl-L-aspartate,N-Carbamoyl-L-aspartate,"InChI=1S/C5H8N2O5/c6-5(12)7-2(4(10)11)1-3(8)9/h2H,1H2,(H,8,9)(H,10,11)(H3,6,7,12)/p-2/t2-/m0/s1",InChIKey=HLKXYZVTANABHZ-REOHCLBHSA-L,NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-],chebi:32814,C5H6N2O5,174.02877,-3.67273,-2.0,267.0,218.0,316.5,10.097962962962963,-1.7240740740740736,10.097962962962963,0.8697685185185189,0.2963691950851728,174.112,168.064,174.02876845182,68,0,0.279220262888132,-0.5500748877807414,0.5500748877807414,0.279220262888132,1.5,2.0,2.25,16.376120107050344,10.1977941054885,2.09954813531733,-2.1827692047622684,1.8758383842306,-2.4980998651275743,5.824189742488833,-0.3168652819194731,4.135982327213131,197.88411903840284,9.7236146391316,5.864663807731584,5.864663807731584,5.43042811032654,2.879255328924468,2.879255328924468,1.9406984296975816,1.9406984296975816,0.9662579711131852,0.9662579711131852,0.5249904372163554,0.5249904372163554,-1.7899999999999998,249.0665264860381,10.21,4.164037352071751,4.09413540910229,67.13997812496439,30.225445156672087,0.0,0.0,0.0,6.021680127344178,0.0,5.409283605791522,0.0,0.0,0.0,0.0,0.0,12.39012691087786,12.011146117099807,24.90865655266576,17.96029070324788,5.409283605791522,5.316788604006331,0.0,12.462662452073973,0.0,0.0,0.0,0.0,15.529843393687743,0.0,0.0,0.0,29.10865892723654,9.589074368143644,5.409283605791522,6.4208216229260096,0.0,0.0,0.0,0.0,136.37,30.42295315532184,19.802129157825057,0.0,0.0,0.0,0.0,0.0,5.316788604006331,0.0,0.0,10.515811000632228,0.0,0.0,19.99928004535148,36.32058106575964,0.0,-3.3370833333333323,-2.7796759259259263,-0.8697685185185189,0.0,0.0,0.4,12,3,7,0,0,0,0,0,0,5,3,7,4,0,0,0,0,31.9102,2,1,1,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dhor__S,-3.029795737410105,-0.4720487452475874,-0.0150144062743214,-0.6219802294784791,0.6791731412765443
dhor__S,MNXM252,(S)-dihydroorotate,(S)-Dihydroorotate,"InChI=1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)/p-1/t2-/m0/s1",InChIKey=UFIVEPVSAGBUSI-REOHCLBHSA-M,O=C1C[C@@H](C(=O)[O-])NC(=O)N1,chebi:30864,C5H5N2O4,157.02548,-1.483899999999999,-1.0,226.0,503.0,529.0,10.5175,-1.236296296296296,10.5175,0.2783796296296297,0.4834972367827583,157.10500000000002,152.065,157.02548021991,60,0,0.3284972959874912,-0.8614985126446375,0.8614985126446375,0.3284972959874912,1.7272727272727273,2.363636363636364,2.8181818181818183,16.369586503839766,10.187272702913727,2.193089881260465,-2.164880060318447,2.036272417062591,-2.327257663747382,5.939006512100058,-0.2190671866811941,2.787702414454816,244.8669726739103,8.430721420318147,5.389808013303732,5.389808013303732,5.092224152875014,2.8349579846128696,2.8349579846128696,1.9928009761332883,1.9928009761332883,1.1490370297788677,1.1490370297788677,0.6790076807702468,0.6790076807702468,-1.59,243.67817650227752,7.516269925611053,2.567880776141215,1.66411790428133,61.52805666023879,15.319582184522115,0.0,6.041840829147961,0.0,0.0,11.990985415296027,0.0,14.77934664934316,0.0,0.0,0.0,5.897745344357611,6.4208216229260096,0.0,20.11411936859394,17.88873075965364,0.0,0.0,9.984809465271338,12.462662452073973,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,34.143626378483006,4.794537184071822,0.0,6.4208216229260096,9.984809465271338,0.0,0.0,0.0,105.31,23.9305715888016,9.901064578912528,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,9.984809465271338,10.213054789681411,0.0,0.0,16.469305555555557,27.47726851851852,0.0,-1.8984259259259253,-1.936435185185185,-0.2783796296296297,0.0,0.0,0.4,11,2,6,0,1,1,0,0,0,4,2,6,1,0,0,0,1,33.53959999999999,1,1,1,0,0,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,orot,-3.163190211174092,-0.336715493829249,-0.2584484546635101,0.1123271952538544,0.4858239243719108
orot,MNXM235,orotate,Orotate,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)/p-1",InChIKey=PXQPEWDEAKTCGB-UHFFFAOYSA-M,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1,chebi:30839,C5H3N2O4,155.00983,-1.0460000000000005,-1.0,222.0,563.0,529.0,10.441111111111113,-1.3751851851851853,10.441111111111113,0.5115740740740737,0.5356567134105816,155.089,152.065,155.00983015591,58,0,0.354230185315989,-0.8584212291385099,0.8584212291385099,0.354230185315989,1.5454545454545454,2.1818181818181817,2.636363636363636,16.36758762637247,10.396409728569257,2.045636881122854,-2.0267641037557587,2.070879420197454,-2.0361486382472367,5.850800117875692,-0.2749247523861455,3.186012533928303,278.2839337563525,8.430721420318147,5.182701232117184,5.182701232117184,5.092224152875014,2.577239346153364,2.577239346153364,1.6965750084907116,1.6965750084907116,0.9099573183854353,0.9099573183854353,0.522361493380371,0.522361493380371,-1.85,243.67817650227752,7.259289617486338,2.409451488383525,1.5395541210403427,60.7798645524184,15.319582184522115,0.0,5.693927994848461,0.0,0.0,11.979770127538686,0.0,9.77851570501903,4.9839785209472085,0.0,0.0,11.94635540489698,0.0,0.0,20.11411936859394,5.969305287951849,0.0,9.967957041894415,0.0,0.0,0.0,11.760295063310071,0.0,11.890453176022207,5.106527394840706,0.0,11.890453176022207,0.0,26.15031711952768,0.0,0.0,10.488465178920285,6.06636706846161,0.0,0.0,0.0,106.37,23.55368645882252,9.901064578912528,0.0,0.0,0.0,6.06636706846161,0.0,0.0,0.0,9.967957041894415,10.213054789681411,0.0,0.0,16.18574074074074,27.29175925925926,-0.5115740740740737,-2.199351851851852,-0.0999074074074073,0.0,0.0,0.0,0.0,11,2,6,0,0,0,0,1,1,5,2,6,1,0,0,0,1,30.1021,0,0,0,0,1,2,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,orot5p,-3.406127539824828,0.1035550378410754,-0.2809500785428395,-0.1380875041854021,0.6758445157318714
orot5p,MNXM1103557,orotidine 5'-phosphate,Orotidine 5'-phosphate,"InChI=1S/C10H13N2O11P/c13-5-1-3(9(16)17)12(10(18)11-5)8-7(15)6(14)4(23-8)2-22-24(19,20)21/h1,4,6-8,14-15H,2H2,(H,16,17)(H,11,13,18)(H2,19,20,21)/p-3/t4-,6-,7-,8-/m1/s1",InChIKey=KYOBSHFOBAOFBF-XVFCMESISA-K,O=C([O-])c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,chebi:57538,C10H10N2O11P,365.00387,-5.223099999999996,-3.0,563.0,91.0,172.5,11.750574443254669,-5.146468217890326,11.750574443254669,0.2642375283446709,0.4168821621447984,365.167,355.08700000000005,365.0038665097299,134,0,0.3491744363047849,-0.8584232710448383,0.8584232710448383,0.3491744363047849,1.4583333333333333,2.083333333333333,2.625,31.20446210915688,10.12320132362733,2.448438141185571,-2.226208419452252,2.34611558981934,-2.405465829728465,7.442867668096565,-0.2764469249917726,2.35039234999281,742.8101966273347,18.23168632863937,11.543126023845332,12.437553214845249,11.008726372311402,6.228921213713627,7.724366328723957,4.730257526622926,5.92556796042668,3.134419802900638,3.60977956591644,2.12095376024158,2.4562609093256875,-1.86,129828.4026809718,18.478251475928342,6.565194832002093,3.7868549938624665,132.12963994758823,44.26808008445146,18.31189916324491,6.22790117073487,0.0,7.822697123132171,5.689743398203474,9.132147932722685,9.77851570501903,0.0,0.0,0.0,11.94635540489698,0.0,18.27011524731323,48.83312836938279,13.79200241108402,0.0,9.551078168738565,0.0,24.53980033397978,6.606881964512918,22.244575645585364,0.0,5.879988336435371,20.79620979063736,0.0,5.879988336435371,7.822697123132171,55.54563097688212,13.825658400443196,0.0,16.716366349655154,10.860904252533432,0.0,0.0,0.0,217.36,62.20234443906402,39.473643835190266,0.0,4.567099647791355,6.06636706846161,0.0,0.0,0.0,0.0,9.507725682659023,9.630274556552523,19.83610960538179,0.0,44.77546852308501,41.82419453437176,-2.3558831727135305,-3.1185651126926976,0.4470097859102486,-7.034164934492317,-0.922145455404384,-5.146468217890326,0.5,24,3,13,0,1,1,0,1,1,12,3,14,5,0,1,1,2,63.97440000000002,0,2,2,0,1,2,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ump,-0.7856989073407482,-1.446820046079201,-0.2492559194985872,1.7184006302756003,1.0921448498179638
ump,MNXM1104823,UMP,UMP,"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/p-2/t4-,6-,7-,8-/m1/s1",InChIKey=DJJCXFVJDGTHFX-XVFCMESISA-L,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,chebi:57865,C9H11N2O9P,322.02131,-3.5865999999999976,-2.0,512.0,231.5,316.5,11.516407776588,-5.017156660963029,11.516407776588,0.7561283541194257,0.469206672666358,322.166,311.078,322.02131372182004,118,0,0.3486359264656928,-0.8584386267006714,0.8584386267006714,0.3486359264656928,1.4761904761904765,2.142857142857143,2.7142857142857144,31.204461796626564,10.128273259089832,2.440080195126156,-2.1979505695697634,2.3415837900528964,-2.358672833357431,7.442863501856316,-0.2751579520084082,2.1580023963313564,613.4810440285117,15.784092571446669,10.303979712107232,11.198406903107148,9.687359167265484,5.649923213985466,7.145368328995796,4.266227734505928,5.461538168309682,2.817745758417076,3.293105521432879,1.855090265497502,2.190397414581612,-1.33,36879.82653625283,16.047672125077447,5.811942248812526,3.6561522904854167,116.80894198095184,34.36701550553893,18.31189916324491,6.22790117073487,0.0,7.822697123132171,5.689743398203474,9.132147932722685,9.77851570501903,0.0,0.0,0.0,11.94635540489698,6.196843571613076,6.606881964512918,38.93206379047026,7.822697123132171,0.0,9.551078168738565,0.0,24.53980033397978,6.606881964512918,22.74749122234998,0.0,5.879988336435371,15.689682395796655,0.0,5.879988336435371,7.822697123132171,49.57632568893027,13.825658400443196,0.0,6.22790117073487,17.057747824146507,0.0,0.0,0.0,177.22999999999996,50.53911115626371,29.572579256277745,0.0,0.0,0.0,16.83031028786604,0.0,0.0,0.0,9.507725682659023,9.630274556552523,20.43453965178307,0.0,33.564307254182495,30.3940138930534,-1.002802697467876,-0.7807940449034423,0.9516394155398784,-4.8153962348828445,-0.7561283541194257,-5.017156660963029,0.5555555555555556,21,3,11,0,1,1,0,1,1,10,3,12,4,0,1,1,2,59.64390000000002,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,-1.289341750262632,-1.4125439871602414,-0.2279605146417457,1.4174541615700698,0.8916677252236125
udp,MNXM1102128,UDP,UDP,"InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/p-3/t4-,6-,7-,8-/m1/s1",InChIKey=XCCTYIAWTASOJW-XVFCMESISA-K,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,chebi:58223,C9H11N2O12P2,400.98037,-4.101599999999997,-3.0,588.0,176.0,172.5,11.602601532327212,-5.821216665661417,11.602601532327212,0.6883008856834913,0.3855339018661634,401.13700000000006,390.049,400.98036779173,142,0,0.4756533689060268,-0.8584386267006714,0.8584386267006714,0.4756533689060268,1.32,1.96,2.52,31.27024924783214,10.1282732461631,2.447740819760137,-2.2955071874608617,2.5356758458075475,-2.358052978128748,7.589076400368757,-0.3343782718976175,2.081811721000704,776.0944998233945,18.99119935263321,11.97593817899878,13.76479256099861,11.39446594845203,6.380219957325688,9.33625855901646,4.795090988098658,7.53802587764451,3.0209272622507526,5.1217390559359774,2.005031509179822,3.5398686077224903,-1.1800000000000002,181258.6831384958,20.135827544135665,7.209648149519533,5.151483865887606,138.2663316371298,39.30172823151092,18.31189916324491,6.22790117073487,0.0,0.0,13.512440521335645,13.40147817912676,14.34356398995036,0.0,0.0,0.0,11.94635540489698,6.196843571613076,14.429579087645088,52.70115504777765,15.645394246264342,0.0,9.551078168738565,0.0,24.53980033397978,6.606881964512918,22.74749122234998,0.0,5.879988336435371,20.58309399854913,0.0,5.879988336435371,15.645394246264342,49.57632568893027,22.70133805499811,0.0,6.22790117073487,17.057747824146507,0.0,0.0,0.0,226.58999999999995,58.36180827939588,39.03103914396155,0.0,0.0,4.567099647791355,12.263210640074686,0.0,0.0,0.0,13.818357052282613,9.630274556552523,34.88801101652828,0.0,44.34914198793068,30.659344138626253,-1.0832131147722326,-0.840563043010145,0.8923441905628355,-5.494521828455135,-0.967933909674981,-11.12483165995778,0.5555555555555556,25,3,14,0,1,1,0,1,1,13,3,16,6,0,1,1,2,68.3354,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utp,-0.4411513811529532,-1.386095320712314,-0.3568088464889575,2.0279565054319955,0.95438370411305
utp,MNXM1101474,UTP,UTP,"InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/p-4/t4-,6-,7-,8-/m1/s1",InChIKey=PGAVKCOVUIYSFO-XVFCMESISA-J,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,chebi:46398,C9H11N2O15P3,479.93942,-4.616599999999996,-4.0,648.0,134.0,89.0,11.66050504974996,-6.093483916953567,11.66050504974996,0.6233806607064485,0.2950242194894482,480.1080000000001,469.0200000000001,479.9394218616399,166,0,0.4820789163458481,-0.8584386267006714,0.8584386267006714,0.4820789163458481,1.1724137931034482,1.793103448275862,2.3448275862068964,31.29808995122013,10.128273238586091,2.44598395724406,-2.318808580626859,2.6259892306291786,-2.359028104757779,7.651288451991922,-0.3341954619549881,2.047085489928952,943.2050327508318,22.19830613381976,13.647896645890327,16.331178218890074,13.101572729638576,7.110516700665911,11.527148789037124,5.323954241691387,9.61451358697934,3.2190783668349403,6.935281392690607,2.1434053443117658,5.070987095374895,-1.0300000000000005,889963.4885501957,24.24138164067932,8.607476352080825,6.734406572700874,159.7237212933078,48.71888699597521,18.31189916324491,6.22790117073487,0.0,7.822697123132171,13.512440521335645,13.44277930234627,18.654195359573947,0.0,0.0,0.0,11.94635540489698,6.196843571613076,14.429579087645088,66.47024630508504,23.46809136939651,0.0,9.551078168738565,0.0,24.53980033397978,6.606881964512918,22.74749122234998,0.0,5.879988336435371,25.476505601301607,0.0,5.879988336435371,23.46809136939651,49.57632568893027,31.577017709553022,0.0,6.22790117073487,17.057747824146507,0.0,0.0,0.0,275.95,66.18450540252805,48.48949903164535,0.0,0.0,4.567099647791355,12.263210640074686,0.0,0.0,0.0,18.1289884219062,9.630274556552523,49.27748905651767,0.0,55.65336106807061,30.816659149953708,-1.1470633290813634,-0.8889179739599806,0.8441312969241175,-6.021024247068978,-1.149074074074074,-17.802227613948382,0.5555555555555556,29,3,17,0,1,1,0,1,1,16,3,20,8,0,1,1,2,77.02690000000001,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mtp,0.3628664124763646,-1.3445669025251743,-0.350186474428902,2.1803994844190098,1.0588427375402332
Mtp,MNXM1103718,CTP,CTP,"InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)/p-4/t4-,6-,7-,8-/m1/s1",InChIKey=PCDQPRRSZKQHHS-XVFCMESISA-J,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1,chebi:37563,C9H12N3O14P3,478.95541,-4.497329999999996,-4.0,645.0,138.0,89.0,11.74050504974996,-6.084595028064677,11.74050504974996,0.3889179739599806,0.2555779069722297,479.12400000000014,467.0280000000001,478.9554062736399,166,0,0.4820789163458481,-0.8456009302374488,0.8456009302374488,0.4820789163458481,1.206896551724138,1.827586206896552,2.3793103448275863,31.29808991507803,10.12801182540391,2.441729956314754,-2.319023605126379,2.626083862741799,-2.3408466739702467,7.65128792430781,-0.3342104203519811,2.046452308101037,945.7505352739896,22.19830613381976,13.739648355426464,16.42292992842621,13.101572729638576,7.156392555433979,11.573024643805192,5.3709569847484975,9.66151633003645,3.244628471403028,6.960831497258694,2.159019571857944,5.086601322921073,-1.0300000000000005,889963.4885501957,24.24138164067932,8.607476352080825,6.734406572700874,160.24755019252882,53.28598664376656,23.79960611470268,6.22790117073487,0.0,7.822697123132171,7.822697123132171,14.284963260346435,13.859658175502124,0.0,0.0,0.0,6.06636706846161,6.196843571613076,20.44004392723193,66.47024630508504,23.46809136939651,5.409283605791522,9.551078168738565,0.0,24.53980033397978,6.606881964512918,17.750917591532456,0.0,6.010464839586836,25.274469154555906,0.0,6.010464839586836,23.46809136939651,49.57632568893027,31.577017709553022,5.409283605791522,6.22790117073487,12.263210640074686,0.0,0.0,0.0,282.73,60.62523850747605,43.69496184757353,0.0,5.48770695145777,4.567099647791355,12.263210640074686,0.0,0.0,0.0,18.1289884219062,15.039558162344049,49.47430382409138,0.0,44.2547962110644,38.825371643017775,-0.3889179739599806,0.0,0.0442901900649763,-5.737152364982811,-1.124382716049383,-17.76497547991303,0.5555555555555556,29,4,17,0,1,1,0,1,1,16,4,20,8,0,1,1,2,76.61160000000001,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mtp,0.4305607506313508,-1.3318076585036,-0.3679756409521527,2.2337434008270107,0.923573472098077
