source,target
M_g3pg_e,M_g3pg_p
M_g3pe_e,M_g3pe_p
M_g3pc_e,M_g3pc_p
M_ump_e,M_ump_p
M_g1p_e,M_g1p_p
M_cu_c,M_cu_e
M_h_e,M_cu_e
M_h_p,M_zn2_p
M_zn2_c,M_zn2_p
M_skm_e,M_skm_p
M_mn2_e,M_mn2_p
M_gal1p_e,M_gal1p_p
M_glyc2p_p,M_glyc_p
M_glyc2p_p,M_pi_p
M_h2o_p,M_glyc_p
M_h2o_p,M_pi_p
M_h2o_p,M_g1p_p
M_h2o_p,M_h_p
M_h2o_p,M_ump_p
M_udpg_p,M_g1p_p
M_udpg_p,M_h_p
M_udpg_p,M_ump_p
M_o2s_e,M_o2s_p
M_h_p,M_k_p
M_k_c,M_k_p
M_h_p,M_hom__L_p
M_hom__L_c,M_hom__L_p
M_anhgm3p_p,M_LalaDgluMdap_p
M_anhgm3p_p,M_anhgm_p
M_h2o_p,M_LalaDgluMdap_p
M_h2o_p,M_anhgm_p
M_hom__L_e,M_hom__L_p
M_so2_e,M_so2_p
M_cys__L_c,M_cys__L_p
M_damp_e,M_damp_p
M_dcmp_e,M_dcmp_p
M_dgmp_e,M_dgmp_p
M_dtmp_e,M_dtmp_p
M_acser_c,M_acser_p
M_acser_e,M_acser_p
M_h2o_p,M_2agpe140_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdca_p
M_pe140_p,M_2agpe140_p
M_pe140_p,M_h_p
M_pe140_p,M_ttdca_p
M_h2o_p,M_2agpe160_p
M_h2o_p,M_h_p
M_h2o_p,M_hdca_p
M_pe160_p,M_2agpe160_p
M_pe160_p,M_h_p
M_pe160_p,M_hdca_p
M_h2o_p,M_2agpe161_p
M_h2o_p,M_h_p
M_h2o_p,M_hdcea_p
M_pe161_p,M_2agpe161_p
M_pe161_p,M_h_p
M_pe161_p,M_hdcea_p
M_ACP_c,M_dcaACP_c
M_atp_c,M_dcaACP_c
M_dca_c,M_dcaACP_c
M_ACP_c,M_ocACP_c
M_atp_c,M_ocACP_c
M_octa_c,M_ocACP_c
M_ACP_c,M_ocdcaACP_c
M_atp_c,M_ocdcaACP_c
M_ocdca_c,M_ocdcaACP_c
M_ACP_c,M_ddcaACP_c
M_atp_c,M_ddcaACP_c
M_ddca_c,M_ddcaACP_c
M_g1p_p,M_glc__D_p
M_g1p_p,M_pi_p
M_h2o_p,M_glc__D_p
M_h2o_p,M_pi_p
M_2ddecg3p_p,M_2ddecg3p_c
M_2agpg180_p,M_2agpg180_c
M_accoa_c,M_actACP_c
M_h_c,M_actACP_c
M_malACP_c,M_actACP_c
M_alaala_e,M_alaala_p
M_tdec2eACP_c,M_cdec3eACP_c
M_h_c,M_3ocpalm9eACP_c
M_h_c,M_ACP_c
M_malACP_c,M_3ocpalm9eACP_c
M_malACP_c,M_ACP_c
M_tdeACP_c,M_3ocpalm9eACP_c
M_tdeACP_c,M_ACP_c
M_h_c,M_tdeACP_c
M_nadph_c,M_tdeACP_c
M_t3c7mrseACP_c,M_tdeACP_c
M_h_c,M_hdeACP_c
M_nadh_c,M_hdeACP_c
M_t3c9palmeACP_c,M_hdeACP_c
M_2agpg161_p,M_2agpg161_c
M_pg180_p,M_clpn180_p
M_pg180_p,M_glyc_p
M_h2o_p,M_2agpe120_p
M_h2o_p,M_ddca_p
M_h2o_p,M_h_p
M_pe120_p,M_2agpe120_p
M_pe120_p,M_ddca_p
M_pe120_p,M_h_p
M_pg181_p,M_clpn181_p
M_pg181_p,M_glyc_p
M_atp_c,M_pg161_p
M_h2o_c,M_pg161_p
M_pg161_c,M_pg161_p
M_atp_c,M_pgp120_p
M_h2o_c,M_pgp120_p
M_pgp120_c,M_pgp120_p
M_mal__L_e,M_mal__L_p
M_no3_e,M_no3_p
M_cddec5eACP_c,M_3ocmrs7eACP_c
M_cddec5eACP_c,M_ACP_c
M_h_c,M_3ocmrs7eACP_c
M_h_c,M_ACP_c
M_malACP_c,M_3ocmrs7eACP_c
M_malACP_c,M_ACP_c
M_3ocddec5eACP_c,M_3hcddec5eACP_c
M_h_c,M_3hcddec5eACP_c
M_nadph_c,M_3hcddec5eACP_c
M_atp_c,M_pgp161_p
M_h2o_c,M_pgp161_p
M_pgp161_c,M_pgp161_p
M_atp_c,M_pgp181_p
M_h2o_c,M_pgp181_p
M_pgp181_c,M_pgp181_p
M_atp_c,M_pa120_p
M_h2o_c,M_pa120_p
M_pa120_c,M_pa120_p
M_h2o_p,M_2agpg120_p
M_h2o_p,M_ddca_p
M_h2o_p,M_h_p
M_pg120_p,M_2agpg120_p
M_pg120_p,M_ddca_p
M_pg120_p,M_h_p
M_pg120_p,M_clpn120_p
M_pg120_p,M_glyc_p
M_alpp_p,M_2agpe160_p
M_alpp_p,M_lpp_p
M_pe160_p,M_2agpe160_p
M_pe160_p,M_lpp_p
M_ttdcea_e,M_ttdcea_p
M_hdcea_e,M_hdcea_p
M_alpp_p,M_2agpg160_p
M_alpp_p,M_lpp_p
M_pg160_p,M_2agpg160_p
M_pg160_p,M_lpp_p
M_h2o_p,M_2agpe181_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdcea_p
M_pe181_p,M_2agpe181_p
M_pe181_p,M_h_p
M_pe181_p,M_ocdcea_p
M_h2o_p,M_2agpg180_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdca_p
M_pg180_p,M_2agpg180_p
M_pg180_p,M_h_p
M_pg180_p,M_ocdca_p
M_atp_c,M_pa160_p
M_h2o_c,M_pa160_p
M_pa160_c,M_pa160_p
M_h2o_p,M_2agpg181_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdcea_p
M_pg181_p,M_2agpg181_p
M_pg181_p,M_h_p
M_pg181_p,M_ocdcea_p
M_atp_c,M_pa181_p
M_h2o_c,M_pa181_p
M_pa181_c,M_pa181_p
M_h2o_p,M_pg140_p
M_h2o_p,M_pi_p
M_pgp140_p,M_pg140_p
M_pgp140_p,M_pi_p
M_h2o_p,M_pg141_p
M_h2o_p,M_pi_p
M_pgp141_p,M_pg141_p
M_pgp141_p,M_pi_p
M_h2o_p,M_pg160_p
M_h2o_p,M_pi_p
M_pgp160_p,M_pg160_p
M_pgp160_p,M_pi_p
M_h2o_p,M_pg180_p
M_h2o_p,M_pi_p
M_pgp180_p,M_pg180_p
M_pgp180_p,M_pi_p
M_clpn141_p,M_h_p
M_clpn141_p,M_pa141_p
M_clpn141_p,M_pg141_p
M_h2o_p,M_h_p
M_h2o_p,M_pa141_p
M_h2o_p,M_pg141_p
M_clpn160_p,M_h_p
M_clpn160_p,M_pa160_p
M_clpn160_p,M_pg160_p
M_h2o_p,M_h_p
M_h2o_p,M_pa160_p
M_h2o_p,M_pg160_p
M_clpn161_p,M_h_p
M_clpn161_p,M_pa161_p
M_clpn161_p,M_pg161_p
M_h2o_p,M_h_p
M_h2o_p,M_pa161_p
M_h2o_p,M_pg161_p
M_clpn181_p,M_h_p
M_clpn181_p,M_pa181_p
M_clpn181_p,M_pg181_p
M_h2o_p,M_h_p
M_h2o_p,M_pa181_p
M_h2o_p,M_pg181_p
M_h2o_p,M_2agpe180_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdca_p
M_pe180_p,M_2agpe180_p
M_pe180_p,M_h_p
M_pe180_p,M_ocdca_p
M_rib__D_e,M_rib__D_p
M_thm_e,M_thm_p
M_xylu__L_e,M_xylu__L_p
M_h2o_p,M_2agpg140_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdca_p
M_pg140_p,M_2agpg140_p
M_pg140_p,M_h_p
M_pg140_p,M_ttdca_p
M_h2o_p,M_2agpg161_p
M_h2o_p,M_h_p
M_h2o_p,M_hdcea_p
M_pg161_p,M_2agpg161_p
M_pg161_p,M_h_p
M_pg161_p,M_hdcea_p
M_pg160_p,M_clpn160_p
M_pg160_p,M_glyc_p
M_pg161_p,M_clpn161_p
M_pg161_p,M_glyc_p
M_all__D_e,M_all__D_p
M_atp_c,M_pg160_p
M_h2o_c,M_pg160_p
M_pg160_c,M_pg160_p
M_atp_c,M_pgp140_p
M_h2o_c,M_pgp140_p
M_pgp140_c,M_pgp140_p
M_h2o_p,M_12dgr120_p
M_h2o_p,M_pi_p
M_pa120_p,M_12dgr120_p
M_pa120_p,M_pi_p
M_h2o_p,M_12dgr140_p
M_h2o_p,M_pi_p
M_pa140_p,M_12dgr140_p
M_pa140_p,M_pi_p
M_h2o_p,M_12dgr141_p
M_h2o_p,M_pi_p
M_pa141_p,M_12dgr141_p
M_pa141_p,M_pi_p
M_34dhpac_e,M_34dhpac_p
M_h2o_p,M_12dgr160_p
M_h2o_p,M_pi_p
M_pa160_p,M_12dgr160_p
M_pa160_p,M_pi_p
M_g6p_p,M_pi_p
M_pi_c,M_pi_p
M_h2o_p,M_12dgr161_p
M_h2o_p,M_pi_p
M_pa161_p,M_12dgr161_p
M_pa161_p,M_pi_p
M_malthx_e,M_malthx_p
M_h2o_p,M_12dgr180_p
M_h2o_p,M_pi_p
M_pa180_p,M_12dgr180_p
M_pa180_p,M_pi_p
M_pro__L_e,M_pro__L_p
M_fe3hox_un_c,M_fe3hox_un_p
M_h_p,M_fe3hox_un_p
M_h2_c,M_h_p
M_h_c,M_h_p
M_q8_c,M_h_p
M_fe3dhbzs_e,M_fe3dhbzs_p
M_h_p,M_fe3dhbzs_p
M_23dappa_e,M_23dappa_p
M_eca3und_p,M_eca4und_p
M_eca3und_p,M_h_p
M_eca3und_p,M_udcpdp_p
M_unagamuf_p,M_eca4und_p
M_unagamuf_p,M_h_p
M_unagamuf_p,M_udcpdp_p
M_feoxam_e,M_feoxam_p
M_h_p,M_feoxam_p
M_acgam1p_p,M_acgam_p
M_acgam1p_p,M_pi_p
M_h2o_p,M_acgam_p
M_h2o_p,M_pi_p
M_gsn_e,M_gsn_p
M_sbt__D_e,M_sbt__D_p
M_for_e,M_for_p
M_h2o2_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_h2o_p,M_ala__D_p
M_h2o_p,M_murein4px4p_p
M_murein5px4p_p,M_ala__D_p
M_murein5px4p_p,M_murein4px4p_p
M_h2o_p,M_2odec11eg3p_p
M_h2o_p,M_ocdcea_p
M_pa181_p,M_2odec11eg3p_p
M_pa181_p,M_ocdcea_p
M_h_p,M_hg2_p
M_hg2_c,M_hg2_p
M_h_c,M_h_p
M_o2_c,M_h_p
M_q8h2_c,M_h_p
M_h_c,M_tdeACP_c
M_nadh_c,M_tdeACP_c
M_t3c7mrseACP_c,M_tdeACP_c
M_h_c,M_octeACP_c
M_nadh_c,M_octeACP_c
M_t3c11vaceACP_c,M_octeACP_c
M_h_c,M_octeACP_c
M_nadph_c,M_octeACP_c
M_t3c11vaceACP_c,M_octeACP_c
M_glyc3p_c,M_ACP_c
M_tdeACP_c,M_ACP_c
M_glyc3p_c,M_ACP_c
M_octeACP_c,M_ACP_c
M_uaagmda_c,M_murein5p5p_p
M_murein5p5p_p,M_murein5p5p5p_p
M_uaagmda_c,M_murein5p5p5p_p
M_murein5p5p_p,M_ala__D_p
M_murein5p5p_p,M_murein5px4p_p
M_murein5p5p5p_p,M_ala__D_p
M_murein5p5p5p_p,M_murein5px4px4p_p
M_murein5p5p_p,M_alaala_p
M_murein5p5p_p,M_murein5px3p_p
M_h_p,M_melib_p
M_melib_c,M_melib_p
M_glc__D_e,M_glc__D_p
M_h_p,M_na1_p
M_na1_c,M_na1_p
M_minohp_e,M_minohp_p
M_atp_c,M_kdo2lipid4_p
M_h2o_c,M_kdo2lipid4_p
M_kdo2lipid4_c,M_kdo2lipid4_p
M_3oddecACP_c,M_3hddecACP_c
M_h_c,M_3hddecACP_c
M_nadph_c,M_3hddecACP_c
M_3hoctACP_c,M_toct2eACP_c
M_3hddecACP_c,M_tddec2eACP_c
M_dsbcox_p,M_dsbcrd_p
M_dsbcox_p,M_gthox_p
M_gthrd_p,M_dsbcrd_p
M_gthrd_p,M_gthox_p
M_dsbgox_p,M_dsbgrd_p
M_dsbgox_p,M_gthox_p
M_gthrd_p,M_dsbgrd_p
M_gthrd_p,M_gthox_p
M_h_c,M_ocdcaACP_c
M_nadh_c,M_ocdcaACP_c
M_toctd2eACP_c,M_ocdcaACP_c
M_akg_e,M_akg_p
M_h_c,M_ocdcaACP_c
M_nadph_c,M_ocdcaACP_c
M_toctd2eACP_c,M_ocdcaACP_c
M_1ddecg3p_c,M_ACP_c
M_ddcaACP_c,M_ACP_c
M_alltn_e,M_alltn_p
M_asn__L_e,M_asn__L_p
M_atp_c,M_colipa_p
M_colipa_c,M_colipa_p
M_h2o_c,M_colipa_p
M_1agpg141_p,M_g3pg_p
M_1agpg141_p,M_h_p
M_1agpg141_p,M_ttdcea_p
M_h2o_p,M_g3pg_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdcea_p
M_1agpg180_p,M_g3pg_p
M_1agpg180_p,M_h_p
M_1agpg180_p,M_ocdca_p
M_h2o_p,M_g3pg_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdca_p
M_1agpg181_p,M_g3pg_p
M_1agpg181_p,M_h_p
M_1agpg181_p,M_ocdcea_p
M_h2o_p,M_g3pg_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdcea_p
M_f6p_p,M_pi_p
M_pi_c,M_pi_p
M_ppal_c,M_ppal_p
M_h2o_p,M_1tdecg3p_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdca_p
M_pa140_p,M_1tdecg3p_p
M_pa140_p,M_h_p
M_pa140_p,M_ttdca_p
M_h2o_p,M_1tdec7eg3p_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdcea_p
M_pa141_p,M_1tdec7eg3p_p
M_pa141_p,M_h_p
M_pa141_p,M_ttdcea_p
M_h2o_p,M_1odecg3p_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdca_p
M_pa180_p,M_1odecg3p_p
M_pa180_p,M_h_p
M_pa180_p,M_ocdca_p
M_gam6p_p,M_pi_p
M_pi_c,M_pi_p
M_h2o_p,M_1agpe141_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdcea_p
M_pe141_p,M_1agpe141_p
M_pe141_p,M_h_p
M_pe141_p,M_ttdcea_p
M_h2o_p,M_1agpe181_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdcea_p
M_pe181_p,M_1agpe181_p
M_pe181_p,M_h_p
M_pe181_p,M_ocdcea_p
M_h2o_p,M_1agpg140_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdca_p
M_pg140_p,M_1agpg140_p
M_pg140_p,M_h_p
M_pg140_p,M_ttdca_p
M_ppal_e,M_ppal_p
M_ca2_e,M_ca2_p
M_cu_e,M_cu_p
M_3hcpalm9eACP_c,M_t3c9palmeACP_c
M_h2o_p,M_1agpg160_p
M_h2o_p,M_h_p
M_h2o_p,M_hdca_p
M_pg160_p,M_1agpg160_p
M_pg160_p,M_h_p
M_pg160_p,M_hdca_p
M_cu_p,M_cu2_p
M_cu_p,M_h2o_p
M_h_p,M_cu2_p
M_h_p,M_h2o_p
M_o2_p,M_cu2_p
M_o2_p,M_h2o_p
M_h2o_p,M_1agpg181_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdcea_p
M_pg181_p,M_1agpg181_p
M_pg181_p,M_h_p
M_pg181_p,M_ocdcea_p
M_1agpe141_p,M_g3pe_p
M_1agpe141_p,M_h_p
M_1agpe141_p,M_ttdcea_p
M_h2o_p,M_g3pe_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdcea_p
M_12ppd__R_e,M_12ppd__R_p
M_1agpe160_p,M_g3pe_p
M_1agpe160_p,M_h_p
M_1agpe160_p,M_hdca_p
M_h2o_p,M_g3pe_p
M_h2o_p,M_h_p
M_h2o_p,M_hdca_p
M_1agpe180_p,M_g3pe_p
M_1agpe180_p,M_h_p
M_1agpe180_p,M_ocdca_p
M_h2o_p,M_g3pe_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdca_p
M_h_c,M_ocACP_c
M_nadph_c,M_ocACP_c
M_toct2eACP_c,M_ocACP_c
M_h_c,M_ddcaACP_c
M_nadph_c,M_ddcaACP_c
M_tddec2eACP_c,M_ddcaACP_c
M_3ocvac11eACP_c,M_3hcvac11eACP_c
M_h_c,M_3hcvac11eACP_c
M_nadph_c,M_3hcvac11eACP_c
M_3hcddec5eACP_c,M_t3c5ddeceACP_c
M_h_c,M_cddec5eACP_c
M_nadph_c,M_cddec5eACP_c
M_t3c5ddeceACP_c,M_cddec5eACP_c
M_1agpe181_p,M_g3pe_p
M_1agpe181_p,M_h_p
M_1agpe181_p,M_ocdcea_p
M_h2o_p,M_g3pe_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdcea_p
M_1agpg160_p,M_g3pg_p
M_1agpg160_p,M_h_p
M_1agpg160_p,M_hdca_p
M_h2o_p,M_g3pg_p
M_h2o_p,M_h_p
M_h2o_p,M_hdca_p
M_1agpg161_p,M_g3pg_p
M_1agpg161_p,M_h_p
M_1agpg161_p,M_hdcea_p
M_h2o_p,M_g3pg_p
M_h2o_p,M_h_p
M_h2o_p,M_hdcea_p
M_gthrd_p,M_cgly_p
M_gthrd_p,M_glu__L_p
M_h2o_p,M_cgly_p
M_h2o_p,M_glu__L_p
M_progly_e,M_progly_p
M_h2o_p,M_ala__D_p
M_h2o_p,M_murein4px4px4p_p
M_murein5px4px4p_p,M_ala__D_p
M_murein5px4px4p_p,M_murein4px4px4p_p
M_1agpg120_p,M_ddca_p
M_1agpg120_p,M_g3pg_p
M_1agpg120_p,M_h_p
M_h2o_p,M_ddca_p
M_h2o_p,M_g3pg_p
M_h2o_p,M_h_p
M_h2o_p,M_1agpe140_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdca_p
M_pe140_p,M_1agpe140_p
M_pe140_p,M_h_p
M_pe140_p,M_ttdca_p
M_h2o_p,M_1agpe160_p
M_h2o_p,M_h_p
M_h2o_p,M_hdca_p
M_pe160_p,M_1agpe160_p
M_pe160_p,M_h_p
M_pe160_p,M_hdca_p
M_h2o_p,M_1hdec9eg3p_p
M_h2o_p,M_h_p
M_h2o_p,M_hdcea_p
M_pa161_p,M_1hdec9eg3p_p
M_pa161_p,M_h_p
M_pa161_p,M_hdcea_p
M_h2o_p,M_1odec11eg3p_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdcea_p
M_pa181_p,M_1odec11eg3p_p
M_pa181_p,M_h_p
M_pa181_p,M_ocdcea_p
M_f6p_e,M_f6p_p
M_h2o_p,M_ala__D_p
M_h2o_p,M_murein5p4p_p
M_murein5p5p_p,M_ala__D_p
M_murein5p5p_p,M_murein5p4p_p
M_h_c,M_myrsACP_c
M_nadh_c,M_myrsACP_c
M_tmrs2eACP_c,M_myrsACP_c
M_but2eACP_c,M_butACP_c
M_h_c,M_butACP_c
M_nadph_c,M_butACP_c
M_gam6p_e,M_gam6p_p
M_h_c,M_3ocvac11eACP_c
M_h_c,M_ACP_c
M_hdeACP_c,M_3ocvac11eACP_c
M_hdeACP_c,M_ACP_c
M_malACP_c,M_3ocvac11eACP_c
M_malACP_c,M_ACP_c
M_h_c,M_hdeACP_c
M_nadph_c,M_hdeACP_c
M_t3c9palmeACP_c,M_hdeACP_c
M_glyc3p_c,M_ACP_c
M_myrsACP_c,M_ACP_c
M_glyc3p_c,M_ACP_c
M_palmACP_c,M_ACP_c
M_glyc3p_c,M_1hdec9eg3p_c
M_glyc3p_c,M_ACP_c
M_hdeACP_c,M_1hdec9eg3p_c
M_hdeACP_c,M_ACP_c
M_1hdecg3p_c,M_ACP_c
M_palmACP_c,M_ACP_c
M_1tdecg3p_c,M_ACP_c
M_myrsACP_c,M_ACP_c
M_h2o_p,M_ala__D_p
M_h2o_p,M_murein3p3p_p
M_murein4p3p_p,M_ala__D_p
M_murein4p3p_p,M_murein3p3p_p
M_ddcaACP_c,M_3omrsACP_c
M_ddcaACP_c,M_ACP_c
M_h_c,M_3omrsACP_c
M_h_c,M_ACP_c
M_malACP_c,M_3omrsACP_c
M_malACP_c,M_ACP_c
M_3omrsACP_c,M_3hmrsACP_c
M_h_c,M_3hmrsACP_c
M_nadph_c,M_3hmrsACP_c
M_h2o_p,M_alaala_p
M_h2o_p,M_murein3px4p_p
M_murein5px4p_p,M_alaala_p
M_murein5px4p_p,M_murein3px4p_p
M_h_c,M_palmACP_c
M_nadph_c,M_palmACP_c
M_tpalm2eACP_c,M_palmACP_c
M_3opalmACP_c,M_3hpalmACP_c
M_h_c,M_3hpalmACP_c
M_nadph_c,M_3hpalmACP_c
M_3hcvac11eACP_c,M_t3c11vaceACP_c
M_h_c,M_dcaACP_c
M_nadph_c,M_dcaACP_c
M_tdec2eACP_c,M_dcaACP_c
M_3ocmrs7eACP_c,M_3hcmrs7eACP_c
M_h_c,M_3hcmrs7eACP_c
M_nadph_c,M_3hcmrs7eACP_c
M_3ocpalm9eACP_c,M_3hcpalm9eACP_c
M_h_c,M_3hcpalm9eACP_c
M_nadph_c,M_3hcpalm9eACP_c
M_3hcmrs7eACP_c,M_t3c7mrseACP_c
M_h_c,M_cddec5eACP_c
M_nadh_c,M_cddec5eACP_c
M_t3c5ddeceACP_c,M_cddec5eACP_c
M_atp_c,M_pe141_p
M_h2o_c,M_pe141_p
M_pe141_c,M_pe141_p
M_1tdec7eg3p_p,M_glyc3p_p
M_1tdec7eg3p_p,M_h_p
M_1tdec7eg3p_p,M_ttdcea_p
M_h2o_p,M_glyc3p_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdcea_p
M_1odecg3p_p,M_glyc3p_p
M_1odecg3p_p,M_h_p
M_1odecg3p_p,M_ocdca_p
M_h2o_p,M_glyc3p_p
M_h2o_p,M_h_p
M_h2o_p,M_ocdca_p
M_1agpe140_p,M_g3pe_p
M_1agpe140_p,M_h_p
M_1agpe140_p,M_ttdca_p
M_h2o_p,M_g3pe_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdca_p
M_1agpe161_p,M_g3pe_p
M_1agpe161_p,M_h_p
M_1agpe161_p,M_hdcea_p
M_h2o_p,M_g3pe_p
M_h2o_p,M_h_p
M_h2o_p,M_hdcea_p
M_1agpg140_p,M_g3pg_p
M_1agpg140_p,M_h_p
M_1agpg140_p,M_ttdca_p
M_h2o_p,M_g3pg_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdca_p
M_atp_c,M_pe160_p
M_h2o_c,M_pe160_p
M_pe160_c,M_pe160_p
M_atp_c,M_pe161_p
M_h2o_c,M_pe161_p
M_pe161_c,M_pe161_p
M_atp_c,M_pg140_p
M_h2o_c,M_pg140_p
M_pg140_c,M_pg140_p
M_atp_c,M_pg141_p
M_h2o_c,M_pg141_p
M_pg141_c,M_pg141_p
M_h2o_p,M_alaala_p
M_h2o_p,M_murein5p3p_p
M_murein5p5p_p,M_alaala_p
M_murein5p5p_p,M_murein5p3p_p
M_atp_c,M_pg180_p
M_h2o_c,M_pg180_p
M_pg180_c,M_pg180_p
M_atp_c,M_pg181_p
M_h2o_c,M_pg181_p
M_pg181_c,M_pg181_p
M_atp_c,M_pgp141_p
M_h2o_c,M_pgp141_p
M_pgp141_c,M_pgp141_p
M_atp_c,M_pgp160_p
M_h2o_c,M_pgp160_p
M_pgp160_c,M_pgp160_p
M_h2o_p,M_pg120_p
M_h2o_p,M_pi_p
M_pgp120_p,M_pg120_p
M_pgp120_p,M_pi_p
M_h2o_p,M_pg181_p
M_h2o_p,M_pi_p
M_pgp181_p,M_pg181_p
M_pgp181_p,M_pi_p
M_clpn120_p,M_h_p
M_clpn120_p,M_pa120_p
M_clpn120_p,M_pg120_p
M_h2o_p,M_h_p
M_h2o_p,M_pa120_p
M_h2o_p,M_pg120_p
M_atp_c,M_pgp180_p
M_h2o_c,M_pgp180_p
M_pgp180_c,M_pgp180_p
M_h2o_p,M_12dgr181_p
M_h2o_p,M_pi_p
M_pa181_p,M_12dgr181_p
M_pa181_p,M_pi_p
M_atp_c,M_pa140_p
M_h2o_c,M_pa140_p
M_pa140_c,M_pa140_p
M_clpn140_p,M_h_p
M_clpn140_p,M_pa140_p
M_clpn140_p,M_pg140_p
M_h2o_p,M_h_p
M_h2o_p,M_pa140_p
M_h2o_p,M_pg140_p
M_h2o_p,M_ala__D_p
M_h2o_p,M_murein4p3p_p
M_murein5p3p_p,M_ala__D_p
M_murein5p3p_p,M_murein4p3p_p
M_murein3p3p_p,M_anhgm3p_p
M_h2o_p,M_ala__D_p
M_h2o_p,M_murein4p4p_p
M_murein5p4p_p,M_ala__D_p
M_murein5p4p_p,M_murein4p4p_p
M_pg140_p,M_clpn140_p
M_pg140_p,M_glyc_p
M_pg141_p,M_clpn141_p
M_pg141_p,M_glyc_p
M_glyc3p_c,M_ACP_c
M_ocdcaACP_c,M_ACP_c
M_h2o_p,M_2agpg160_p
M_h2o_p,M_h_p
M_h2o_p,M_hdca_p
M_pg160_p,M_2agpg160_p
M_pg160_p,M_h_p
M_pg160_p,M_hdca_p
M_atp_c,M_pg120_p
M_h2o_c,M_pg120_p
M_pg120_c,M_pg120_p
M_atp_c,M_pe140_p
M_h2o_c,M_pe140_p
M_pe140_c,M_pe140_p
M_h2o_p,M_2agpg141_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdcea_p
M_pg141_p,M_2agpg141_p
M_pg141_p,M_h_p
M_pg141_p,M_ttdcea_p
M_2agpe161_p,M_2agpe161_c
M_2hdec9eg3p_p,M_2hdec9eg3p_c
M_2odec11eg3p_p,M_2odec11eg3p_c
M_2agpg120_p,M_2agpg120_c
M_atp_c,M_pa141_p
M_h2o_c,M_pa141_p
M_pa141_c,M_pa141_p
M_lipa_p,M_12dgr161_p
M_lipa_p,M_enlipa_p
M_pe161_p,M_12dgr161_p
M_pe161_p,M_enlipa_p
M_1odec11eg3p_c,M_ACP_c
M_octeACP_c,M_ACP_c
M_atp_c,M_pa161_p
M_h2o_c,M_pa161_p
M_pa161_c,M_pa161_p
M_atp_c,M_pa180_p
M_h2o_c,M_pa180_p
M_pa180_c,M_pa180_p
M_h2o_p,M_pg161_p
M_h2o_p,M_pi_p
M_pgp161_p,M_pg161_p
M_pgp161_p,M_pi_p
M_atp_c,M_pe120_p
M_h2o_c,M_pe120_p
M_pe120_c,M_pe120_p
M_h2o_p,M_murein5p4p_p
M_murein5px4p_p,M_murein5p4p_p
M_h2o_p,M_murein4px4p4p_p
M_murein4px4px4p_p,M_murein4px4p4p_p
M_atp_c,M_pe180_p
M_h2o_c,M_pe180_p
M_pe180_c,M_pe180_p
M_murein4p4p_p,M_anhgm4p_p
M_cgly_e,M_cgly_p
M_3haACP_c,M_but2eACP_c
M_h2o_p,M_2agpe141_p
M_h2o_p,M_h_p
M_h2o_p,M_ttdcea_p
M_pe141_p,M_2agpe141_p
M_pe141_p,M_h_p
M_pe141_p,M_ttdcea_p
M_butACP_c,M_3ohexACP_c
M_butACP_c,M_ACP_c
M_h_c,M_3ohexACP_c
M_h_c,M_ACP_c
M_malACP_c,M_3ohexACP_c
M_malACP_c,M_ACP_c
M_h_c,M_3opalmACP_c
M_h_c,M_ACP_c
M_malACP_c,M_3opalmACP_c
M_malACP_c,M_ACP_c
M_myrsACP_c,M_3opalmACP_c
M_myrsACP_c,M_ACP_c
M_gthox_e,M_gthox_p
M_dsbard_p,M_dsbaox_p
M_q8_c,M_dsbaox_p
M_dsbard_p,M_dsbaox_p
M_mqn8_c,M_dsbaox_p
M_dsbdox_c,M_dsbdrd_c
M_dsbdox_c,M_trdox_c
M_trdrd_c,M_dsbdrd_c
M_trdrd_c,M_trdox_c
M_dsbcox_p,M_dsbcrd_p
M_dsbcox_p,M_dsbdox_c
M_dsbdrd_c,M_dsbcrd_p
M_dsbdrd_c,M_dsbdox_c
M_h2o_p,M_1ddecg3p_p
M_h2o_p,M_ddca_p
M_h2o_p,M_h_p
