source,target
M_h_p,M_feenter_p
M_pi_e,M_pi_p
M_h2o_p,M_glc__D_p
M_tre_p,M_glc__D_p
M_h_c,M_h_p
M_o2_c,M_h_p
M_q8h2_c,M_h_p
M_h_c,M_h_p
M_mql8_c,M_h_p
M_o2_c,M_h_p
M_rmn_e,M_rmn_p
M_malttr_e,M_malttr_p
M_maltttr_e,M_maltttr_p
M_maltpt_e,M_maltpt_p
M_lcts_e,M_lcts_p
M_leu__L_e,M_leu__L_p
M_lys__L_e,M_lys__L_p
M_lyx__L_e,M_lyx__L_p
M_man_e,M_man_p
M_man6p_e,M_man6p_p
M_atp_c,M_cys__L_p
M_cys__L_c,M_cys__L_p
M_h2o_c,M_cys__L_p
M_melib_e,M_melib_p
M_dmso_e,M_dmso_p
M_duri_e,M_duri_p
M_fru_e,M_fru_p
M_fuc__L_e,M_fuc__L_p
M_o16a2und_p,M_h_p
M_o16a2und_p,M_o16a3und_p
M_o16a2und_p,M_udcpdp_p
M_o16aund_p,M_h_p
M_o16aund_p,M_o16a3und_p
M_o16aund_p,M_udcpdp_p
M_o16a3und_p,M_h_p
M_o16a3und_p,M_o16a4und_p
M_o16a3und_p,M_udcpdp_p
M_o16aund_p,M_h_p
M_o16aund_p,M_o16a4und_p
M_o16aund_p,M_udcpdp_p
M_fum_e,M_fum_p
M_colipa_p,M_h_p
M_colipa_p,M_o16a4colipa_p
M_colipa_p,M_udcpdp_p
M_o16a4und_p,M_h_p
M_o16a4und_p,M_o16a4colipa_p
M_o16a4und_p,M_udcpdp_p
M_fe2_e,M_fe2_p
M_nmn_e,M_nmn_p
M_no2_e,M_no2_p
M_feoxam_un_p,M_feoxam_un_e
M_h_p,M_feoxam_un_e
M_arbtn_c,M_arbtn_p
M_h_p,M_arbtn_p
M_arbtn_p,M_arbtn_e
M_h_p,M_arbtn_e
M_15dap_c,M_15dap_p
M_h_p,M_15dap_p
M_lys__L_p,M_15dap_p
M_23camp_e,M_23camp_p
M_23ccmp_e,M_23ccmp_p
M_23cump_e,M_23cump_p
M_23cgmp_e,M_23cgmp_p
M_3amp_e,M_3amp_p
M_3cmp_e,M_3cmp_p
M_gdp_e,M_gdp_p
M_enter_c,M_enter_p
M_h_p,M_enter_p
M_tma_e,M_tma_p
