,DEGREE
M_acon_C_c,1
M_acon_T_c,3
M_aconm_c,1
M_acorn_c,3
M_acser_c,2
M_actp_c,1
M_ade_c,1
M_ade_p,1
M_adn_c,3
M_adn_p,2
M_adocbi_c,3
M_adocbip_c,1
M_adocbl_c,1
M_adocbl_p,1
M_adp_c,1
M_adpglc_c,2
M_adphep_DD_c,1
M_adphep_LD_c,2
M_adprib_c,1
M_ag_c,1
M_agdpcbi_c,2
M_agm_c,1
M_ahcys_c,2
M_ahdt_c,2
M_aicar_c,1
M_air_c,4
M_akg_c,8
M_ala_B_c,1
M_ala__D_c,1
M_ala__L_c,3
M_ala__L_p,1
M_alaala_c,2
M_alac__S_c,1
M_all6p_c,1
M_all__D_c,1
M_all__D_p,1
M_alltn_c,1
M_alltt_c,1
M_allul6p_c,1
M_altrn_c,2
M_amet_c,6
M_ametam_c,3
M_amob_c,1
M_amp_c,6
M_anhgm3p_c,3
M_anhgm4p_c,3
M_anhgm_c,2
M_anhm3p_c,2
M_anhm4p_c,2
M_anhm_c,2
M_anth_c,2
M_ap4a_c,2
M_ap5a_c,2
M_apg120_c,1
M_apg140_c,1
M_apg141_c,1
M_apg160_c,1
M_apg161_c,1
M_apg180_c,1
M_apg181_c,1
M_appl_c,1
M_aps_c,2
M_ara5p_c,1
M_arab__D_c,1
M_arab__L_c,1
M_arab__L_p,1
M_aragund_c,1
M_arbt6p_c,1
M_arbtn_c,1
M_arbtn_fe3_c,1
M_arg__L_c,1
M_arg__L_p,1
M_argsuc_c,1
M_ascb6p_c,2
M_ascb__L_c,1
M_asn__L_c,1
M_aso3_c,1
M_aso4_c,1
M_asp__L_c,5
M_asp__L_p,1
M_aspsa_c,3
M_athr__L_c,3
M_atp_c,151
M_b2coa_c,1
M_bbtcoa_c,1
M_betald_c,1
M_bglycogen_c,1
M_btal_c,1
M_btcoa_c,2
M_btn_c,1
M_btnso_c,1
M_but_c,2
M_butso3_c,1
M_butso3_p,1
M_ca2_c,1
M_camp_c,1
M_cbasp_c,1
M_cbi_c,2
M_cbl1_c,2
M_cbl1_p,1
M_cbm_c,1
M_cbp_c,1
M_cd2_c,1
M_cdg_c,1
M_cdigmp_c,1
M_cdp_c,2
M_cdpdddecg_c,1
M_cdpdhdec9eg_c,1
M_cdpdhdecg_c,1
M_cdpdodec11eg_c,1
M_cdpdodecg_c,1
M_cdpdtdec7eg_c,1
M_cdpdtdecg_c,1
M_cechddd_c,1
M_cellb_c,1
M_cellb_e,1
M_cenchddd_c,1
M_cgly_c,1
M_chol_c,1
M_chol_p,1
M_cholate_c,1
M_chor_c,3
M_chtbs6p_c,2
M_cinnm_c,1
M_cit_c,3
