BiGG,MNXM,Name,PC1,PC2,PC3,PC4,PC5,target
M_accoa_c,MNXM1104266,acetyl-CoA,3.5529909496208143,-1.0712422109687498,-0.3161117678070667,2.169674745830624,0.5630130272911346,M_cit_c
M_succoa_c,MNXM1104774,succinyl-CoA,4.136093289012364,-0.9637666376336744,-0.3044751959125918,2.1174983291903247,0.8566136521742863,M_succ_c
M_cit_c,MNXM1107753,citrate,-2.900509379333349,-1.1856010904528047,0.2554291773216964,-0.6138255817461448,1.354297163471594,M_icit_c
M_mal__D_c,MNXM1608,(R)-malate,-3.569842822597604,-0.545456600478687,0.1679954985930549,-0.7476249960200694,1.028595218074648,M_oaa_c
M_akg_c,MNXM20,2-oxoglutarate,-3.373730530173366,-0.4032410571842423,0.0737943726073415,-0.505208632567077,0.673365450515397,M_succoa_c
M_pyr_c,MNXM23,pyruvate,-4.092546108593954,-0.0495345431247979,0.0791613138638444,-0.8577773222941653,0.5344948442858511,M_accoa_c
M_succ_c,MNXM25,succinate,-3.758400925264014,-0.265575596780281,0.1970324643926196,-0.8412809722485465,0.6989749824388988,M_fum_c
M_oaa_c,MNXM46,oxaloacetate,-3.5143510602619465,-0.303275078814657,0.0854990209630691,-0.8148918601512462,0.8092433380911035,M_cit_c
M_pep_c,MNXM73,phosphoenolpyruvate,-3.010374247593208,-1.4057722742963084,0.0692595171008825,-0.0596146542900641,0.4964057698489945,M_pyr_c
M_fum_c,MNXM737340,fumarate,-3.894409131149954,0.171521899944883,0.1636658570565188,-1.376833074573823,0.6271544896468305,M_mal__D_c
M_icit_c,MNXM89661,isocitrate(3-),-2.889970107370852,-0.9587023175376778,0.2120745223518667,-1.2684851338882557,0.941816071747516,M_akg_c
