BiGG_iML1515
R_OCTNLL
R_FESD2s
R_BMOGDS2
R_MOCOS
R_MPTS
R_BMOGDS1
R_PYROX
R_DM_mththf_c
R_ENLIPAabctex
R_COLIPAabctex
R_O16A4COLIPAabctex
R_HADPCOADH3
R_OXDHCOAT
R_PACCOAE
R_EX_3hpp_e
R_MN2tipp
R_VALt3pp
R_DHPTDCs2
R_VALt2rpp
R_SLNTabcpp
R_FORCT
R_MC6PH
R_EX_quin_e
R_EX_metglcur_e
R_2HPTCOAT
R_QUIN2tex
R_4ABZGLUtex
R_3HPADHi
R_EX_rfamp_e
R_EX_4abzglu_e
R_ACP1p
R_F1PP
R_NOVBCNtex
R_PROD3
R_OPHHXy
R_OMMBLHXy
R_MEPNabcpp
R_UDPGPT
R_MEPNtex
R_FUSAtex
R_PRCPD
R_RPNTPH
R_BIOMASS_Ec_iML1515_WT_75p37M
R_BIOMASS_Ec_iML1515_core_75p37M
R_MOCDS
R_LCARSyi
R_ARMEPNS
R_PETNT181pp
R_QUINDH
R_SUCCt1pp
R_FUMt1pp
R_ASPtpp
R_URAtpp
R_SQGH
R_ADOCBLtonex
R_CS1tex
R_URATEtpp
R_APH120
R_EX_sq_e
R_AMPNTAT
R_ACOAD1f
R_4HTHRK
R_PNSPA
R_DHGLYH
R_SERt2rpp
R_THRt2rpp
R_EX_2dglc_e
R_CXSAMS
R_3HBZCT
R_RHMND
R_DHCURR
R_QUINDHyi
R_SERtpp
R_CYSItex
R_APG3PAT120
R_Ftex
R_CUt2pp
R_PAI2T
R_AI2tex
R_FMNt
R_PSURIK
R_HPYRP
R_THZPSN3
R_INOSTO
R_METGLCURtex
R_METGLCURt2pp
R_TYRL
R_GAPP
R_I2FE2SR
R_EX_novbcn_e
R_4HTHRA
R_EX_cm_e
R_CH4t2pp
R_FE3DCITR5
R_CYSTA
R_PSURItpp
R_EX_mepn_e
R_CPL
R_ARHGDx
R_CBItonex
R_CBL1tonex
R_EX_fusa_e
R_EX_cs1_e
R_URATEtex
R_MOX
R_EX_dhps_e
R_GLYtpp
R_ILEt2rpp
R_SQtex
R_INDOLEt2rpp
R_INSt3pp
R_LEUt3pp
R_3SLAR
R_6D6SFK
R_EX_doxrbcn_e
R_RU5PP
R_PItpp
R_PUACGAMS
R_E4PP
R_2DGLCtex
R_XYHDL
R_5DKGR
R_CLtipp
R_GSNt3pp
R_FESD1s
R_METt3pp
R_METNA
R_ILEt3pp
R_LCTStpp
R_LEUt2rpp
R_LKDRA
R_CURR
R_4HBZt3pp
R_PAI2I
R_AI2abcpp
R_FADtex
R_PIt2rpp
R_5DGLCNR
R_DC6PDA
R_PUACGAMtr
R_HPACOAT
R_FADt
R_DHNCOAT
R_PYK6
R_PCNO
R_DHNCOAS
R_SEPHCHCS
R_GTHPi
R_DHPTDNRN
R_DHPTDNR
R_APH181
R_PYK3
R_PYK2
R_CYSItpp
R_PACOAT
R_TEO2M
R_PHDA
R_SELabcpp
R_NADHXE
R_APH180
R_NADHHS
R_4ABZGLUtr
R_4ABZGLUH
R_NADPHHS
R_NADPHHR
R_NADHXD
R_CHOLATEtpp
R_CHOLID
R_2HESR
R_EX_mththf_e
R_ACOXT
R_CLBtex
R_SHGO
R_CRNDtex
R_GLYC2Pabcpp
R_QUIN2tpp
R_DHNPA2r
R_APH161
R_CITt3pp
R_MALt3pp
R_G2PP
R_PHEtipp
R_AI2K
R_EX_dxylnt_e
R_APH141
R_FMNtex
R_SPMDt3pp
R_APPLDHr
R_DHPStex
R_SQtr
R_DHPStr
R_GHBDHx
R_ThDPAT
R_TYRtipp
R_TRPtipp
R_CHTBStex
R_6D6SPA
R_SQVOSI
R_Ftpp
R_ACPPAT181
R_AI2tpp
R_GLYBt3pp
R_CHTBSptspp
R_APCS
R_SUCTARTtpp
R_TARTt2_3pp
R_13PPDH2
R_CHLt3pp
R_OMPHHXy
R_ALR2x
R_PSURItex
R_PYDAMtpp
R_PYDAMtex
R_DXYLONtex
R_ACPPAT160
R_FEENTERR4
R_PYDXNtpp
R_FEENTERES
R_PYDXNtex
R_SUCMALtpp
R_FE3DCITexs
R_23DOGULNt4pp
R_ACOAD1fr
R_METGLCUR
R_SUCASPtpp
R_PYDXtpp
R_PYDXtex
R_POAACR
R_DMSOtpp
R_UGCIAMH
R_ALLTAMH2
R_GNP
R_EX_arbt_e
R_ARBTtex
R_ARBTptspp
R_AP4AS
R_2DGULRGy
R_2DGULRGx
R_2DGLCptspp
R_2DDARAA
R_DXYLTD
R_DXYLONtpp
R_FE3DHBZS3R
R_DHBSZ3FEabcpp
R_BTNtex
R_URACPAH
R_BTNt2ipp
R_3OXCOAT
R_DM_4crsol_c
R_TARTRDtex
R_EX_mincyc_e
R_CH4tex
R_ALAtpp
R_NADPHXE
R_COLIPAPabctex
R_EX_ttrcyc_e
R_ECA4COLIPAabctex
R_NADHHR
R_NADPHXD
R_PYK4
R_ACOLIPAabctex
R_VPAMTr
R_SHCHCS3
R_RFAMPtpp
R_WCOS
R_CPH4S
R_MOGDS
R_MMM
R_ALDD19xr
R_LIPAMPL
R_LIPATPT
R_LIPOCT
R_CPMPS
R_MPTSS
R_3HPPtpp
R_ACPPAT120
R_COLIPAKpp
R_LIPOS
R_GDPTPDP
R_EX_LalaLglu_e
R_SELGTHR2
R_BTS5
R_S2FE2SS2
R_SLNTtex
R_FOMETRi
R_THFAT
R_S4FE4ST
R_I4FE4ST
R_MSAR
R_I2FE2SS2
R_DHACOAH
R_OXCOAHDH
R_FESR
R_I2FE2ST
R_I2FE2SS
R_LALADGLUtpp
R_CBMD
R_LALALGLUtex
R_TTRCYCtpp
R_CMtex
R_NOVBCNtpp
R_DHMPTR
R_DHNPTE
R_TTRCYCtex
R_5MTRtpp
R_CDGS
R_FLDR2
R_BWCOGDS2
