Source	BiGG	MNXM	Stuff	
bigg.metabolite:	C80pPHA	MNXM1092055	C80MediumchainlengthphenylPolyhydroxyalkanoate
bigg.metabolite:	C90aPHA	MNXM1092056	C90MediumchainlengthaliphaticPolyhydroxyalkanoate
bigg.metabolite:	C90pPHA	MNXM1092057	C90MediumchainlengthphenylPolyhydroxyalkanoate
bigg.metabolite:	CDPdag_LM	MNXM1092058	CDPdiacylglycerolLmajor
bigg.metabolite:	CE5116	MNXM1092059	Trans-3-Cis-8,11,14-EicosatetraenoylCoenzymeA
bigg.metabolite:	CELLWALL	MNXM1092060	Cellwall
bigg.metabolite:	CLP	MNXM1092061	Cross-linkedpeptidoglycan
bigg.metabolite:	CPS_LLA	MNXM1092062	PolysaccharideunitsLactisspecific
bigg.metabolite:	DMino14bp	MNXM1092063	DmyoInositol14bisphosphate
bigg.metabolite:	DNA	MNXM1092064	Deoxyribonucleicacid
bigg.metabolite:	DNA_LLA	MNXM1092065	DNAcompositionlactisspecific
bigg.metabolite:	HC00005	MNXM1092066	ApoB100
bigg.metabolite:	HC00006	MNXM1092067	ApoC1
bigg.metabolite:	HC00007	MNXM1092068	ApoC2
bigg.metabolite:	HC00008	MNXM1092069	ApoC3
bigg.metabolite:	HC00009	MNXM1092070	ApoE
bigg.metabolite:	HC00617	MNXM1092071	FerricytochromeB5
bigg.metabolite:	HC00619	MNXM1092072	FerrocytochromeB5
bigg.metabolite:	HC02048	MNXM1092073	AcylCoenzymeA-Ld-Sm-Pool
bigg.metabolite:	HC10784	MNXM1092074	Cis-Myrist-7-EnoylCoenzymeA
bigg.metabolite:	Hb	MNXM1092075	Hemoglobin
bigg.metabolite:	LAM	MNXM1092076	Lipoarabinomannan
bigg.metabolite:	LIPID	MNXM1092077	Lipid
bigg.metabolite:	LM	MNXM1092078	Lipomannoside
bigg.metabolite:	LPS11_ST	MNXM1092079	PeriplasmiclipopolysaccharidegroupO:11withashortOantigenpolysaccharide
bigg.metabolite:	LPS11_VL	MNXM1092080	ExtracellularlipopolysaccharidegroupO:11withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS11__L	MNXM1092081	PeriplasmiclipopolysaccharidegroupO:11withalongOantigenpolysaccharide
bigg.metabolite:	LPS13_ST	MNXM1092082	PeriplasmiclipopolysaccharidegroupO:13withashortOantigenpolysaccharide
bigg.metabolite:	LPS13_VL	MNXM1092083	ExtracellularlipopolysaccharidegroupO:13withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS13__L	MNXM1092084	ExtracellularlipopolysaccharidegroupO:13withalongOantigenpolysaccharide
bigg.metabolite:	LPS16_ST	MNXM1092085	ExtracellularlipopolysaccharidegroupO:16withashortOantigenpolysaccharide
bigg.metabolite:	LPS16_VL	MNXM1092086	ExtracellularlipopolysaccharidegroupO:16withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS16__L	MNXM1092087	ExtracellularlipopolysaccharidegroupO:16withalongOantigenpolysaccharide
bigg.metabolite:	LPS17_ST	MNXM1092088	ExtracellularlipopolysaccharidegroupO:17withashortOantigenpolysaccharide
bigg.metabolite:	LPS17_VL	MNXM1092089	ExtracellularlipopolysaccharidegroupO:17withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS17__L	MNXM1092090	PeriplasmiclipopolysaccharidegroupO:17withalongOantigenpolysaccharide
bigg.metabolite:	LPS18_ST	MNXM1092091	PeriplasmiclipopolysaccharidegroupO:18withashortOantigenpolysaccharide
bigg.metabolite:	LPS18_VL	MNXM1092092	ExtracellularlipopolysaccharidegroupO:18withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS18__L	MNXM1092093	ExtracellularlipopolysaccharidegroupO:18withalongOantigenpolysaccharide
bigg.metabolite:	LPS1_3_19_ST	MNXM1092094	PeriplasmiclipopolysaccharidegroupO:1319withashortOantigenpolysaccharide
bigg.metabolite:	LPS1_3_19_VL	MNXM1092095	PeriplasmiclipopolysaccharidegroupO:1319withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS1_3_19__L	MNXM1092096	ExtracellularlipopolysaccharidegroupO:1319withalongOantigenpolysaccharide
bigg.metabolite:	LPS21_ST	MNXM1092097	ExtracellularlipopolysaccharidegroupO:21withashortOantigenpolysaccharide
bigg.metabolite:	LPS21_VL	MNXM1092098	ExtracellularlipopolysaccharidegroupO:21withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS21__L	MNXM1092099	ExtracellularlipopolysaccharidegroupO:21withalongOantigenpolysaccharide
bigg.metabolite:	LPS28ab_ST	MNXM1092100	PeriplasmiclipopolysaccharidegroupO:28abwithashortOantigenpolysaccharide
bigg.metabolite:	LPS28ab_VL	MNXM1092101	ExtracellularlipopolysaccharidegroupO:28abwithaverylongOantigenpolysaccharide
bigg.metabolite:	LPS28ab__L	MNXM1092102	PeriplasmiclipopolysaccharidegroupO:28abwithalongOantigenpolysaccharide
bigg.metabolite:	LPS28ac_ST	MNXM1092103	ExtracellularlipopolysaccharidegroupO:28acwithashortOantigenpolysaccharide
bigg.metabolite:	LPS28ac_VL	MNXM1092104	ExtracellularlipopolysaccharidegroupO:28acwithaverylongOantigenpolysaccharide
bigg.metabolite:	LPS28ac__L	MNXM1092105	PeriplasmiclipopolysaccharidegroupO:28acwithalongOantigenpolysaccharide
bigg.metabolite:	LPS2_ST	MNXM1092106	PeriplasmiclipopolysaccharidegroupO:2withashortOantigenpolysaccharide
bigg.metabolite:	LPS2_VL	MNXM1092107	PeriplasmiclipopolysaccharidegroupO:2withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS2__L	MNXM1092108	ExtracellularlipopolysaccharidegroupO:2withalongOantigenpolysaccharide
bigg.metabolite:	LPS30_ST	MNXM1092109	ExtracellularlipopolysaccharidegroupO:30withashortOantigenpolysaccharide
bigg.metabolite:	LPS30_VL	MNXM1092110	PeriplasmiclipopolysaccharidegroupO:30withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS30__L	MNXM1092111	ExtracellularlipopolysaccharidegroupO:30withalongOantigenpolysaccharide
bigg.metabolite:	LPS35_ST	MNXM1092112	PeriplasmiclipopolysaccharidegroupO:35withashortOantigenpolysaccharide
bigg.metabolite:	LPS35_VL	MNXM1092113	ExtracellularlipopolysaccharidegroupO:35withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS35__L	MNXM1092114	PeriplasmiclipopolysaccharidegroupO:35withalongOantigenpolysaccharide
bigg.metabolite:	LPS38_ST	MNXM1092115	ExtracellularlipopolysaccharidegroupO:38withashortOantigenpolysaccharide
bigg.metabolite:	LPS38_VL	MNXM1092116	PeriplasmiclipopolysaccharidegroupO:38withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS38__L	MNXM1092117	ExtracellularlipopolysaccharidegroupO:38withalongOantigenpolysaccharide
bigg.metabolite:	LPS39_ST	MNXM1092118	PeriplasmiclipopolysaccharidegroupO:39withashortOantigenpolysaccharide
bigg.metabolite:	LPS39_VL	MNXM1092119	PeriplasmiclipopolysaccharidegroupO:39withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS39__L	MNXM1092120	PeriplasmiclipopolysaccharidegroupO:39withalongOantigenpolysaccharide
bigg.metabolite:	LPS3_10_ST	MNXM1092121	PeriplasmiclipopolysaccharidegroupO:310withashortOantigenpolysaccharide
bigg.metabolite:	LPS3_10_VL	MNXM1092122	ExtracellularlipopolysaccharidegroupO:310withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS3_10__L	MNXM1092123	PeriplasmiclipopolysaccharidegroupO:310withalongOantigenpolysaccharide
bigg.metabolite:	LPS40_ST	MNXM1092124	ExtracellularlipopolysaccharidegroupO:40withashortOantigenpolysaccharide
bigg.metabolite:	LPS40_VL	MNXM1092125	ExtracellularlipopolysaccharidegroupO:40withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS40__L	MNXM1092126	ExtracellularlipopolysaccharidegroupO:40withalongOantigenpolysaccharide
bigg.metabolite:	LPS41_ST	MNXM1092127	PeriplasmiclipopolysaccharidegroupO:41withalongOantigenpolysaccharide
bigg.metabolite:	LPS41_VL	MNXM1092128	ExtracellularlipopolysaccharidegroupO:41withverylongOantigen
bigg.metabolite:	LPS41__L	MNXM1092129	PeriplasmiclipopolysaccharidegroupO:41withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS42_ST	MNXM1092130	PeriplasmiclipopolysaccharidegroupO:42withashortOantigenpolysaccharide
bigg.metabolite:	LPS42_VL	MNXM1092131	PeriplasmiclipopolysaccharidegroupO:42withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS42__L	MNXM1092132	ExtracellularlipopolysaccharidegroupO:42withalongOantigenpolysaccharide
bigg.metabolite:	LPS43_ST	MNXM1092133	PeriplasmiclipopolysaccharidegroupO:43withashortOantigenpolysaccharide
bigg.metabolite:	LPS43_VL	MNXM1092134	PeriplasmiclipopolysaccharidegroupO:43withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS43__L	MNXM1092135	PeriplasmiclipopolysaccharidegroupO:43withalongOantigenpolysaccharide
bigg.metabolite:	LPS44_ST	MNXM1092136	ExtracellularlipopolysaccharidegroupO:44withashortOantigenpolysaccharide
bigg.metabolite:	LPS44_VL	MNXM1092137	ExtracellularlipopolysaccharidegroupO:44withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS44__L	MNXM1092138	PeriplasmiclipopolysaccharidegroupO:44withalongOantigenpolysaccharide
bigg.metabolite:	LPS45_ST	MNXM1092139	PeriplasmiclipopolysaccharidegroupO:45withashortOantigenpolysaccharide
bigg.metabolite:	LPS45_VL	MNXM1092140	PeriplasmiclipopolysaccharidegroupO:45withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS45__L	MNXM1092141	PeriplasmiclipopolysaccharidegroupO:45withalongOantigenpolysaccharide
bigg.metabolite:	LPS47_ST	MNXM1092142	ExtracellularlipopolysaccharidegroupO:47withashortOantigenpolysaccharide
bigg.metabolite:	LPS47_VL	MNXM1092143	ExtracellularlipopolysaccharidegroupO:47withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS47__L	MNXM1092144	PeriplasmiclipopolysaccharidegroupO:47withalongOantigenpolysaccharide
bigg.metabolite:	LPS48_ST	MNXM1092145	PeriplasmiclipopolysaccharidegroupO:48withashortOantigenpolysaccharide
bigg.metabolite:	LPS48_VL	MNXM1092146	PeriplasmiclipopolysaccharidegroupO:48withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS48__L	MNXM1092147	PeriplasmiclipopolysaccharidegroupO:48withalongOantigenpolysaccharide
bigg.metabolite:	LPS4_ST	MNXM1092148	ExtracellularlipopolysaccharidegroupO:XXwithashortOantigenpolysaccharide
bigg.metabolite:	LPS4_VL	MNXM1092149	PeriplasmiclipopolysaccharidegroupO:XXwithaverylongOantigenpolysaccharide
bigg.metabolite:	LPS4__L	MNXM1092150	PeriplasmiclipopolysaccharidegroupO:XXwithalongOantigenpolysaccharide
bigg.metabolite:	LPS50_ST	MNXM1092151	PeriplasmiclipopolysaccharidegroupO:50withashortOantigenpolysaccharide
bigg.metabolite:	LPS50_VL	MNXM1092152	PeriplasmiclipopolysaccharidegroupO:50withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS50__L	MNXM1092153	ExtracellularlipopolysaccharidegroupO:50withalongOantigenpolysaccharide
bigg.metabolite:	LPS51_ST	MNXM1092154	ExtracellularlipopolysaccharidegroupO:51withashortOantigenpolysaccharide
bigg.metabolite:	LPS51_VL	MNXM1092155	PeriplasmiclipopolysaccharidegroupO:51withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS51__L	MNXM1092156	ExtracellularlipopolysaccharidegroupO:51withalongOantigenpolysaccharide
bigg.metabolite:	LPS52_ST	MNXM1092157	PeriplasmiclipopolysaccharidegroupO:52withashortOantigenpolysaccharide
bigg.metabolite:	LPS52_VL	MNXM1092158	ExtracellularlipopolysaccharidegroupO:52withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS52__L	MNXM1092159	PeriplasmiclipopolysaccharidegroupO:52withalongOantigenpolysaccharide
bigg.metabolite:	LPS53_ST	MNXM1092160	ExtracellularlipopolysaccharidegroupO:53withalongOantigenpolysaccharide
bigg.metabolite:	LPS53_VL	MNXM1092161	ExtracellularlipopolysaccharidegroupO:53withashortOantigenpolysaccharide
bigg.metabolite:	LPS53__L	MNXM1092162	ExtracellularlipopolysaccharidegroupO:53withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS54	MNXM1092163	ExtracellularlipopolysaccharidegroupO:54withashortOantigenpolysaccharide
bigg.metabolite:	LPS55_ST	MNXM1092164	PeriplasmiclipopolysaccharidegroupO:55withashortOantigenpolysaccharide
bigg.metabolite:	LPS55_VL	MNXM1092165	PeriplasmiclipopolysaccharidegroupO:55withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS55__L	MNXM1092166	PeriplasmiclipopolysaccharidegroupO:55withalongOantigenpolysaccharide
bigg.metabolite:	LPS56_ST	MNXM1092167	PeriplasmiclipopolysaccharidegroupO:56withashortOantigenpolysaccharide
bigg.metabolite:	LPS56_VL	MNXM1092168	PeriplasmiclipopolysaccharidegroupO:56withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS56__L	MNXM1092169	PeriplasmiclipopolysaccharidegroupO:56withalongOantigenpolysaccharide
bigg.metabolite:	LPS57_ST	MNXM1092170	ExtracellularlipopolysaccharidegroupO:57withashortOantigenpolysaccharide
bigg.metabolite:	LPS57_VL	MNXM1092171	ExtracellularlipopolysaccharidegroupO:57withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS57__L	MNXM1092172	ExtracellularlipopolysaccharidegroupO:57withalongOantigenpolysaccharide
bigg.metabolite:	LPS58_ST	MNXM1092173	ExtracellularlipopolysaccharidegroupO:58withashortOantigenpolysaccharide
bigg.metabolite:	LPS58_VL	MNXM1092174	ExtracellularlipopolysaccharidegroupO:58withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS58__L	MNXM1092175	PeriplasmiclipopolysaccharidegroupO:58withalongOantigenpolysaccharide
bigg.metabolite:	LPS59_ST	MNXM1092176	PeriplasmiclipopolysaccharidegroupO:59withashortOantigenpolysaccharide
bigg.metabolite:	LPS59_VL	MNXM1092177	ExtracellularlipopolysaccharidegroupO:59withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS59__L	MNXM1092178	PeriplasmiclipopolysaccharidegroupO:59withalongOantigenpolysaccharide
bigg.metabolite:	LPS60_ST	MNXM1092179	PeriplasmiclipopolysaccharidegroupO:60withashortOantigenpolysaccharide
bigg.metabolite:	LPS60_VL	MNXM1092180	ExtracellularlipopolysaccharidegroupO:60withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS60__L	MNXM1092181	ExtracellularlipopolysaccharidegroupO:60withalongOantigenpolysaccharide
bigg.metabolite:	LPS62_ST	MNXM1092182	PeriplasmiclipopolysaccharidegroupO:62withashortOantigenpolysaccharide
bigg.metabolite:	LPS62_VL	MNXM1092183	PeriplasmiclipopolysaccharidegroupO:62withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS62__L	MNXM1092184	ExtracellularlipopolysaccharidegroupO:62withalongOantigenpolysaccharide
bigg.metabolite:	LPS63_ST	MNXM1092185	ExtracellularlipopolysaccharidegroupO:63withashortOantigenpolysaccharide
bigg.metabolite:	LPS63_VL	MNXM1092186	PeriplasmiclipopolysaccharidegroupO:63withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS63__L	MNXM1092187	PeriplasmiclipopolysaccharidegroupO:63withalongOantigenpolysaccharide
bigg.metabolite:	LPS65_ST	MNXM1092188	PeriplasmiclipopolysaccharidegroupO:65withashortOantigenpolysaccharide
bigg.metabolite:	LPS65_VL	MNXM1092189	PeriplasmiclipopolysaccharidegroupO:65withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS65__L	MNXM1092190	PeriplasmiclipopolysaccharidegroupO:65withalongOantigenpolysaccharide
bigg.metabolite:	LPS66_ST	MNXM1092191	ExtracellularlipopolysaccharidegroupO:66withashortOantigenpolysaccharide
bigg.metabolite:	LPS66_VL	MNXM1092192	ExtracellularlipopolysaccharidegroupO:66withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS66__L	MNXM1092193	PeriplasmiclipopolysaccharidegroupO:66withalongOantigenpolysaccharide
bigg.metabolite:	LPS67	MNXM1092194	LipopolysaccharideO:67:LipidA-[galactose-(beta1->3)-galactofuranose-(alpha1->3)]20
bigg.metabolite:	LPS6_14_ST	MNXM1092195	PeriplasmiclipopolysaccharidegroupO:614withashortOantigenpolysaccharide
bigg.metabolite:	LPS6_14_VL	MNXM1092196	PeriplasmiclipopolysaccharidegroupO:614withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS6_14__L	MNXM1092197	ExtracellularlipopolysaccharidegroupO:614withalongOantigenpolysaccharide
bigg.metabolite:	LPS7_ST	MNXM1092198	PeriplasmiclipopolysaccharidegroupO:7withashortOantigenpolysaccharide
bigg.metabolite:	LPS7_VL	MNXM1092199	PeriplasmiclipopolysaccharidegroupO:7withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS7__L	MNXM1092200	ExtracellularlipopolysaccharidegroupO:7withalongOantigenpolysaccharide
bigg.metabolite:	LPS8_ST	MNXM1092201	ExtracellularlipopolysaccharidegroupO:8withashortOantigenpolysaccharide
bigg.metabolite:	LPS8_VL	MNXM1092202	PeriplasmiclipopolysaccharidegroupO:8withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS8__L	MNXM1092203	ExtracellularlipopolysaccharidegroupO:8withalongOantigenpolysaccharide
bigg.metabolite:	LPS9_46_27_ST	MNXM1092204	PeriplasmiclipopolysaccharidegroupO:94627withashortOantigenpolysaccharide
bigg.metabolite:	LPS9_46_27_VL	MNXM1092205	PeriplasmiclipopolysaccharidegroupO:94627withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS9_46_27__L	MNXM1092206	PeriplasmiclipopolysaccharidegroupO:94627withalongOantigenpolysaccharide
bigg.metabolite:	LPS9_46_ST	MNXM1092207	LipopolysaccharideO:946:LipidA-[Undecaprenyl-diphosphate-galactose-(alpha1->3)-rhamnose-(alpha1->4)-mannose-(alpha1->3)-tyvelose]15
bigg.metabolite:	LPS9_46_VL	MNXM1092208	LipopolysaccharideO:946:LipidA-[Undecaprenyl-diphosphate-galactose-(alpha1->3)-rhamnose-(alpha1->4)-mannose-(alpha1->3)-tyvelose]100
bigg.metabolite:	LPS9_46__L	MNXM1092209	LipopolysaccharideO:946:LipidA-[Undecaprenyl-diphosphate-galactose-(alpha1->3)-rhamnose-(alpha1->4)-mannose-(alpha1->3)-tyvelose]25
bigg.metabolite:	LPS9_ST	MNXM1092210	PeriplasmiclipopolysaccharidegroupO:9withashortOantigenpolysaccharide
bigg.metabolite:	LPS9_VL	MNXM1092211	PeriplasmiclipopolysaccharidegroupO:9withaverylongOantigenpolysaccharide
bigg.metabolite:	LPS9__L	MNXM1092212	ExtracellularlipopolysaccharidegroupO:9withalongOantigenpolysaccharide
bigg.metabolite:	LTA	MNXM1092213	Lipoteichoicacid||1,2-diacyl-3-O-[6-O-(sn-glycerolphospho)n-(sn-glycerolphospho)-(beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl)]-sn-glycerol
bigg.metabolite:	LTAAlaGal_LLA	MNXM1092214	Lipoteichoicacidn16with038alaand062gal
bigg.metabolite:	LTA_LLA	MNXM1092215	Lipoteichoicacidn16Lactisspecific
bigg.metabolite:	LTA_MRSA	MNXM1092216	Lipoteichoicacid
bigg.metabolite:	LTA_ala	MNXM1092217	Alanylatedtype1lipoteichoicacid||1,2-diacyl-3-O-[6-O-(2-O-N-acetyl-alpha-D-glucosamine-sn-glycerolphospho)n-(2-O-D-alanyl-sn-glycerolphospho)m(sn-glycerolphospho)-(beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl)]-sn-glycerol||typeILTA
bigg.metabolite:	LTAala_LLA	MNXM1092218	Lipoteichoicacidn16with038alasubstitutions
bigg.metabolite:	LTAglcnac	MNXM1092219	1,2-diacyl-3-O-[6-O-(2-O-N-acetyl-alpha-D-glucosamine-sn-glycerolphospho)n-(sn-glycerolphospho)-(beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl)]-sn-glycerol
bigg.metabolite:	Lara14lac	MNXM1092220	L-arabinono-1,4-lactone
bigg.metabolite:	M00085	MNXM1092221	(3S)-Hydroxy-Docasa-Cis,Cis-13,16-DienoylCoenzymeA
bigg.metabolite:	M00086	MNXM1092222	(3S)-Hydroxy-Eicosa-Cis,Cis,Cis-11,14,17-TrienoylCoenzymeA
bigg.metabolite:	M00704	MNXM1092223	3(S)-Hydroxy-3-Oxo-EicosadienoylCoenzymeA
bigg.metabolite:	M00802	MNXM1092224	3-HydroxytricosanoylCoenzymeA
bigg.metabolite:	M00869	MNXM1092225	3-Oxoeicosa-Cis,Cis,Cis-11,14,17-TrienoylCoenzymeA
bigg.metabolite:	M00871	MNXM1092226	3-Oxo-EicosadienoylCoenzymeA
bigg.metabolite:	M00954	MNXM1092227	4'-Carboxy-4'-Methyl-5'-Cholesta-8-En-3'-Ol
bigg.metabolite:	M00955	MNXM1092228	4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol
bigg.metabolite:	M00956	MNXM1092229	4'-Carboxy-5'-Cholesta-8-En-3'-Ol
bigg.metabolite:	M00957	MNXM1092230	4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol
bigg.metabolite:	M00958	MNXM1092231	4'-Formyl-4'-Methyl-5'-Cholesta-8-En-3'-Ol
bigg.metabolite:	M00959	MNXM1092232	4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol
bigg.metabolite:	M00961	MNXM1092233	4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol
bigg.metabolite:	M00962	MNXM1092234	4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8-En-3'-Ol
bigg.metabolite:	M00963	MNXM1092235	4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol
bigg.metabolite:	M00966	MNXM1092236	4'-Methyl-5'-Cholesta-8-En-3-One
bigg.metabolite:	M00967	MNXM1092237	4'-Methyl-Cholesta-8-Enol
bigg.metabolite:	M01111	MNXM1092238	5-L-Gamma-GlutamylAminoAcid
bigg.metabolite:	M01455	MNXM1092239	Cholesterol-Ester-11,14,17-Eico
bigg.metabolite:	M01457	MNXM1092240	Cholesterol-Ester-11-Docose
bigg.metabolite:	M01460	MNXM1092241	Cholesterol-Ester-13,16,19-Doco
bigg.metabolite:	M01463	MNXM1092242	Cholesterol-Ester-13-Eicose
bigg.metabolite:	M01464	MNXM1092243	Cholesterol-Ester-13-Octade
bigg.metabolite:	M01467	MNXM1092244	Cholesterol-Ester-4,7,10,13,16-Docosa
bigg.metabolite:	M01469	MNXM1092245	Cholesterol-Ester-5,8,11-Eico
bigg.metabolite:	M01470	MNXM1092246	Cholesterol-Ester-5-Tetra
bigg.metabolite:	M01471	MNXM1092247	Cholesterol-Ester-6,9,12,15,18,21-Tetra
bigg.metabolite:	M01472	MNXM1092248	Cholesterol-Ester-6,9,12,15,18-Tetraco
bigg.metabolite:	M01473	MNXM1092249	Cholesterol-Ester-6,9,12,15-Octa
bigg.metabolite:	M01474	MNXM1092250	Cholesterol-Ester-6,9-Octa
bigg.metabolite:	M01477	MNXM1092251	Cholesterol-Ester-7-Hexa
bigg.metabolite:	M01479	MNXM1092252	Cholesterol-Ester-7-Tetrade
bigg.metabolite:	M01480	MNXM1092253	Cholesterol-Ester-8,11,14,17-Eico
bigg.metabolite:	M01481	MNXM1092254	Cholesterol-Ester-8,11-Eico
bigg.metabolite:	M01482	MNXM1092255	Cholesterol-Ester-9,12,15,18,21-Tetra
bigg.metabolite:	M01483	MNXM1092256	Cholesterol-Ester-9,12,15,18-Tetraco
bigg.metabolite:	M01484	MNXM1092257	Cholesterol-Ester-9-Eicose
bigg.metabolite:	M01485	MNXM1092258	Cholesterol-Ester-9-Heptade
bigg.metabolite:	M01486	MNXM1092259	Cholesterol-Ester-9-Octa
bigg.metabolite:	M01489	MNXM1092260	Cholesterol-Ester-Cis-Vac
bigg.metabolite:	M01494	MNXM1092261	Cholesterol-Ester-Heneico
bigg.metabolite:	M01496	MNXM1092262	Cholesterol-Ester-Hexacosa
bigg.metabolite:	M01497	MNXM1092263	Cholesterol-Ester-Hexecose
bigg.metabolite:	M01508	MNXM1092264	Cholesterol-Ester-Tetraco
bigg.metabolite:	M01509	MNXM1092265	Cholesterol-Ester-Trico
bigg.metabolite:	M01510	MNXM1092266	Cholesterol-Ester-Tridec
bigg.metabolite:	M01807	MNXM1092267	Fatty-Acid-Chylomicron-Pool
bigg.metabolite:	M01869	MNXM1092268	(GlcNAc)6(Man)3(Asn)1
bigg.metabolite:	M01870	MNXM1092269	(GlcNAc)7(Man)3(Asn)1
bigg.metabolite:	M01871	MNXM1092270	(GalNAc)1(GlcNAc)1(Ser/Thr)1
bigg.metabolite:	M01872	MNXM1092271	(Gal)1(GalNAc)1(GlcNAc)1(Ser/Thr)1
bigg.metabolite:	M01881	MNXM1092272	(Gal)4(Glc)1(GlcNAc)3(LFuc)2(Cer)1
bigg.metabolite:	M02012	MNXM1092273	Gm2A
bigg.metabolite:	M02013	MNXM1092274	Gm2A:Gm2-Ganglioside
bigg.metabolite:	M02186	MNXM1092275	Lactoisooctaosylceramide((Gal)4(Glc)1(GlcNAc)3(Cer)1)
bigg.metabolite:	M02446	MNXM1092276	Maltoheptaose
bigg.metabolite:	M02449	MNXM1092277	Maltopentaose
bigg.metabolite:	M02490	MNXM1092278	Monofucosyllactoisooctaosylceramide
bigg.metabolite:	M02491	MNXM1092279	Monosialylgalactosylgloboside
bigg.metabolite:	M02560	MNXM1092280	Nefa-Blood-Pool-In
bigg.metabolite:	M02561	MNXM1092281	Nefa-Blood-Pool-Out
bigg.metabolite:	M02909	MNXM1092282	Smcfa-Blood-Pool
bigg.metabolite:	M03017	MNXM1092283	Trans,Cis-2,8,11-EicosatrienoylCoenzymeA
bigg.metabolite:	M03131	MNXM1092284	V3(Neuac)2-Gb5Cer((Gal)3(GalNAc)1(Glc)1(Neu5Ac)2(Cer)1)
bigg.metabolite:	MNXM162	MNXM1092285	D-threo-isocitrate(3-)
bigg.metabolite:	Ncarbsar	MNXM1092286	NCarbamoylsarcosine
bigg.metabolite:	OA11_ST	MNXM1092287	PeriplasmicOantigengroupO:11polysaccharidewithashortchainlength(15repeatunits)
bigg.metabolite:	OA11_VL	MNXM1092288	PeriplasmicOantigengroupO:11polysaccharidewithaverylongchainlength(100repeatunits)
bigg.metabolite:	OA11__L	MNXM1092289	PeriplasmicOantigengroupO:11polysaccharidewithalongchainlength(25repeatunits)
bigg.metabolite:	OA13_ST	MNXM1092290	PeriplasmicOantigengroupO:13polysaccharidewithashortchainlength(15repeatunits)
bigg.metabolite:	OA13_VL	MNXM1092291	PeriplasmicOantigengroupO:13polysaccharidewithaverylongchainlength(100repeatunits)
bigg.metabolite:	OA13__L	MNXM1092292	PeriplasmicOantigengroupO:13polysaccharidewithalongchainlength(25repeatunits)
bigg.metabolite:	OA16_ST	MNXM1092293	PeriplasmicOantigengroupO:16polysaccharidewithashortchainlength(15repeatunits)
bigg.metabolite:	OA16_VL	MNXM1092294	PeriplasmicOantigengroupO:16polysaccharidewithaverylongchainlength(100repeatunits)
bigg.metabolite:	OA16__L	MNXM1092295	PeriplasmicOantigengroupO:16polysaccharidewithalongchainlength(25repeatunits)
bigg.metabolite:	OA17_ST	MNXM1092296	PeriplasmicOantigengroupO:17polysaccharidewithashortchainlength(15repeatunits)
