BiGG,MNXM,MolWt,NumHeteroatoms,NumHAcceptors,NumValenceElectrons,MolMR,MolLogP,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,charge,NumHDonors
teo2,MNXM1094276,175.59699999999998,4,3,26,6.440499999999999,-2.8776,,,,,-2.0,0
tma,MNXM1094294,60.120000000000005,1,0,26,18.734700000000004,-1.2392999999999994,0.0660980141023264,-0.3422460992660532,0.3422460992660532,0.0660980141023264,1.0,1
fgam,MNXM1094915,312.171,12,9,116,59.46470000000004,-4.3101999999999965,0.4691706850982848,-0.8644500349308478,0.8644500349308478,0.4691706850982848,-2.0,4
fpram,MNXM1094916,312.19500000000005,12,8,116,62.89210000000004,-3.502129999999997,0.4691706850475686,-0.8644487070816466,0.8644487070816466,0.4691706850475686,-1.0,6
ppi,MNXM11,174.94899999999998,9,6,56,18.5168,-2.707599999999999,0.2686511126765926,-0.7895095320726844,0.7895095320726844,0.2686511126765926,-3.0,1
udpacgal,MNXM1100890,605.3390000000004,22,18,222,116.29659999999998,-5.226999999999992,0.4830399747627669,-0.8621744416517452,0.8621744416517452,0.4830399747627669,-2.0,7
fcl__L,MNXM1101253,164.15699999999998,5,5,66,35.78719999999999,-2.3496,0.1887683244505632,-0.3906029996246596,0.3906029996246596,0.1887683244505632,0.0,4
uacmam,MNXM1101258,605.3390000000004,22,18,222,116.29659999999998,-5.226999999999992,0.4830399747627669,-0.8621744416517452,0.8621744416517452,0.4830399747627669,-2.0,7
agdpcbi,MNXM1101279,1663.5150000000003,45,34,618,392.8474000000009,1.1992799999999992,2.0,-0.8621722872999844,2.0,0.8621722872999844,-1.0,21
gmp,MNXM1101285,361.2070000000001,14,11,132,68.88029999999999,-3.5910299999999977,0.2648370808873282,-0.8569328930032929,0.8569328930032929,0.2648370808873282,-2.0,5
2mahmp,MNXM1101289,296.092,12,9,102,50.26640000000001,-1.9721099999999967,0.271604190336552,-0.7895094709266718,0.7895094709266718,0.271604190336552,-3.0,2
kdolipid4,MNXM1101307,1620.8640000000007,34,30,646,395.2528000000016,5.229600000000017,0.4715041346578531,-0.8619164996500939,0.8619164996500939,0.4715041346578531,-5.0,11
utp,MNXM1101474,480.1080000000001,20,16,166,77.02690000000001,-4.616599999999996,0.4820789163458481,-0.8584386267006714,0.8584386267006714,0.4820789163458481,-4.0,3
imp,MNXM1101868,346.19200000000006,13,11,126,66.46990000000001,-3.0035999999999983,0.2648370808873283,-0.8569847253080327,0.8569847253080327,0.2648370808873283,-2.0,3
unaga,MNXM1101902,1128.46,15,12,444,319.5522000000004,15.42249999999997,0.4806256438831098,-0.8621744416517452,0.8621744416517452,0.4806256438831098,-2.0,4
arbtn_fe3,MNXM1101937,617.3660000000004,18,13,228,122.95740000000008,-3.5148999999999924,2.0,-0.8618923083427383,2.0,0.8618923083427383,-1.0,5
arbtn,MNXM1101938,561.5210000000004,17,13,222,122.95740000000008,-3.512399999999992,0.3359049182253308,-0.8618923083427383,0.8618923083427383,0.3359049182253308,-3.0,5
5mta,MNXM1101977,297.34000000000003,9,9,108,74.041,-0.6093000000000002,0.1671384951128126,-0.3874830188987994,0.3874830188987994,0.1671384951128126,0.0,3
gp4g,MNXM1102064,864.3570000000007,35,27,304,156.22859999999991,-5.90246,0.4871394739910316,-0.8569328930032929,0.8569328930032929,0.4871394739910316,-4.0,10
amet,MNXM1102072,399.453,12,10,148,98.9102,-1.922199999999996,0.3201584587867722,-0.48008413002097,0.48008413002097,0.3201584587867722,1.0,5
udp,MNXM1102128,401.13700000000006,16,13,142,68.3354,-4.101599999999997,0.4756533689060268,-0.8584386267006714,0.8584386267006714,0.4756533689060268,-3.0,3
mlthf,MNXM1102150,455.4310000000001,13,10,174,110.43110000000006,-2.245929999999997,0.3257174992933485,-0.856989907402536,0.856989907402536,0.3257174992933485,-2.0,5
xtp,MNXM1102152,520.1330000000002,22,17,180,85.5177,-4.327999999999996,0.4844933236685235,-0.8570020217020484,0.8570020217020484,0.4844933236685235,-4.0,4
ahcys,MNXM1102167,384.41800000000006,12,11,142,93.2122,-1.4370999999999965,0.3199991992045901,-0.4800860693306227,0.4800860693306227,0.3199991992045901,0.0,5
3amp,MNXM1102173,345.2080000000001,13,12,126,69.2175,-3.126999999999998,0.1671385090909258,-0.7898616327407116,0.7898616327407116,0.1671385090909258,-2.0,3
udpgalfur,MNXM1102185,564.2860000000003,21,18,206,103.1876,-5.645399999999992,0.4806437904231353,-0.8584386267006714,0.8584386267006714,0.4806437904231353,-2.0,7
3ump,MNXM1102189,322.166,12,10,118,59.64390000000002,-3.5865999999999976,0.3486359296854676,-0.8584386267006714,0.8584386267006714,0.3486359296854676,-2.0,3
cdp,MNXM1102191,400.1530000000001,16,13,142,67.92010000000002,-3.982329999999997,0.4756533689058629,-0.8456009302374486,0.8456009302374486,0.4756533689058629,-3.0,4
