,d1_1515,d2_1515,value1515
107,MaxEStateIndex,TPSA,0.8067822435621715
108,MaxEStateIndex,FractionCSP3,0.22828478718052556
109,MaxEStateIndex,HeavyAtomCount,0.9277981561151012
110,MaxEStateIndex,NOCount,0.8382555973759982
111,MaxEStateIndex,NumHAcceptors,0.8234438425643745
112,MaxEStateIndex,NumHeteroatoms,0.8345361478501058
113,MaxEStateIndex,NumRotatableBonds,0.8612460474836902
114,MaxEStateIndex,MolLogP,0.06101819631867498
115,MaxEStateIndex,MolMR,0.9109190218898302
116,MinEStateIndex,mass,-0.6751666142617911
117,MinEStateIndex,MaxEStateIndex,-0.6658208557534616
118,MinEStateIndex,MinEStateIndex,1.0
119,MinEStateIndex,MaxAbsEStateIndex,-0.6658208557534616
120,MinEStateIndex,MinAbsEStateIndex,0.07735616297588353
121,MinEStateIndex,qed,0.512688755950908
122,MinEStateIndex,MolWt,-0.6751582369181905
123,MinEStateIndex,HeavyAtomMolWt,-0.6859875884705414
124,MinEStateIndex,ExactMolWt,-0.6751992473273046
125,MinEStateIndex,NumValenceElectrons,-0.6554857167734024
126,MinEStateIndex,MaxPartialCharge,-0.44030904211712185
127,MinEStateIndex,MinPartialCharge,0.6489442505466705
128,MinEStateIndex,MaxAbsPartialCharge,-0.5264435273857668
129,MinEStateIndex,MinAbsPartialCharge,-0.4362498356707353
130,MinEStateIndex,FpDensityMorgan1,0.30024625273470434
131,MinEStateIndex,FpDensityMorgan2,0.21484272971788634
132,MinEStateIndex,FpDensityMorgan3,-0.00046696057138376223
133,MinEStateIndex,BCUT2D_MWHI,-0.7363146932450794
134,MinEStateIndex,BCUT2D_MWLOW,0.36654246288223674
135,MinEStateIndex,BCUT2D_CHGHI,-0.6706800222842527
136,MinEStateIndex,BCUT2D_CHGLO,0.7401774125678952
137,MinEStateIndex,BCUT2D_LOGPHI,-0.7691616659755109
138,MinEStateIndex,BCUT2D_LOGPLOW,0.4513289313624319
139,MinEStateIndex,BCUT2D_MRHI,-0.727963406405745
140,MinEStateIndex,BCUT2D_MRLOW,0.5304445316460011
141,MinEStateIndex,BalabanJ,0.18998601173916568
142,MinEStateIndex,BertzCT,-0.6456131904132797
143,MinEStateIndex,Chi0,-0.6571846728895778
144,MinEStateIndex,Chi0n,-0.5954598759171535
145,MinEStateIndex,Chi0v,-0.6283983516501628
146,MinEStateIndex,Chi1,-0.6301132514112111
147,MinEStateIndex,Chi1n,-0.5704855390103786
148,MinEStateIndex,Chi1v,-0.6648682080209557
149,MinEStateIndex,Chi2n,-0.5805969833014679
150,MinEStateIndex,Chi2v,-0.6770083986386806
151,MinEStateIndex,Chi3n,-0.5556562635012768
152,MinEStateIndex,Chi3v,-0.6439333152125168
153,MinEStateIndex,Chi4n,-0.548941499864698
154,MinEStateIndex,Chi4v,-0.6430959110995554
155,MinEStateIndex,HallKierAlpha,0.3244821812513654
156,MinEStateIndex,Ipc,-0.6222818110144827
157,MinEStateIndex,Kappa1,-0.6452135441153546
158,MinEStateIndex,Kappa2,-0.5525437630620279
159,MinEStateIndex,Kappa3,-0.5103271010909668
160,MinEStateIndex,LabuteASA,-0.6252684997665445
161,MinEStateIndex,PEOE_VSA1,-0.7818203772673609
162,MinEStateIndex,SMR_VSA1,-0.81393965909664
163,MinEStateIndex,SlogP_VSA2,-0.6321880134227881
164,MinEStateIndex,SlogP_VSA3,-0.716920298729825
165,MinEStateIndex,TPSA,-0.7991151188661174
166,MinEStateIndex,FractionCSP3,-0.25541495749993176
167,MinEStateIndex,HeavyAtomCount,-0.6438026585325336
168,MinEStateIndex,NOCount,-0.7983130359758147
169,MinEStateIndex,NumHAcceptors,-0.8287356651336649
170,MinEStateIndex,NumHeteroatoms,-0.8218349419561122
171,MinEStateIndex,NumRotatableBonds,-0.584181141416868
172,MinEStateIndex,MolLogP,0.321584658390165
173,MinEStateIndex,MolMR,-0.5532702707001917
174,MaxAbsEStateIndex,mass,0.9198020599168976
175,MaxAbsEStateIndex,MaxEStateIndex,1.0
176,MaxAbsEStateIndex,MinEStateIndex,-0.6658208557534616
177,MaxAbsEStateIndex,MaxAbsEStateIndex,1.0
178,MaxAbsEStateIndex,MinAbsEStateIndex,-0.39265556326163403
179,MaxAbsEStateIndex,qed,-0.6902493157797682
180,MaxAbsEStateIndex,MolWt,0.9198388189557511
181,MaxAbsEStateIndex,HeavyAtomMolWt,0.9199719891224024
182,MaxAbsEStateIndex,ExactMolWt,0.9198321319031142
183,MaxAbsEStateIndex,NumValenceElectrons,0.9241697649991318
184,MaxAbsEStateIndex,MaxPartialCharge,0.6267534930097687
185,MaxAbsEStateIndex,MinPartialCharge,-0.6242107385497986
186,MaxAbsEStateIndex,MaxAbsPartialCharge,0.5148254297597122
187,MaxAbsEStateIndex,MinAbsPartialCharge,0.6177602292960239
188,MaxAbsEStateIndex,FpDensityMorgan1,-0.5453846582268519
189,MaxAbsEStateIndex,FpDensityMorgan2,-0.37201468469746257
190,MaxAbsEStateIndex,FpDensityMorgan3,-0.07891301983348528
191,MaxAbsEStateIndex,BCUT2D_MWHI,0.5668258537283194
192,MaxAbsEStateIndex,BCUT2D_MWLOW,-0.5284454799186783
193,MaxAbsEStateIndex,BCUT2D_CHGHI,0.6706831008475607
194,MaxAbsEStateIndex,BCUT2D_CHGLO,-0.6330534285509823
195,MaxAbsEStateIndex,BCUT2D_LOGPHI,0.7792699230458242
196,MaxAbsEStateIndex,BCUT2D_LOGPLOW,-0.37940405900668817
197,MaxAbsEStateIndex,BCUT2D_MRHI,0.614395451450995
198,MaxAbsEStateIndex,BCUT2D_MRLOW,-0.3259420967886373
199,MaxAbsEStateIndex,BalabanJ,-0.2793185289245481
200,MaxAbsEStateIndex,BertzCT,0.9096405516240148
201,MaxAbsEStateIndex,Chi0,0.9289416272104861
202,MaxAbsEStateIndex,Chi0n,0.9192282656228832
203,MaxAbsEStateIndex,Chi0v,0.9193291305278415
204,MaxAbsEStateIndex,Chi1,0.9266244704048637
205,MaxAbsEStateIndex,Chi1n,0.9100751816660841
206,MaxAbsEStateIndex,Chi1v,0.915421376916131
207,MaxAbsEStateIndex,Chi2n,0.9084026798504311
208,MaxAbsEStateIndex,Chi2v,0.914315318905756
209,MaxAbsEStateIndex,Chi3n,0.8961586686153377
210,MaxAbsEStateIndex,Chi3v,0.9108313728297446
211,MaxAbsEStateIndex,Chi4n,0.8909067622243635
212,MaxAbsEStateIndex,Chi4v,0.9060770366373367
213,MaxAbsEStateIndex,HallKierAlpha,-0.7319808970499071
214,MaxAbsEStateIndex,Ipc,0.9231169065459773
215,MaxAbsEStateIndex,Kappa1,0.8998433870406454
216,MaxAbsEStateIndex,Kappa2,0.8653018249828849
217,MaxAbsEStateIndex,Kappa3,0.6783684382145301
218,MaxAbsEStateIndex,LabuteASA,0.9235846620683609
219,MaxAbsEStateIndex,PEOE_VSA1,0.7419265095420072
220,MaxAbsEStateIndex,SMR_VSA1,0.7960739450404309
221,MaxAbsEStateIndex,SlogP_VSA2,0.742343403529218
222,MaxAbsEStateIndex,SlogP_VSA3,0.8096032460695518
223,MaxAbsEStateIndex,TPSA,0.8067822435621715
224,MaxAbsEStateIndex,FractionCSP3,0.22828478718052556
225,MaxAbsEStateIndex,HeavyAtomCount,0.9277981561151012
226,MaxAbsEStateIndex,NOCount,0.8382555973759982
227,MaxAbsEStateIndex,NumHAcceptors,0.8234438425643745
228,MaxAbsEStateIndex,NumHeteroatoms,0.8345361478501058
229,MaxAbsEStateIndex,NumRotatableBonds,0.8612460474836902
230,MaxAbsEStateIndex,MolLogP,0.06101819631867498
231,MaxAbsEStateIndex,MolMR,0.9109190218898302
232,MinAbsEStateIndex,mass,-0.3824394887617929
233,MinAbsEStateIndex,MaxEStateIndex,-0.39265556326163403
234,MinAbsEStateIndex,MinEStateIndex,0.07735616297588353
235,MinAbsEStateIndex,MaxAbsEStateIndex,-0.39265556326163403
236,MinAbsEStateIndex,MinAbsEStateIndex,0.9999999999999998
237,MinAbsEStateIndex,qed,0.26990777554887807
238,MinAbsEStateIndex,MolWt,-0.38242991948512844
239,MinAbsEStateIndex,HeavyAtomMolWt,-0.3809706809984755
