BiGG,MNXM,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,SMR_VSA1,SlogP_VSA2,SlogP_VSA3,TPSA,FractionCSP3,HeavyAtomCount,NOCount,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR
oxur,MNXM1088,9.886203703703703,-1.797407407407407,9.886203703703703,1.303333333333333,0.2686187670960777,131.067,128.04299999999998,131.00983015591,50,0.3390873469104446,-0.8534646481307254,0.8534646481307254,0.3390873469104446,1.5555555555555556,2.0,2.111111111111111,16.40099435171763,10.668807916392018,1.93846025458574,-1.9927284167650532,1.694756086310915,-2.2797660749006963,6.306131230639804,-0.2214007290068272,4.169214533734282,172.6515613063118,7.439157588755425,4.1581373674276,4.1581373674276,4.036581260209188,1.8026754814637789,1.8026754814637789,1.0457153254419342,1.0457153254419342,0.3904007049179477,0.3904007049179477,0.1440068107007043,0.1440068107007043,-1.59,60.47184355343589,7.41,2.6525316104914456,3.0340249609984395,49.59403209837948,15.319582184522115,20.11411936859394,28.101785549335048,4.794537184071822,116.8,0.0,9,6,3,6,0,-1.6774299999999998,25.4263
5fthf,MNXM1091982,12.31176548646041,-1.414135274525924,12.31176548646041,0.0164193982563114,0.2003148060493538,471.43000000000006,450.2620000000001,471.15134317182,180,0.3257174992933484,-0.8569814708665705,0.8569814708665705,0.3257174992933484,1.3235294117647058,2.0294117647058822,2.647058823529412,16.371596799563925,10.102792403987198,2.272501646379294,-2.366558340230412,2.322342037333459,-2.48179588574856,5.965548522678613,-0.3054145620507639,1.616481839217608,1148.9497925506862,24.82769816688718,17.661009538356623,17.661009538356623,16.188779603399606,10.101270474456369,10.101270474456369,7.394793199683642,7.394793199683642,5.10520525023079,5.10520525023079,3.38078858903053,3.38078858903053,-4.620000000000002,26473804.912784077,24.030936463775323,10.331188737541911,5.5905539764341805,191.6949441549462,45.94837343241061,34.4977309208094,64.50356451822752,14.383611552215466,226.49,0.3,34,14,10,14,10,-2.455129999999997,112.77180000000006
acon_C,MNXM1092518,10.008842592592591,-1.871851851851852,10.008842592592591,0.1439814814814815,0.3931560319330977,171.08399999999995,168.05999999999997,170.99460855573005,66,0.0678830082895813,-0.5498050625341044,0.5498050625341044,0.0678830082895813,1.0833333333333333,1.5833333333333333,1.8333333333333333,16.376993628225115,10.160308991293943,1.9790032246337412,-2.0859267914251283,1.968475115934001,-2.3180677240346568,5.957275311919551,-0.3097660479130359,4.552105266699234,250.7639251168273,9.723614639131595,5.733946793159352,5.733946793159352,5.43042811032654,2.7592019217677626,2.7592019217677626,1.8248542106422785,1.8248542106422785,0.8890586715192821,0.8890586715192821,0.479886400469814,0.479886400469814,-1.85,249.0665264860381,10.15,4.117027384036986,4.044246402484895,66.74162612434765,29.703193736737585,29.703193736737585,17.90791586385555,14.383611552215466,120.39,0.1666666666666666,12,6,6,6,4,-4.447399999999999,27.720999999999997
cur,MNXM1092739,11.929398258550949,-0.3472421159821948,11.929398258550949,0.0066228737638578,0.5481228320623274,368.3850000000001,348.2250000000001,368.12598835999984,140,0.162918644467687,-0.5042543435663183,0.5042543435663183,0.162918644467687,0.8148148148148148,1.2222222222222223,1.5925925925925926,16.477050169603636,10.096400737248564,2.056185601576351,-2.0329049045711,2.2720259507285023,-2.0144775364420977,6.104423630737155,-0.1213933170124785,1.9588614829982376,822.0399999194264,19.811190308942127,15.008029825938175,15.008029825938175,12.922253953220077,8.084748487013048,8.084748487013048,5.638641501457052,5.638641501457052,3.679371064943775,3.679371064943775,2.2636839018519104,2.2636839018519104,-3.54,881033.8147469718,19.780378892165626,9.238837190939822,5.7434025122363215,156.53237245425527,19.68678069728151,29.275855065425155,35.99913976496635,9.589074368143644,93.06000000000002,0.1428571428571428,27,6,6,6,8,3.369900000000002,102.01660000000004
dcacoa,MNXM1092836,12.663423893749991,-5.826865232609281,12.663423893749991,0.0015692473555071,0.0335872303895268,917.7620000000009,867.3620000000008,917.2218683496404,336,0.4807077012465598,-0.8619479510336412,0.8619479510336412,0.4807077012465598,1.0169491525423728,1.6779661016949152,2.3559322033898304,32.16658064217268,9.872606086384064,2.482490450367294,-2.342528353448338,2.608498896758225,-2.451477728784132,8.131710367870147,-0.346591206198511,1.4641418844371472,1882.8989708689455,44.02008632231228,32.5475498981222,36.04732805204967,27.55509831717564,18.438899818227608,23.87598209458223,13.972181237988586,19.27351029833625,8.623866173347576,12.619946896347468,5.4810284252014805,8.989995349914102,-2.4400000000000013,1766140116841.8662,50.91335763235689,23.13028648045333,17.09420309860528,343.6594033051335,69.54389133324943,81.10817383779761,112.90167672331128,41.108417847424896,381.9300000000001,0.7419354838709677,59,24,23,28,27,-0.1733999999999956,203.85509999999945
dhcholn,MNXM1092863,13.366134180524062,-1.0122985348075189,13.366134180524062,0.0122530339296209,0.7480133680541109,405.5550000000002,368.2590000000001,405.2646478639099,164,0.1363745510508625,-0.550171675867077,0.550171675867077,0.1363745510508625,1.1724137931034482,1.896551724137931,2.586206896551724,16.365316358941698,9.431152460428487,2.6533859187856432,-2.6120372664735343,2.6717405998451653,-2.6098188075280437,5.832344460590901,-0.3056400031673054,1.6154047451338596,676.1821699817359,21.13746372257519,18.10193524658744,18.10193524658744,13.585095207140926,11.673066077903211,11.673066077903211,11.229485767157753,11.229485767157753,10.11130807645797,10.11130807645797,8.39155617169679,8.39155617169679,-0.94,2910447.767677104,21.2980748226746,7.333223550037995,3.183688654926568,173.81534050151015,20.11411936859394,24.90865655266576,34.1735377994948,9.589074368143644,97.66,0.9166666666666666,29,5,5,5,4,2.3222000000000005,106.40860000000008
f,MNXM1092965,0.0,0.0,0.0,0.0,0.2623882829343869,18.998,18.998,18.99895179991,8,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,18.998,18.998,-1.0,-1.0,-2.996,-2.996,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,0.9300000000000014,-16.355714285714303,-61.2128571428572,6.09714072430475,4.704396381733906,4.704396381733906,0.0,0.0,0.0,0.0,1,0,0,1,0,-2.996,0.0
glu5sa,MNXM1093051,9.964212962962964,-1.0584722222222225,9.964212962962964,0.2157407407407408,0.4979552147893113,131.13100000000003,122.05899999999998,131.058243148,52,0.3199813237164219,-0.4800862949407156,0.4800862949407156,0.3199813237164219,1.7777777777777777,2.333333333333333,2.6666666666666665,16.3675666858594,10.171113401726958,2.08466408085465,-1.9961394028179933,1.8954405561544816,-2.292800409747874,5.729744705449405,-0.1381940131018759,3.372299621996529,112.77073485399346,7.276020881938894,4.909974546369656,4.909974546369656,4.180739212552622,2.6019382522332988,2.6019382522332988,1.6887476761392728,1.6887476761392728,0.9127194380733288,0.9127194380733288,0.3710750474779174,0.3710750474779174,-0.8999999999999999,80.20139955580649,8.1,4.026688004877305,3.66338028169014,52.65618813471224,15.634732056074713,14.69560176298435,23.40383403507007,9.589074368143644,80.39,0.6,9,4,3,4,4,-0.6226000000000003,30.90919999999999
lgt__S,MNXM1093274,11.76048579617032,-1.3224369075122142,11.76048579617032,0.1833682130259513,0.1969905166505574,378.383,358.22300000000007,378.0976591799099,142,0.3248907103425816,-0.8619721293674992,0.8619721293674992,0.3248907103425816,1.24,1.84,2.32,32.166573752826,10.149328389665763,2.189787890711114,-2.1721932902513457,2.113405930895744,-2.333096909254096,8.133505476735582,-0.2189513173871561,5.050677227527164,549.3922009756016,19.56854962182284,13.36235122682376,14.178847807751486,11.539489015607163,7.060267763437198,8.045866323090687,4.896220134811123,5.920597529801452,2.685165248790737,3.793199093222943,1.3460266724728456,2.132971095331725,-2.18,127275.57892563744,22.82,11.38749616297958,10.319866842027448,146.82793715579842,31.266304451365716,39.91624852641899,79.76074583287107,14.383611552215466,205.92999999999995,0.6153846153846154,25,11,9,12,11,-2.012399999999994,87.78060000000002
mercpeth,MNXM1093356,7.798611111111111,0.183641975308642,7.798611111111111,0.183641975308642,0.4198536028422452,78.136,72.088,78.013935812,26,0.0518709158571318,-0.3955283175246528,0.3955283175246528,0.0518709158571318,1.75,2.0,2.0,32.1168658769081,10.887066000166982,1.573661455220018,-1.6859095381063045,1.612282737382804,-1.7592611350917662,7.797682992813877,0.322728200685014,1.9747448713915892,8.0,3.414213562373095,2.3086407533730107,3.2030679443729264,1.914213562373095,1.1324555320336755,1.7649110640673515,0.4472135954999578,0.8944271909999157,0.0999999999999999,0.2999999999999999,0.0,0.0,0.31,6.854752972273345,4.309999999999998,3.3099999999999983,2.309999999999998,31.05349355782389,5.106527394840706,5.106527394840706,17.466262966100413,0.0,20.23,1.0,4,1,2,2,1,-0.0914999999999999,20.9388
